Date,Ameresco
2009-09-12,26
2009-09-13,25
2009-09-14,25
2009-09-15,25
2009-09-16,24
2009-09-17,24
2009-09-18,24
2009-09-19,24
2009-09-20,26
2009-09-21,28
2009-09-22,30
2009-09-23,32
2009-09-24,34
2009-09-25,36
2009-09-26,38
2009-09-27,36
2009-09-28,33
2009-09-29,30
2009-09-30,28
2009-10-01,25
2009-10-02,23
2009-10-03,21
2009-10-04,21
2009-10-05,21
2009-10-06,21
2009-10-07,22
2009-10-08,22
2009-10-09,22
2009-10-10,23
2009-10-11,25
2009-10-12,27
2009-10-13,29
2009-10-14,31
2009-10-15,33
2009-10-16,35
2009-10-17,37
2009-10-18,35
2009-10-19,33
2009-10-20,32
2009-10-21,30
2009-10-22,29
2009-10-23,27
2009-10-24,26
2009-10-25,26
2009-10-26,26
2009-10-27,26
2009-10-28,26
2009-10-29,26
2009-10-30,26
2009-10-31,26
2009-11-01,26
2009-11-02,26
2009-11-03,27
2009-11-04,27
2009-11-05,28
2009-11-06,28
2009-11-07,29
2009-11-08,29
2009-11-09,29
2009-11-10,29
2009-11-11,29
2009-11-12,29
2009-11-13,29
2009-11-14,29
2009-11-15,28
2009-11-16,26
2009-11-17,25
2009-11-18,24
2009-11-19,23
2009-11-20,22
2009-11-21,21
2009-11-22,21
2009-11-23,21
2009-11-24,21
2009-11-25,21
2009-11-26,21
2009-11-27,21
2009-11-28,21
2009-11-29,21
2009-12-06,22
2009-12-07,23
2009-12-08,23
2009-12-09,23
2009-12-10,24
2009-12-11,24
2009-12-12,25
2009-12-13,24
2009-12-14,22
2009-12-15,21
2009-12-16,20
2009-12-17,19
2009-12-18,18
2009-12-19,17
2009-12-20,17
2009-12-21,17
2009-12-22,18
2009-12-23,18
2009-12-24,19
2009-12-25,19
2009-12-26,20
2009-12-27,20
2009-12-28,20
2009-12-29,21
2009-12-30,21
2009-12-31,22
2010-01-01,22
2010-01-02,23
2010-01-03,23
2010-01-04,24
2010-01-05,24
2010-01-06,25
2010-01-07,25
2010-01-08,25
2010-01-09,26
2010-01-10,24
2010-01-11,23
2010-01-12,21
2010-01-13,20
2010-01-14,18
2010-01-15,17
2010-01-16,16
2010-01-17,18
2010-01-18,21
2010-01-19,23
2010-01-20,26
2010-01-21,28
2010-01-22,31
2010-01-23,34
2010-01-24,36
2010-01-25,39
2010-01-26,41
2010-01-27,44
2010-01-28,46
2010-01-29,49
2010-01-30,51
2010-01-31,48
2010-02-01,44
2010-02-02,41
2010-02-03,38
2010-02-04,35
2010-02-05,31
2010-02-06,28
2010-02-07,28
2010-02-08,27
2010-02-09,26
2010-02-10,26
2010-02-11,25
2010-02-12,25
2010-02-13,25
2010-02-14,25
2010-02-15,25
2010-02-16,25
2010-02-17,25
2010-02-18,25
2010-02-19,25
2010-02-20,25
2010-02-21,24
2010-02-22,23
2010-02-23,23
2010-02-24,22
2010-02-25,22
2010-02-26,21
2010-02-27,21
2010-02-28,20
2010-03-07,21
2010-03-08,24
2010-03-09,27
2010-03-10,30
2010-03-11,33
2010-03-12,35
2010-03-13,38
2010-03-14,36
2010-03-15,34
2010-03-16,32
2010-03-17,30
2010-03-18,28
2010-03-19,26
2010-03-20,24
2010-03-21,25
2010-03-22,27
2010-03-23,29
2010-03-24,31
2010-03-25,33
2010-03-26,35
2010-03-27,37
2010-03-28,37
2010-03-29,38
2010-03-30,39
2010-03-31,40
2010-04-01,41
2010-04-02,42
2010-04-03,43
2010-04-04,41
2010-04-05,39
2010-04-06,37
2010-04-07,35
2010-04-08,33
2010-04-09,31
2010-04-10,30
2010-04-11,31
2010-04-12,33
2010-04-13,35
2010-04-14,37
2010-04-15,39
2010-04-16,41
2010-04-17,43
2010-04-18,42
2010-04-19,41
2010-04-20,40
2010-04-21,39
2010-04-22,38
2010-04-23,38
2010-04-24,37
2010-04-25,36
2010-04-26,36
2010-04-27,35
2010-04-28,35
2010-04-29,35
2010-04-30,34
2010-05-01,34
2010-05-02,32
2010-05-03,30
2010-05-04,28
2010-05-05,26
2010-05-06,24
2010-05-07,22
2010-05-08,20
2010-05-09,20
2010-05-10,21
2010-05-11,22
2010-05-12,22
2010-05-13,23
2010-05-14,24
2010-05-15,25
2010-05-16,26
2010-05-17,27
2010-05-18,28
2010-05-19,29
2010-05-20,31
2010-05-21,32
2010-05-22,33
2010-05-23,32
2010-05-24,31
2010-05-25,30
2010-05-26,29
2010-05-27,28
2010-05-28,27
2010-05-29,27
2010-05-30,28
2010-06-06,32
2010-06-07,31
2010-06-08,29
2010-06-09,28
2010-06-10,26
2010-06-11,25
2010-06-12,24
2010-06-13,26
2010-06-14,28
2010-06-15,30
2010-06-16,32
2010-06-17,34
2010-06-18,36
2010-06-19,39
2010-06-20,36
2010-06-21,34
2010-06-22,31
2010-06-23,29
2010-06-24,26
2010-06-25,24
2010-06-26,22
2010-06-27,21
2010-06-28,21
2010-06-29,21
2010-06-30,21
2010-07-01,21
2010-07-02,21
2010-07-03,21
2010-07-04,21
