Date,Spirit Airlines
2010-03-13,53
2010-03-14,51
2010-03-15,50
2010-03-16,49
2010-03-17,49
2010-03-18,47
2010-03-19,46
2010-03-20,46
2010-03-21,45
2010-03-22,45
2010-03-23,45
2010-03-24,46
2010-03-25,47
2010-03-26,47
2010-03-27,47
2010-03-28,46
2010-03-29,47
2010-03-30,46
2010-03-31,45
2010-04-01,46
2010-04-02,45
2010-04-03,46
2010-04-04,48
2010-04-05,51
2010-04-06,54
2010-04-07,57
2010-04-08,63
2010-04-09,66
2010-04-10,67
2010-04-11,64
2010-04-12,61
2010-04-13,59
2010-04-14,57
2010-04-15,54
2010-04-16,51
2010-04-17,50
2010-04-18,49
2010-04-19,49
2010-04-20,50
2010-04-21,50
2010-04-22,50
2010-04-23,52
2010-04-24,52
2010-04-25,50
2010-04-26,49
2010-04-27,48
2010-04-28,48
2010-04-29,46
2010-04-30,45
2010-05-01,45
2010-05-02,44
2010-05-03,44
2010-05-04,44
2010-05-05,44
2010-05-06,44
2010-05-07,44
2010-05-08,45
2010-05-09,44
2010-05-10,44
2010-05-11,44
2010-05-12,45
2010-05-13,45
2010-05-14,46
2010-05-15,46
2010-05-16,47
2010-05-17,45
2010-05-18,45
2010-05-19,45
2010-05-20,46
2010-05-21,45
2010-05-22,46
2010-05-23,44
2010-05-24,44
2010-05-25,45
2010-05-26,44
2010-05-27,45
2010-05-28,44
2010-05-29,45
2010-05-30,45
2010-05-31,44
2010-06-01,44
2010-06-02,44
2010-06-03,44
2010-06-04,45
2010-06-05,44
2010-06-06,47
2010-06-07,48
2010-06-08,51
2010-06-09,54
2010-06-10,56
2010-06-11,58
2010-06-12,61
2010-06-13,67
2010-06-14,72
2010-06-15,80
2010-06-16,83
2010-06-17,91
2010-06-18,101
2010-06-19,102
2010-06-20,93
2010-06-21,88
2010-06-22,81
2010-06-23,75
2010-06-24,69
2010-06-25,65
2010-06-26,58
2010-06-27,56
2010-06-28,55
2010-06-29,54
2010-06-30,55
2010-07-01,52
2010-07-02,52
2010-07-03,51
2010-07-04,51
2010-07-05,51
2010-07-06,50
2010-07-07,49
2010-07-08,49
2010-07-09,49
2010-07-10,49
2010-07-11,51
