Date,Tensar
2007-02-10,59
2007-02-11,58
2007-02-12,57
2007-02-13,56
2007-02-14,55
2007-02-15,54
2007-02-16,53
2007-02-17,52
2007-02-18,54
2007-02-19,57
2007-02-20,59
2007-02-21,62
2007-02-22,64
2007-02-23,66
2007-02-24,69
2007-02-25,70
2007-02-26,71
2007-02-27,72
2007-02-28,73
2007-03-01,74
2007-03-02,75
2007-03-03,76
2007-03-04,73
2007-03-05,71
2007-03-06,68
2007-03-07,65
2007-03-08,63
2007-03-09,60
2007-03-10,58
2007-03-11,58
2007-03-12,58
2007-03-13,58
2007-03-14,58
2007-03-15,58
2007-03-16,58
2007-03-17,58
2007-03-18,59
2007-03-19,58
2007-03-20,59
2007-03-21,59
2007-03-22,60
2007-03-23,60
2007-03-24,61
2007-03-25,63
2007-05-06,86
2007-05-07,82
2007-05-08,78
2007-05-09,74
2007-05-10,70
2007-05-11,66
2007-05-12,62
2007-05-13,62
2007-05-14,63
2007-05-15,64
2007-05-16,64
2007-05-17,65
2007-05-18,65
2007-05-19,66
2007-05-20,66
2007-05-21,65
2007-05-22,65
2007-05-23,65
2007-05-24,65
2007-05-25,65
2007-05-26,65
2007-05-27,62
2007-05-28,59
2007-05-29,56
2007-05-30,54
2007-05-31,51
2007-06-01,48
2007-06-02,45
2007-06-03,45
2007-06-04,44
2007-06-05,43
2007-06-06,43
2007-06-07,42
2007-06-08,42
2007-06-09,42
2007-06-10,45
2007-06-11,48
2007-06-12,52
2007-06-13,55
2007-06-14,58
2007-06-15,62
2007-06-16,65
2007-06-17,65
2007-06-18,65
2007-06-19,65
2007-06-20,65
2007-06-21,65
2007-06-22,65
2007-06-23,66
2007-06-24,68
2007-06-25,71
2007-06-26,74
2007-06-27,77
2007-06-28,79
2007-06-29,82
2007-06-30,85
2007-07-01,84
2007-07-02,83
2007-07-03,82
2007-07-04,81
2007-07-05,80
2007-07-06,78
2007-07-07,77
2007-07-08,79
2007-07-09,81
2007-07-10,83
2007-07-11,85
2007-07-12,87
2007-07-13,89
2007-07-14,91
2007-07-15,87
2007-07-16,83
2007-07-17,79
2007-07-18,75
2007-07-19,71
2007-07-20,67
2007-07-21,63
2007-07-22,62
2007-07-23,60
2007-07-24,59
2007-07-25,58
2007-07-26,57
2007-07-27,56
2007-07-28,55
2007-07-29,58
2007-08-05,76
2007-08-06,75
2007-08-07,75
2007-08-08,74
2007-08-09,74
2007-08-10,73
2007-08-11,73
2007-08-12,74
2007-08-13,77
2007-08-14,79
2007-08-15,81
2007-08-16,83
2007-08-17,85
2007-08-18,87
2007-08-19,83
2007-08-20,78
2007-08-21,74
2007-08-22,70
2007-08-23,66
2007-08-24,62
2007-08-25,59
2007-08-26,60
2007-08-27,63
2007-08-28,65
2007-08-29,67
2007-08-30,68
2007-08-31,70
2007-09-01,72
2007-09-02,70
2007-09-03,66
2007-09-04,64
