Date,Community Choice Financial
2011-02-01,0
2011-02-02,0
2011-02-03,0
2011-02-04,0
2011-02-05,0
2011-02-06,0
2011-02-07,0
2011-02-08,0
2011-02-09,0
2011-02-10,0
2011-02-11,0
2011-02-12,0
2011-02-13,0
2011-02-14,0
2011-02-15,0
2011-02-16,0
2011-02-17,0
2011-02-18,0
2011-02-19,0
2011-02-20,0
2011-02-21,0
2011-02-22,0
2011-02-23,0
2011-02-24,0
2011-02-25,0
2011-02-26,0
2011-02-27,0
2011-02-28,0
2011-03-01,0
2011-03-02,2
2011-03-03,4
2011-03-04,6
2011-03-05,9
2011-03-06,11
2011-03-07,13
2011-03-08,16
2011-03-09,18
2011-03-10,20
2011-03-11,23
2011-03-12,25
2011-03-13,27
2011-03-14,30
2011-03-15,32
2011-03-16,34
2011-03-17,37
2011-03-18,39
2011-03-19,41
2011-03-20,44
2011-03-21,46
2011-03-22,48
2011-03-23,51
2011-03-24,53
2011-03-25,55
2011-03-26,58
2011-03-27,60
2011-03-28,62
2011-03-29,65
2011-03-30,67
2011-03-31,69
2011-04-01,72
2011-04-02,72
2011-04-03,72
2011-04-04,72
2011-04-05,72
2011-04-06,72
2011-04-07,72
2011-04-08,72
2011-04-09,72
2011-04-10,72
2011-04-11,73
2011-04-12,73
2011-04-13,73
2011-04-14,73
2011-04-15,73
2011-04-16,73
2011-04-17,73
2011-04-18,73
2011-04-19,73
2011-04-20,73
2011-04-21,74
2011-04-22,74
2011-04-23,74
2011-04-24,74
2011-04-25,74
2011-04-26,74
2011-04-27,74
2011-04-28,74
2011-04-29,74
2011-04-30,74
2011-05-01,75
2011-05-02,75
2011-05-03,75
2011-05-04,75
2011-05-05,75
2011-05-06,75
2011-05-07,75
2011-05-08,75
2011-05-09,75
2011-05-10,75
2011-05-11,75
2011-05-12,76
2011-05-13,76
2011-05-14,76
2011-05-15,76
2011-05-16,76
2011-05-17,76
2011-05-18,76
2011-05-19,76
2011-05-20,76
2011-05-21,76
2011-05-22,77
2011-05-23,77
2011-05-24,77
2011-05-25,77
2011-05-26,77
2011-05-27,77
2011-05-28,77
2011-05-29,77
2011-05-30,77
2011-05-31,77
2011-06-01,78
2011-06-02,78
2011-06-03,78
2011-06-04,78
2011-06-05,78
2011-06-06,78
2011-06-07,78
2011-06-08,78
2011-06-09,78
2011-06-10,78
2011-06-11,78
2011-06-12,78
2011-06-13,78
2011-06-14,78
2011-06-15,78
2011-06-16,79
2011-06-17,79
2011-06-18,79
2011-06-19,79
2011-06-20,79
2011-06-21,79
2011-06-22,79
2011-06-23,79
2011-06-24,79
2011-06-25,79
2011-06-26,79
2011-06-27,79
2011-06-28,79
2011-06-29,79
2011-06-30,79
2011-07-01,80
2011-07-02,80
2011-07-03,80
2011-07-04,80
2011-07-05,80
2011-07-06,80
2011-07-07,80
2011-07-08,80
2011-07-09,80
2011-07-10,80
2011-07-11,80
2011-07-12,81
2011-07-13,81
2011-07-14,81
2011-07-15,81
2011-07-16,81
2011-07-17,81
2011-07-18,81
2011-07-19,81
2011-07-20,81
2011-07-21,81
2011-07-22,82
2011-07-23,82
2011-07-24,82
2011-07-25,82
2011-07-26,82
2011-07-27,82
2011-07-28,82
2011-07-29,82
2011-07-30,82
2011-07-31,82
2011-08-01,83
2011-08-02,82
2011-08-03,82
2011-08-04,81
2011-08-05,81
2011-08-06,81
2011-08-07,80
2011-08-08,80
2011-08-09,80
2011-08-10,79
2011-08-11,79
2011-08-12,79
2011-08-13,78
2011-08-14,78
2011-08-15,78
2011-08-16,77
2011-08-17,77
2011-08-18,76
2011-08-19,76
2011-08-20,76
2011-08-21,75
2011-08-22,75
2011-08-23,75
2011-08-24,74
2011-08-25,74
2011-08-26,74
2011-08-27,73
2011-08-28,73
2011-08-29,73
2011-08-30,72
2011-08-31,72
2011-09-01,72
2011-09-02,72
2011-09-03,72
2011-09-04,72
2011-09-05,72
2011-09-06,72
2011-09-07,72
2011-09-08,72
2011-09-09,72
2011-09-10,72
2011-09-11,72
2011-09-12,72
2011-09-13,72
2011-09-14,72
2011-09-15,72
2011-09-16,72
2011-09-17,72
2011-09-18,72
2011-09-19,72
2011-09-20,72
2011-09-21,72
2011-09-22,72
2011-09-23,72
2011-09-24,72
2011-09-25,72
2011-09-26,72
2011-09-27,72
2011-09-28,72
2011-09-29,72
2011-09-30,72
2011-10-01,72
2011-10-02,72
2011-10-03,72
2011-10-04,72
2011-10-05,72
2011-10-06,72
2011-10-07,73
2011-10-08,73
2011-10-09,73
2011-10-10,73
2011-10-11,73
2011-10-12,74
2011-10-13,74
2011-10-14,74
2011-10-15,74
2011-10-16,74
2011-10-17,75
2011-10-18,75
2011-10-19,75
2011-10-20,75
2011-10-21,75
2011-10-22,76
2011-10-23,76
2011-10-24,76
2011-10-25,76
2011-10-26,76
2011-10-27,77
2011-10-28,77
2011-10-29,77
2011-10-30,77
2011-10-31,77
2011-11-01,78
2011-11-02,77
2011-11-03,77
2011-11-04,77
2011-11-05,77
2011-11-06,77
2011-11-07,77
2011-11-08,77
2011-11-09,77
2011-11-10,77
2011-11-11,77
2011-11-12,77
2011-11-13,77
2011-11-14,77
2011-11-15,77
2011-11-16,77
2011-11-17,77
2011-11-18,77
2011-11-19,77
2011-11-20,77
2011-11-21,77
2011-11-22,77
2011-11-23,77
2011-11-24,77
2011-11-25,77
2011-11-26,77
2011-11-27,77
2011-11-28,77
2011-11-29,77
2011-11-30,77
2011-12-01,77
2011-12-02,76
2011-12-03,76
2011-12-04,75
2011-12-05,75
2011-12-06,75
2011-12-07,74
2011-12-08,74
2011-12-09,73
2011-12-10,73
2011-12-11,73
2011-12-12,72
2011-12-13,72
2011-12-14,71
2011-12-15,71
2011-12-16,71
2011-12-17,70
2011-12-18,70
2011-12-19,70
2011-12-20,69
2011-12-21,69
2011-12-22,68
2011-12-23,68
2011-12-24,68
2011-12-25,67
2011-12-26,67
2011-12-27,66
2011-12-28,66
2011-12-29,66
2011-12-30,65
2011-12-31,65
2012-01-01,65
2012-01-02,65
2012-01-03,65
2012-01-04,65
2012-01-05,65
2012-01-06,65
2012-01-07,65
2012-01-08,65
2012-01-09,65
2012-01-10,65
2012-01-11,65
2012-01-12,65
2012-01-13,65
2012-01-14,65
2012-01-15,65
2012-01-16,65
2012-01-17,65
2012-01-18,65
2012-01-19,65
2012-01-20,65
2012-01-21,65
2012-01-22,65
2012-01-23,65
2012-01-24,65
2012-01-25,65
2012-01-26,65
2012-01-27,65
2012-01-28,65
2012-01-29,65
2012-01-30,65
2012-01-31,65
2012-02-01,65
2012-02-02,65
2012-02-03,65
2012-02-04,65
2012-02-05,65
2012-02-06,65
2012-02-07,65
2012-02-08,65
2012-02-09,65
2012-02-10,65
2012-02-11,65
2012-02-12,65
2012-02-13,65
2012-02-14,65
2012-02-15,65
2012-02-16,65
2012-02-17,65
2012-02-18,65
2012-02-19,65
2012-02-20,65
2012-02-21,65
2012-02-22,65
2012-02-23,65
2012-02-24,65
2012-02-25,65
2012-02-26,65
2012-02-27,65
2012-02-28,65
2012-02-29,65
2012-03-01,65
2012-03-02,65
2012-03-03,65
2012-03-04,65
2012-03-05,66
2012-03-06,66
2012-03-07,66
2012-03-08,66
2012-03-09,67
2012-03-10,67
2012-03-11,67
2012-03-12,67
2012-03-13,68
2012-03-14,68
2012-03-15,68
2012-03-16,68
2012-03-17,69
2012-03-18,69
2012-03-19,69
2012-03-20,69
2012-03-21,70
2012-03-22,70
2012-03-23,70
2012-03-24,70
2012-03-25,71
2012-03-26,71
2012-03-27,71
2012-03-28,71
2012-03-29,72
2012-03-30,72
2012-03-31,72
2012-04-01,73
2012-04-02,73
2012-04-03,74
2012-04-04,75
2012-04-05,76
2012-04-06,77
2012-04-07,78
2012-04-08,79
2012-04-09,80
2012-04-10,81
2012-04-11,82
2012-04-12,82
2012-04-13,83
2012-04-14,84
2012-04-15,85
2012-04-16,86
2012-04-17,87
2012-04-18,88
2012-04-19,89
2012-04-20,90
2012-04-21,91
2012-04-22,91
2012-04-23,92
2012-04-24,93
2012-04-25,94
2012-04-26,95
2012-04-27,96
2012-04-28,97
2012-04-29,98
2012-04-30,99
2012-05-01,100
2012-05-02,99
2012-05-03,98
2012-05-04,98
