Date,Tillys
2011-01-01,58
2011-01-02,56
2011-01-03,57
2011-01-04,52
2011-01-05,50
2011-01-06,48
2011-01-07,47
2011-01-08,45
2011-01-09,45
2011-01-10,44
2011-01-11,42
2011-01-12,43
2011-01-13,41
2011-01-14,41
2011-01-15,40
2011-01-16,42
2011-01-17,38
2011-01-18,38
2011-01-19,37
2011-01-20,38
2011-01-21,35
2011-01-22,35
2011-01-23,35
2011-01-24,38
2011-01-25,36
2011-01-26,37
2011-01-27,37
2011-01-28,38
2011-01-29,39
2011-01-30,38
2011-01-31,41
2011-02-01,38
2011-02-02,37
2011-02-03,38
2011-02-04,37
2011-02-05,37
2011-02-06,37
2011-02-07,38
2011-02-08,37
2011-02-09,37
2011-02-10,39
2011-02-11,37
2011-02-12,37
2011-02-13,38
2011-02-14,37
2011-02-15,38
2011-02-16,37
2011-02-17,38
2011-02-18,37
2011-02-19,38
2011-02-20,38
2011-02-21,38
2011-02-22,39
2011-02-23,41
2011-02-24,38
2011-02-25,40
2011-02-26,39
2011-02-27,39
2011-02-28,41
2011-03-01,39
2011-03-02,39
2011-03-03,39
2011-03-04,39
2011-03-05,40
2011-03-06,40
2011-03-07,43
2011-03-08,42
2011-03-09,42
2011-03-10,42
2011-03-11,45
2011-03-12,44
2011-03-13,43
2011-03-14,45
2011-03-15,43
2011-03-16,42
2011-03-17,42
2011-03-18,42
2011-03-19,42
2011-03-20,42
2011-03-21,42
2011-03-22,43
2011-03-23,42
2011-03-24,42
2011-03-25,43
2011-03-26,42
2011-03-27,43
2011-03-28,42
2011-03-29,43
2011-03-30,42
2011-03-31,42
2011-04-01,42
2011-04-02,43
2011-04-03,43
2011-04-04,45
2011-04-05,44
2011-04-06,44
2011-04-07,46
2011-04-08,44
2011-04-09,46
2011-04-10,44
2011-04-11,44
2011-04-12,44
2011-04-13,42
2011-04-14,42
2011-04-15,42
2011-04-16,41
2011-04-17,42
2011-04-18,43
2011-04-19,44
2011-04-20,45
2011-04-21,46
2011-04-22,47
2011-04-23,48
2011-04-24,48
2011-04-25,48
2011-04-26,47
2011-04-27,45
2011-04-28,45
2011-04-29,44
2011-04-30,44
2011-05-01,44
2011-05-02,45
2011-05-03,43
2011-05-04,42
2011-05-05,41
2011-05-06,41
2011-05-07,41
2011-05-08,41
2011-05-09,42
2011-05-10,40
2011-05-11,40
2011-05-12,40
2011-05-13,40
2011-05-14,40
2011-05-15,40
2011-05-16,42
2011-05-17,43
2011-05-18,42
2011-05-19,43
2011-05-20,44
2011-05-21,45
2011-05-22,45
2011-05-23,46
2011-05-24,45
2011-05-25,45
2011-05-26,45
2011-05-27,45
2011-05-28,45
2011-05-29,45
2011-05-30,45
2011-05-31,46
2011-06-01,45
2011-06-02,45
2011-06-03,45
2011-06-04,46
2011-06-05,45
2011-06-06,45
2011-06-07,46
2011-06-08,45
2011-06-09,46
2011-06-10,45
2011-06-11,45
2011-06-12,45
2011-06-13,48
2011-06-14,47
2011-06-15,47
2011-06-16,47
2011-06-17,49
2011-06-18,49
2011-06-19,49
2011-06-20,47
2011-06-21,48
2011-06-22,45
2011-06-23,45
2011-06-24,44
2011-06-25,43
2011-06-26,43
2011-06-27,44
2011-06-28,45
2011-06-29,46
