Date,TriState Capital
2012-10-07,56
2012-10-08,58
2012-10-09,59
2012-10-10,60
2012-10-11,61
2012-10-12,63
2012-10-13,66
2012-10-14,58
2012-10-15,56
2012-10-16,55
2012-10-17,53
2012-10-18,52
2012-10-19,50
2012-10-20,49
2012-10-21,49
2012-10-22,49
2012-10-23,49
2012-10-24,49
2012-10-25,49
2012-10-26,49
2012-10-27,49
2012-10-28,49
2012-10-29,49
2012-10-30,49
2012-10-31,49
2012-11-01,49
2012-11-02,49
2012-11-03,49
2012-11-04,49
2012-11-05,49
2012-11-06,49
2012-11-07,49
2012-11-08,49
2012-11-09,49
2012-11-10,49
2012-11-11,49
2012-11-12,49
2012-11-13,49
2012-11-14,49
2012-11-15,49
2012-11-16,49
2012-11-17,49
2012-11-18,50
2012-11-19,51
2012-11-20,52
2012-11-21,53
2012-11-22,54
2012-11-23,55
2012-11-24,56
2012-11-25,56
2012-11-26,57
2012-11-27,58
2012-11-28,59
2012-11-29,60
2012-11-30,61
2012-12-01,62
2012-12-02,62
2012-12-03,62
2012-12-04,62
2012-12-05,62
2012-12-06,62
2012-12-07,62
2012-12-08,62
2012-12-09,62
2012-12-10,61
2012-12-11,61
2012-12-12,60
2012-12-13,60
2012-12-14,60
2012-12-15,60
2012-12-16,60
2012-12-17,61
2012-12-18,61
2012-12-19,62
2012-12-20,63
2012-12-21,64
2012-12-22,66
2012-12-23,60
2012-12-24,60
2012-12-25,60
2012-12-26,60
2012-12-27,60
2012-12-28,60
2012-12-29,60
2012-12-30,60
2013-01-06,60
2013-01-07,60
2013-01-08,60
2013-01-09,60
2013-01-10,60
2013-01-11,60
2013-01-12,60
2013-01-13,60
2013-01-14,59
2013-01-15,59
2013-01-16,59
2013-01-17,59
2013-01-18,59
2013-01-19,59
2013-01-20,59
2013-01-21,59
2013-01-22,59
2013-01-23,60
2013-01-24,60
2013-01-25,60
2013-01-26,61
2013-01-27,61
2013-01-28,61
2013-01-29,61
2013-01-30,62
2013-01-31,62
2013-02-01,62
2013-02-02,63
2013-02-03,61
2013-02-04,60
2013-02-05,59
2013-02-06,58
2013-02-07,56
2013-02-08,55
2013-02-09,54
2013-02-10,56
2013-02-11,59
2013-02-12,62
2013-02-13,64
2013-02-14,67
2013-02-15,70
2013-02-16,73
2013-02-17,72
2013-02-18,72
2013-02-19,72
2013-02-20,71
2013-02-21,71
2013-02-22,71
2013-02-23,71
2013-02-24,71
2013-02-25,71
2013-02-26,71
2013-02-27,71
2013-02-28,71
2013-03-01,71
2013-03-02,71
2013-03-03,71
2013-03-04,71
2013-03-05,71
2013-03-06,72
2013-03-07,72
2013-03-08,72
2013-03-09,72
2013-03-10,71
2013-03-11,69
2013-03-12,68
2013-03-13,67
2013-03-14,66
2013-03-15,65
2013-03-16,65
2013-03-17,65
2013-03-18,65
2013-03-19,65
2013-03-20,65
2013-03-21,65
2013-03-22,65
2013-03-23,65
2013-03-24,65
2013-03-25,65
2013-03-26,66
2013-03-27,66
2013-03-28,67
2013-03-29,67
2013-03-30,68
2013-03-31,67
2013-04-07,62
2013-04-08,62
2013-04-09,62
2013-04-10,62
2013-04-11,62
2013-04-12,62
2013-04-13,62
2013-04-14,62
2013-04-15,76
2013-04-16,62
2013-04-17,62
2013-04-18,62
2013-04-19,62
2013-04-20,62
2013-04-21,62
2013-04-22,62
2013-04-23,62
2013-04-24,62
2013-04-25,62
2013-04-26,62
2013-04-27,62
2013-04-28,63
2013-04-29,64
2013-04-30,65
2013-05-01,66
2013-05-02,67
2013-05-03,68
2013-05-04,69
2013-05-05,70
2013-05-06,71
2013-05-07,72
2013-05-08,73
2013-05-09,74
2013-05-10,75
2013-05-11,76
2013-05-12,72
2013-05-13,68
2013-05-14,64
2013-05-15,60
2013-05-16,56
2013-05-17,52
2013-05-18,48
2013-05-19,48
2013-05-20,49
2013-05-21,49
2013-05-22,50
2013-05-23,50
2013-05-24,51
2013-05-25,52
2013-05-26,52
2013-05-27,52
2013-05-28,52
2013-05-29,52
2013-05-30,52
2013-05-31,52
2013-06-01,52
2013-06-02,50
2013-06-03,49
2013-06-04,48
2013-06-05,47
2013-06-06,46
2013-06-07,45
2013-06-08,44
2013-06-09,47
2013-06-10,51
2013-06-11,55
2013-06-12,58
2013-06-13,62
2013-06-14,66
2013-06-15,70
2013-06-16,68
2013-06-17,67
2013-06-18,66
2013-06-19,65
2013-06-20,64
2013-06-21,63
2013-06-22,62
2013-06-23,63
2013-06-24,64
2013-06-25,65
2013-06-26,66
2013-06-27,67
2013-06-28,69
2013-06-29,70
2013-06-30,67
2013-07-07,49
2013-07-08,61
2013-07-09,47
2013-07-10,47
2013-07-11,46
2013-07-12,45
2013-07-13,45
2013-07-14,51
2013-07-15,57
2013-07-16,63
2013-07-17,69
2013-07-18,75
2013-07-19,81
2013-07-20,88
2013-07-21,83
2013-07-22,78
2013-07-23,73
2013-07-24,68
2013-07-25,63
2013-07-26,58
2013-07-27,54
2013-07-28,56
2013-07-29,59
2013-07-30,61
2013-07-31,64
2013-08-01,66
2013-08-02,69
2013-08-03,71
2013-08-04,69
2013-08-05,65
2013-08-06,62
2013-08-07,60
2013-08-08,57
2013-08-09,54
2013-08-10,52
2013-08-11,52
2013-08-12,52
2013-08-13,52
2013-08-14,52
2013-08-15,52
2013-08-16,52
2013-08-17,52
2013-08-18,52
2013-08-19,52
2013-08-20,52
2013-08-21,52
2013-08-22,52
2013-08-23,52
2013-08-24,52
2013-08-25,52
2013-08-26,52
2013-08-27,52
2013-08-28,52
2013-08-29,52
2013-08-30,52
2013-08-31,52
2013-09-01,58
2013-09-02,64
2013-09-03,70
2013-09-04,76
2013-09-05,82
2013-09-06,88
2013-09-07,94
2013-09-08,89
2013-09-09,84
2013-09-10,80
2013-09-11,75
2013-09-12,71
2013-09-13,66
2013-09-14,62
2013-09-15,62
2013-09-16,62
2013-09-17,62
2013-09-18,62
2013-09-19,62
2013-09-20,62
2013-09-21,62
2013-09-22,62
2013-09-23,62
2013-09-24,62
2013-09-25,63
2013-09-26,63
2013-09-27,63
2013-09-28,64
2013-09-29,64
2013-10-06,63
2013-10-07,60
2013-10-08,57
2013-10-09,54
2013-10-10,51
2013-10-11,48
2013-10-12,46
2013-10-13,49
2013-10-14,53
2013-10-15,56
2013-10-16,60
2013-10-17,63
2013-10-18,67
