Date,SolarCity
2012-04-01,20
2012-04-02,19
2012-04-03,19
2012-04-04,18
2012-04-05,18
2012-04-06,17
2012-04-07,17
2012-04-08,18
2012-04-09,17
2012-04-10,18
2012-04-11,18
2012-04-12,19
2012-04-13,20
2012-04-14,22
2012-04-15,20
2012-04-16,20
2012-04-17,20
2012-04-18,20
2012-04-19,20
2012-04-20,20
2012-04-21,21
2012-04-22,20
2012-04-23,19
2012-04-24,19
2012-04-25,18
2012-04-26,19
2012-04-27,19
2012-04-28,18
2012-04-29,19
2012-04-30,19
2012-05-01,20
2012-05-02,21
2012-05-03,25
2012-05-04,23
2012-05-05,24
2012-05-06,24
2012-05-07,22
2012-05-08,22
2012-05-09,22
2012-05-10,21
2012-05-11,23
2012-05-12,21
2012-05-13,19
2012-05-14,19
2012-05-15,19
2012-05-16,19
2012-05-17,19
2012-05-18,20
2012-05-19,19
2012-05-20,19
2012-05-21,20
2012-05-22,21
2012-05-23,21
2012-05-24,23
2012-05-25,22
2012-05-26,26
2012-05-27,22
2012-05-28,22
2012-05-29,21
2012-05-30,22
2012-05-31,20
2012-06-01,21
2012-06-02,20
2012-06-03,20
2012-06-04,19
2012-06-05,19
2012-06-06,18
2012-06-07,19
2012-06-08,17
2012-06-09,17
2012-06-10,17
2012-06-11,17
2012-06-12,17
2012-06-13,17
2012-06-14,19
2012-06-15,18
2012-06-16,18
2012-06-17,18
2012-06-18,18
2012-06-19,19
2012-06-20,19
2012-06-21,21
2012-06-22,20
2012-06-23,21
2012-06-24,21
2012-06-25,21
2012-06-26,21
2012-06-27,21
2012-06-28,23
2012-06-29,21
2012-06-30,23
2012-07-01,21
2012-07-02,21
2012-07-03,20
2012-07-04,20
2012-07-05,19
2012-07-06,19
2012-07-07,18
2012-07-08,19
2012-07-09,18
2012-07-10,18
2012-07-11,19
2012-07-12,19
2012-07-13,18
2012-07-14,19
2012-07-15,19
2012-07-16,19
2012-07-17,19
2012-07-18,21
2012-07-19,19
2012-07-20,20
2012-07-21,20
2012-07-22,20
2012-07-23,19
2012-07-24,19
2012-07-25,19
2012-07-26,18
2012-07-27,18
2012-07-28,18
2012-07-29,18
2012-07-30,18
2012-07-31,19
2012-08-01,19
2012-08-02,20
2012-08-03,19
2012-08-04,21
2012-08-05,20
2012-08-06,20
2012-08-07,20
2012-08-08,20
2012-08-09,20
2012-08-10,20
2012-08-11,21
2012-08-12,20
2012-08-13,20
2012-08-14,20
2012-08-15,20
2012-08-16,20
2012-08-17,21
2012-08-18,21
2012-08-19,21
2012-08-20,19
2012-08-21,19
2012-08-22,18
2012-08-23,17
2012-08-24,16
2012-08-25,16
2012-08-26,17
2012-08-27,17
2012-08-28,17
2012-08-29,19
2012-08-30,19
2012-08-31,19
2012-09-01,21
2012-09-02,20
2012-09-03,20
2012-09-04,20
2012-09-05,21
2012-09-06,20
2012-09-07,20
2012-09-08,21
2012-09-09,20
2012-09-10,20
2012-09-11,20
2012-09-12,21
2012-09-13,20
2012-09-14,20
2012-09-15,20
2012-09-16,22
