Date,First Solar
2005-12-10,13
2005-12-11,13
2005-12-12,14
2005-12-13,14
2005-12-14,15
2005-12-15,15
2005-12-16,16
2005-12-17,17
2005-12-18,16
2005-12-19,15
2005-12-20,14
2005-12-21,13
2005-12-22,12
2005-12-23,11
2005-12-24,10
2005-12-25,10
2005-12-26,10
2005-12-27,10
2005-12-28,10
2005-12-29,10
2005-12-30,10
2005-12-31,10
2006-01-01,10
2006-01-02,10
2006-01-03,10
2006-01-04,10
2006-01-05,10
2006-01-06,10
2006-01-07,10
2006-01-08,10
2006-01-09,11
2006-01-10,12
2006-01-11,13
2006-01-12,14
2006-01-13,15
2006-01-14,16
2006-01-15,16
2006-01-16,16
2006-01-17,16
2006-01-18,16
2006-01-19,16
2006-01-20,16
2006-01-21,16
2006-01-22,15
2006-01-23,15
2006-01-24,15
2006-01-25,14
2006-01-26,14
2006-01-27,14
2006-01-28,14
2006-01-29,14
2006-01-30,14
2006-01-31,14
2006-02-01,15
2006-02-02,15
2006-02-03,15
2006-02-04,16
2006-02-05,16
2006-02-06,16
2006-02-07,16
2006-02-08,16
2006-02-09,16
2006-02-10,16
2006-02-11,17
2006-02-12,16
2006-02-13,15
2006-02-14,14
2006-02-15,13
2006-02-16,12
2006-02-17,12
2006-02-18,11
2006-02-19,11
2006-02-20,12
2006-02-21,12
2006-02-22,13
2006-02-23,13
2006-02-24,14
2006-02-25,15
2006-02-26,15
2006-03-05,14
2006-03-06,13
2006-03-07,13
2006-03-08,12
2006-03-09,12
2006-03-10,11
2006-03-11,11
2006-03-12,11
2006-03-13,11
2006-03-14,12
2006-03-15,12
2006-03-16,13
2006-03-17,13
2006-03-18,14
2006-03-19,13
2006-03-20,13
2006-03-21,13
2006-03-22,12
2006-03-23,12
2006-03-24,12
2006-03-25,12
2006-03-26,12
2006-03-27,13
2006-03-28,14
2006-03-29,14
2006-03-30,15
2006-03-31,16
2006-04-01,17
2006-04-02,16
2006-04-03,15
2006-04-04,14
2006-04-05,13
2006-04-06,12
2006-04-07,12
2006-04-08,11
2006-04-09,11
2006-04-10,10
2006-04-11,10
2006-04-12,10
2006-04-13,10
2006-04-14,10
2006-04-15,10
2006-04-16,10
2006-04-17,10
2006-04-18,10
2006-04-19,11
2006-04-20,11
2006-04-21,11
2006-04-22,12
2006-04-23,13
2006-04-24,14
2006-04-25,16
2006-04-26,17
2006-04-27,18
2006-04-28,19
2006-04-29,21
2006-04-30,20
2006-05-01,19
2006-05-02,18
2006-05-03,17
2006-05-04,16
2006-05-05,15
2006-05-06,15
2006-05-07,15
2006-05-08,16
2006-05-09,17
2006-05-10,17
2006-05-11,18
2006-05-12,19
2006-05-13,20
2006-05-14,19
2006-05-15,19
2006-05-16,19
2006-05-17,19
2006-05-18,18
2006-05-19,18
2006-05-20,18
2006-05-21,17
2006-05-22,16
2006-05-23,15
2006-05-24,15
2006-05-25,14
2006-05-26,13
2006-05-27,13
2006-05-28,12
2006-06-04,12
2006-06-05,12
2006-06-06,12
2006-06-07,12
2006-06-08,12
2006-06-09,12
2006-06-10,12
2006-06-11,13
2006-06-12,15
2006-06-13,16
2006-06-14,17
2006-06-15,19
2006-06-16,20
2006-06-17,22
2006-06-18,21
2006-06-19,19
2006-06-20,18
2006-06-21,17
2006-06-22,16
2006-06-23,15
2006-06-24,14
2006-06-25,13
2006-06-26,13
2006-06-27,13
2006-06-28,12
2006-06-29,12
2006-06-30,12
2006-07-01,12
2006-07-02,12
2006-07-03,12
2006-07-04,13
2006-07-05,13
2006-07-06,14
2006-07-07,14
2006-07-08,15
2006-07-09,15
2006-07-10,15
2006-07-11,16
2006-07-12,16
2006-07-13,17
2006-07-14,17
2006-07-15,18
2006-07-16,18
2006-07-17,18
2006-07-18,19
2006-07-19,19
2006-07-20,20
2006-07-21,20
2006-07-22,21
2006-07-23,20
2006-07-24,19
2006-07-25,18
2006-07-26,18
2006-07-27,17
2006-07-28,16
2006-07-29,16
2006-07-30,16
2006-07-31,16
2006-08-01,16
2006-08-02,16
2006-08-03,16
2006-08-04,16
2006-08-05,17
2006-08-06,16
2006-08-07,16
2006-08-08,16
2006-08-09,15
2006-08-10,15
2006-08-11,15
2006-08-12,15
2006-08-13,15
2006-08-14,15
2006-08-15,15
2006-08-16,15
2006-08-17,15
2006-08-18,15
2006-08-19,15
2006-08-20,14
2006-08-21,14
2006-08-22,13
2006-08-23,13
2006-08-24,12
2006-08-25,12
2006-08-26,12
2006-08-27,12
2006-09-03,18
2006-09-04,19
2006-09-05,19
2006-09-06,20
2006-09-07,20
2006-09-08,21
2006-09-09,22
2006-09-10,22
2006-09-11,22
2006-09-12,23
2006-09-13,23
2006-09-14,23
2006-09-15,24
2006-09-16,24
2006-09-17,22
2006-09-18,20
2006-09-19,18
2006-09-20,16
2006-09-21,14
2006-09-22,12
2006-09-23,10
2006-09-24,11
2006-09-25,12
2006-09-26,13
2006-09-27,15
2006-09-28,16
2006-09-29,17
2006-09-30,19
2006-10-01,17
2006-10-02,16
2006-10-03,15
2006-10-04,14
2006-10-05,13
2006-10-06,12
2006-10-07,11
2006-10-08,11
2006-10-09,12
2006-10-10,13
2006-10-11,13
2006-10-12,14
2006-10-13,15
