Date,Bonanza Creek Energy
2011-11-13,38
2011-11-14,42
2011-11-15,45
2011-11-16,48
2011-11-17,51
2011-11-18,54
2011-11-19,58
2011-11-20,61
2011-11-21,64
2011-11-22,67
2011-11-23,71
2011-11-24,74
2011-11-25,77
2011-11-26,80
2011-11-27,84
2011-11-28,87
2011-11-29,90
2011-11-30,93
2011-12-01,97
2011-12-02,97
2011-12-03,97
2011-12-04,97
2011-12-05,97
2011-12-06,97
2011-12-07,97
2011-12-08,97
2011-12-09,97
2011-12-10,97
2011-12-11,97
2011-12-12,97
2011-12-13,97
2011-12-14,97
2011-12-15,97
2011-12-16,97
2011-12-17,98
2011-12-18,98
2011-12-19,98
2011-12-20,98
2011-12-21,98
2011-12-22,98
2011-12-23,98
2011-12-24,98
2011-12-25,98
2011-12-26,98
2011-12-27,98
2011-12-28,98
2011-12-29,98
2011-12-30,98
2011-12-31,98
2012-01-01,99
2012-01-02,98
2012-01-03,97
2012-01-04,96
2012-01-05,95
2012-01-06,95
2012-01-07,94
2012-01-08,93
2012-01-09,92
2012-01-10,92
2012-01-11,91
2012-01-12,90
2012-01-13,89
2012-01-14,88
2012-01-15,88
2012-01-16,87
2012-01-17,86
2012-01-18,85
2012-01-19,85
2012-01-20,84
2012-01-21,83
2012-01-22,82
2012-01-23,81
2012-01-24,81
2012-01-25,80
2012-01-26,79
2012-01-27,78
2012-01-28,78
2012-01-29,77
2012-01-30,76
2012-01-31,75
2012-02-01,75
2012-02-02,73
2012-02-03,72
2012-02-04,71
2012-02-05,70
2012-02-06,69
2012-02-07,68
2012-02-08,67
2012-02-09,65
2012-02-10,64
2012-02-11,63
2012-02-12,62
2012-02-13,61
2012-02-14,60
2012-02-15,59
2012-02-16,57
2012-02-17,56
2012-02-18,55
2012-02-19,54
2012-02-20,53
2012-02-21,52
2012-02-22,51
2012-02-23,49
2012-02-24,48
2012-02-25,47
2012-02-26,46
2012-02-27,45
2012-02-28,44
2012-02-29,43
2012-03-01,42
2012-03-02,42
2012-03-03,43
2012-03-04,44
2012-03-05,45
2012-03-06,45
2012-03-07,46
2012-03-08,47
2012-03-09,48
2012-03-10,48
2012-03-11,49
2012-03-12,50
2012-03-13,51
2012-03-14,52
2012-03-15,52
2012-03-16,53
2012-03-17,54
2012-03-18,55
2012-03-19,55
2012-03-20,56
2012-03-21,57
2012-03-22,58
2012-03-23,59
2012-03-24,59
2012-03-25,60
2012-03-26,61
2012-03-27,62
2012-03-28,62
2012-03-29,63
2012-03-30,64
2012-03-31,65
2012-04-01,66
2012-04-02,66
2012-04-03,66
2012-04-04,66
2012-04-05,67
2012-04-06,67
2012-04-07,67
2012-04-08,67
2012-04-09,68
2012-04-10,68
2012-04-11,68
2012-04-12,68
2012-04-13,69
2012-04-14,69
2012-04-15,69
2012-04-16,70
2012-04-17,70
2012-04-18,70
2012-04-19,70
2012-04-20,71
2012-04-21,71
2012-04-22,71
2012-04-23,71
2012-04-24,72
2012-04-25,72
2012-04-26,72
2012-04-27,72
2012-04-28,73
2012-04-29,73
2012-04-30,73
2012-05-01,74
2012-05-02,74
2012-05-03,74
2012-05-04,74
2012-05-05,74
2012-05-06,74
2012-05-07,74
2012-05-08,74
2012-05-09,74
2012-05-10,74
2012-05-11,74
2012-05-12,74
2012-05-13,74
2012-05-14,74
2012-05-15,74
2012-05-16,74
2012-05-17,74
2012-05-18,74
2012-05-19,74
2012-05-20,74
2012-05-21,74
2012-05-22,74
2012-05-23,74
2012-05-24,74
2012-05-25,74
2012-05-26,74
2012-05-27,74
2012-05-28,74
2012-05-29,74
2012-05-30,74
2012-05-31,74
2012-06-01,74
2012-06-02,74
2012-06-03,74
2012-06-04,74
2012-06-05,74
2012-06-06,74
2012-06-07,74
2012-06-08,74
2012-06-09,74
2012-06-10,74
2012-06-11,74
2012-06-12,74
2012-06-13,74
2012-06-14,74
2012-06-15,74
2012-06-16,74
2012-06-17,74
2012-06-18,74
2012-06-19,74
2012-06-20,74
2012-06-21,74
2012-06-22,74
2012-06-23,74
2012-06-24,74
2012-06-25,74
2012-06-26,74
2012-06-27,74
2012-06-28,74
2012-06-29,74
2012-06-30,74
2012-07-01,74
2012-07-02,74
2012-07-03,75
2012-07-04,76
2012-07-05,77
2012-07-06,78
2012-07-07,79
2012-07-08,79
2012-07-09,80
2012-07-10,81
2012-07-11,82
2012-07-12,83
2012-07-13,84
2012-07-14,84
2012-07-15,85
2012-07-16,86
2012-07-17,87
2012-07-18,88
2012-07-19,89
2012-07-20,89
2012-07-21,90
2012-07-22,91
2012-07-23,92
2012-07-24,93
2012-07-25,94
2012-07-26,94
2012-07-27,95
2012-07-28,96
2012-07-29,97
2012-07-30,98
2012-07-31,99
2012-08-01,100
2012-08-02,99
2012-08-03,99
2012-08-04,98
2012-08-05,98
2012-08-06,97
2012-08-07,97
2012-08-08,96
2012-08-09,96
2012-08-10,95
2012-08-11,95
2012-08-12,95
2012-08-13,94
2012-08-14,94
2012-08-15,93
2012-08-16,93
2012-08-17,92
2012-08-18,92
2012-08-19,91
2012-08-20,91
2012-08-21,90
2012-08-22,90
2012-08-23,90
2012-08-24,89
2012-08-25,89
2012-08-26,88
2012-08-27,88
2012-08-28,87
2012-08-29,87
2012-08-30,86
2012-08-31,86
2012-09-01,86
2012-09-02,85
2012-09-03,84
2012-09-04,84
2012-09-05,83
2012-09-06,83
2012-09-07,82
2012-09-08,82
2012-09-09,81
2012-09-10,81
2012-09-11,80
2012-09-12,80
2012-09-13,79
2012-09-14,79
2012-09-15,78
2012-09-16,78
2012-09-17,77
2012-09-18,76
2012-09-19,76
2012-09-20,75
2012-09-21,75
2012-09-22,74
2012-09-23,74
2012-09-24,73
2012-09-25,73
2012-09-26,72
2012-09-27,72
2012-09-28,71
2012-09-29,71
2012-09-30,70
2012-10-01,70
2012-10-02,70
2012-10-03,71
2012-10-04,72
2012-10-05,72
2012-10-06,73
2012-10-07,74
2012-10-08,74
2012-10-09,75
2012-10-10,76
2012-10-11,76
2012-10-12,77
2012-10-13,78
2012-10-14,78
2012-10-15,79
2012-10-16,80
2012-10-17,80
2012-10-18,81
2012-10-19,82
2012-10-20,82
2012-10-21,83
2012-10-22,84
2012-10-23,84
2012-10-24,85
2012-10-25,86
2012-10-26,86
2012-10-27,87
2012-10-28,88
2012-10-29,88
2012-10-30,89
2012-10-31,90
2012-11-01,91
