Date,rue21
2009-03-01,41
2009-03-02,40
2009-03-03,39
2009-03-04,38
2009-03-05,38
2009-03-06,36
2009-03-07,36
2009-03-08,37
2009-03-09,39
2009-03-10,42
2009-03-11,41
2009-03-12,42
2009-03-13,43
2009-03-14,45
2009-03-15,45
2009-03-16,46
2009-03-17,46
2009-03-18,45
2009-03-19,46
2009-03-20,45
2009-03-21,46
2009-03-22,45
2009-03-23,46
2009-03-24,43
2009-03-25,42
2009-03-26,42
2009-03-27,40
2009-03-28,39
2009-03-29,40
2009-03-30,43
2009-03-31,44
2009-04-01,46
2009-04-02,46
2009-04-03,48
2009-04-04,50
2009-04-05,50
2009-04-06,52
2009-04-07,50
2009-04-08,53
2009-04-09,51
2009-04-10,51
2009-04-11,52
2009-04-12,51
2009-04-13,51
2009-04-14,50
2009-04-15,50
2009-04-16,48
2009-04-17,49
2009-04-18,47
2009-04-19,48
2009-04-20,48
2009-04-21,47
2009-04-22,48
2009-04-23,47
2009-04-24,47
2009-04-25,47
2009-04-26,47
2009-04-27,46
2009-04-28,44
2009-04-29,44
2009-04-30,42
2009-05-01,41
2009-05-02,40
2009-05-03,41
2009-05-04,41
2009-05-05,42
2009-05-06,43
2009-05-07,43
2009-05-08,44
2009-05-09,45
2009-05-10,45
2009-05-11,46
2009-05-12,45
2009-05-13,45
2009-05-14,46
2009-05-15,45
2009-05-16,45
2009-05-17,45
2009-05-18,46
2009-05-19,48
2009-05-20,48
2009-05-21,47
2009-05-22,48
2009-05-23,49
2009-05-24,49
2009-05-25,47
2009-05-26,46
2009-05-27,46
2009-05-28,44
2009-05-29,44
2009-05-30,43
2009-05-31,44
2009-06-01,43
2009-06-02,45
2009-06-03,43
2009-06-04,43
2009-06-05,43
2009-06-06,44
2009-06-07,45
2009-06-08,44
2009-06-09,44
2009-06-10,44
2009-06-11,46
2009-06-12,44
2009-06-13,45
2009-06-14,45
2009-06-15,45
2009-06-16,43
2009-06-17,47
2009-06-18,42
2009-06-19,42
2009-06-20,42
2009-06-21,41
2009-06-22,43
2009-06-23,41
2009-06-24,40
2009-06-25,40
2009-06-26,41
2009-06-27,40
2009-06-28,40
2009-06-29,40
2009-06-30,42
2009-07-01,41
2009-07-02,42
2009-07-03,44
2009-07-04,44
2009-07-05,44
2009-07-06,46
2009-07-07,47
2009-07-08,52
2009-07-09,50
2009-07-10,54
2009-07-11,54
2009-07-12,54
2009-07-13,54
2009-07-14,54
2009-07-15,54
2009-07-16,56
2009-07-17,54
2009-07-18,54
2009-07-19,54
2009-07-20,57
2009-07-21,55
2009-07-22,56
2009-07-23,56
2009-07-24,58
2009-07-25,58
2009-07-26,61
2009-07-27,60
2009-07-28,62
2009-07-29,63
2009-07-30,65
2009-07-31,66
2009-08-01,67
2009-08-02,68
2009-08-03,68
2009-08-04,69
2009-08-05,68
2009-08-06,70
2009-08-07,69
2009-08-08,70
2009-08-09,69
2009-08-10,75
2009-08-11,69
2009-08-12,70
2009-08-13,69
2009-08-14,69
2009-08-15,70
2009-08-16,68
2009-08-17,70
2009-08-18,67
2009-08-19,66
2009-08-20,65
2009-08-21,64
2009-08-22,64
2009-08-23,63
2009-08-24,64
2009-08-25,59
2009-08-26,57
2009-08-27,54
2009-08-28,53
2009-08-29,50
2009-08-30,49
2009-08-31,52
2009-09-01,47
2009-09-02,46
2009-09-03,46
2009-09-04,44
2009-09-05,44
2009-09-06,44
2009-09-07,45
2009-09-08,44
2009-09-09,42
2009-09-10,43
2009-09-11,42
2009-09-12,42
2009-09-13,42
2009-09-14,44
2009-09-15,43
2009-09-16,44
2009-09-17,44
2009-09-18,46
2009-09-19,45
2009-09-20,45
2009-09-21,48
2009-09-22,47
2009-09-23,48
2009-09-24,47
2009-09-25,48
2009-09-26,49
2009-09-27,48
2009-09-28,52
2009-09-29,47
2009-09-30,46
2009-10-01,46
2009-10-02,45
2009-10-03,45
2009-10-04,45
2009-10-05,46
2009-10-06,46
2009-10-07,48
2009-10-08,47
2009-10-09,47
2009-10-10,48
2009-10-11,48
2009-10-12,51
2009-10-13,52
2009-10-14,51
2009-10-15,52
2009-10-16,54
2009-10-17,54
2009-10-18,54
2009-10-19,55
2009-10-20,54
2009-10-21,52
2009-10-22,51
2009-10-23,51
2009-10-24,52
2009-10-25,53
2009-10-26,51
2009-10-27,52
2009-10-28,52
2009-10-29,52
2009-10-30,52
2009-10-31,53
2009-11-01,54
2009-11-02,53
2009-11-03,54
2009-11-04,54
2009-11-05,53
2009-11-06,54
2009-11-07,54
2009-11-08,57
2009-11-09,56
2009-11-10,57
2009-11-11,58
2009-11-12,61
2009-11-13,60
2009-11-14,64
2009-11-15,62
2009-11-16,65
2009-11-17,62
2009-11-18,64
2009-11-19,62
2009-11-20,62
2009-11-21,63
2009-11-22,66
2009-11-23,66
2009-11-24,69
2009-11-25,69
2009-11-26,70
2009-11-27,72
2009-11-28,78
2009-11-29,73
2009-11-30,75
2009-12-01,69
2009-12-02,68
2009-12-03,67
2009-12-04,65
2009-12-05,64
2009-12-06,65
2009-12-07,69
2009-12-08,67
2009-12-09,68
2009-12-10,69
2009-12-11,72
2009-12-12,71
2009-12-13,74
2009-12-14,72
2009-12-15,70
2009-12-16,70
2009-12-17,69
2009-12-18,71
2009-12-19,69
2009-12-20,70
2009-12-21,72
2009-12-22,71
2009-12-23,71
2009-12-24,73
2009-12-25,74
2009-12-26,74
2009-12-27,77
2009-12-28,70
2009-12-29,71
2009-12-30,69
2009-12-31,66
2010-01-01,69
2010-01-02,63
2010-01-03,60
2010-01-04,60
2010-01-05,55
2010-01-06,52
2010-01-07,49
2010-01-08,47
2010-01-09,44
2010-01-10,45
2010-01-11,45
2010-01-12,42
2010-01-13,42
2010-01-14,41
2010-01-15,43
2010-01-16,41
2010-01-17,41
2010-01-18,41
2010-01-19,43
2010-01-20,41
2010-01-21,41
2010-01-22,41
2010-01-23,41
2010-01-24,42
2010-01-25,43
2010-01-26,42
2010-01-27,41
2010-01-28,41
2010-01-29,43
2010-01-30,42
2010-01-31,42
2010-02-01,43
2010-02-02,44
2010-02-03,43
2010-02-04,43
2010-02-05,43
2010-02-06,44
2010-02-07,44
2010-02-08,44
2010-02-09,45
2010-02-10,43
2010-02-11,43
2010-02-12,43
2010-02-13,45
2010-02-14,42
2010-02-15,43
2010-02-16,42
2010-02-17,44
2010-02-18,43
2010-02-19,42
2010-02-20,42
2010-02-21,43
2010-02-22,42
2010-02-23,44
