Date,Hyatt Hotels
2009-02-01,87
2009-02-02,87
2009-02-03,87
2009-02-04,87
2009-02-05,87
2009-02-06,86
2009-02-07,88
2009-02-08,87
2009-02-09,87
2009-02-10,88
2009-02-11,89
2009-02-12,89
2009-02-13,91
2009-02-14,91
2009-02-15,94
2009-02-16,90
2009-02-17,89
2009-02-18,89
2009-02-19,89
2009-02-20,88
2009-02-21,92
2009-02-22,87
2009-02-23,87
2009-02-24,87
2009-02-25,87
2009-02-26,87
2009-02-27,86
2009-02-28,88
2009-03-01,87
2009-03-02,87
2009-03-03,87
2009-03-04,88
2009-03-05,88
2009-03-06,90
2009-03-07,92
2009-03-08,90
2009-03-09,90
2009-03-10,90
2009-03-11,90
2009-03-12,90
2009-03-13,90
2009-03-14,94
2009-03-15,90
2009-03-16,90
2009-03-17,90
2009-03-18,90
2009-03-19,90
2009-03-20,90
2009-03-21,93
2009-03-22,90
2009-03-23,88
2009-03-24,87
2009-03-25,87
2009-03-26,86
2009-03-27,85
2009-03-28,89
2009-03-29,86
2009-03-30,87
2009-03-31,88
2009-05-01,85
2009-05-02,89
2009-05-03,84
2009-05-04,85
2009-05-05,88
2009-05-06,87
2009-05-07,87
2009-05-08,88
2009-05-09,94
2009-05-10,89
2009-05-11,90
2009-05-12,91
2009-05-13,93
2009-05-14,92
2009-05-15,93
2009-05-16,98
2009-05-17,93
2009-05-18,92
2009-05-19,91
2009-05-20,91
2009-05-21,90
2009-05-22,90
2009-05-23,93
2009-05-24,88
2009-05-25,88
2009-05-26,86
2009-05-27,86
2009-05-28,87
2009-05-29,84
2009-05-30,86
2009-05-31,86
2009-06-01,85
2009-06-02,87
2009-06-03,86
2009-06-04,88
2009-06-05,88
2009-06-06,92
2009-06-07,90
2009-06-08,90
2009-06-09,92
2009-06-10,91
2009-06-11,91
2009-06-12,93
2009-06-13,95
2009-06-14,93
2009-06-15,93
2009-06-16,93
2009-06-17,93
2009-06-18,94
2009-06-19,93
2009-06-20,95
2009-06-21,92
2009-06-22,92
2009-06-23,91
2009-06-24,91
2009-06-25,94
2009-06-26,90
2009-06-27,93
2009-06-28,90
2009-06-29,90
2009-06-30,90
2009-07-01,92
2009-07-02,90
2009-07-03,94
2009-07-04,92
2009-07-05,92
2009-07-06,93
2009-07-07,94
2009-07-08,95
2009-07-09,96
2009-07-10,97
2009-07-11,101
2009-07-12,98
2009-07-13,98
2009-07-14,98
2009-07-15,98
2009-07-16,98
2009-07-17,98
2009-07-18,100
2009-07-19,98
2009-07-20,98
2009-07-21,100
2009-07-22,98
2009-07-23,98
2009-07-24,98
2009-07-25,101
2009-07-26,98
2009-07-27,98
2009-07-28,98
2009-07-29,99
2009-07-30,100
2009-07-31,99
2009-08-01,100
2009-08-02,99
2009-08-03,99
2009-08-04,99
2009-08-05,99
2009-08-06,99
2009-08-07,98
2009-08-08,100
2009-08-09,98
2009-08-10,96
2009-08-11,97
2009-08-12,94
2009-08-13,94
2009-08-14,92
2009-08-15,96
2009-08-16,93
2009-08-17,92
2009-08-18,94
2009-08-19,93
2009-08-20,96
2009-08-21,93
2009-08-22,97
2009-08-23,94
2009-08-24,92
2009-08-25,91
2009-08-26,91
2009-08-27,91
2009-08-28,90
2009-08-29,92
2009-08-30,89
2009-08-31,89
2009-09-01,89
2009-09-02,89
2009-09-03,90
2009-09-04,89
2009-09-05,93
2009-09-06,88
2009-09-07,87
2009-09-08,87
2009-09-09,86
2009-09-10,86
2009-09-11,85
