Date,Silver Spring Networks
2011-01-02,35
2011-01-03,38
2011-01-04,41
2011-01-05,44
2011-01-06,47
2011-01-07,50
2011-01-08,53
2011-01-09,57
2011-01-10,61
2011-01-11,66
2011-01-12,70
2011-01-13,74
2011-01-14,79
2011-01-15,83
2011-01-16,79
2011-01-17,74
2011-01-18,70
2011-01-19,66
2011-01-20,62
2011-01-21,58
2011-01-22,54
2011-01-23,58
2011-01-24,62
2011-01-25,66
2011-01-26,71
2011-01-27,75
2011-01-28,79
2011-01-29,84
2011-01-30,80
2011-01-31,77
2011-02-01,73
2011-02-02,70
2011-02-03,66
2011-02-04,63
2011-02-05,60
2011-02-06,62
2011-02-07,64
2011-02-08,66
2011-02-09,68
2011-02-10,71
2011-02-11,73
2011-02-12,75
2011-02-13,76
2011-02-14,76
2011-02-15,77
2011-02-16,78
2011-02-17,79
2011-02-18,79
2011-02-19,80
2011-02-20,75
2011-02-21,68
2011-02-22,62
2011-02-23,57
2011-02-24,51
2011-02-25,45
2011-02-26,40
2011-02-27,42
2011-02-28,45
2011-03-01,48
2011-03-02,50
2011-03-03,53
2011-03-04,56
2011-03-05,59
2011-03-06,57
2011-03-07,54
2011-03-08,52
2011-03-09,51
2011-03-10,49
2011-03-11,47
2011-03-12,46
2011-03-13,51
2011-03-14,56
2011-03-15,61
2011-03-16,66
2011-03-17,71
2011-03-18,76
2011-03-19,82
2011-03-20,83
2011-03-21,84
2011-03-22,85
2011-03-23,86
2011-03-24,87
2011-03-25,88
2011-03-26,89
2011-03-27,86
2011-04-03,63
2011-04-04,62
2011-04-05,61
2011-04-06,60
2011-04-07,58
2011-04-08,57
2011-04-09,56
2011-04-10,56
2011-04-11,56
2011-04-12,56
2011-04-13,57
2011-04-14,57
2011-04-15,58
2011-04-16,59
2011-04-17,57
2011-04-18,55
2011-04-19,53
2011-04-20,51
2011-04-21,49
2011-04-22,47
2011-04-23,45
2011-04-24,44
2011-04-25,43
2011-04-26,43
2011-04-27,42
2011-04-28,42
2011-04-29,41
2011-04-30,41
2011-05-01,42
2011-05-02,44
2011-05-03,46
2011-05-04,47
2011-05-05,49
2011-05-06,51
2011-05-07,53
2011-05-08,51
2011-05-09,50
2011-05-10,49
2011-05-11,47
2011-05-12,46
2011-05-13,45
2011-05-14,44
2011-05-15,47
2011-05-16,50
2011-05-17,53
2011-05-18,56
2011-05-19,60
2011-05-20,63
2011-05-21,66
2011-05-22,66
2011-05-23,66
2011-05-24,66
2011-05-25,66
2011-05-26,66
2011-05-27,66
2011-05-28,67
2011-05-29,63
2011-05-30,61
2011-05-31,57
2011-06-01,54
2011-06-02,51
2011-06-03,48
2011-06-04,45
2011-06-05,46
2011-06-06,46
2011-06-07,47
2011-06-08,48
2011-06-09,49
2011-06-10,50
2011-06-11,51
2011-06-12,50
2011-06-13,50
2011-06-14,49
2011-06-15,49
2011-06-16,48
2011-06-17,48
2011-06-18,48
2011-06-19,50
2011-06-20,52
2011-06-21,54
2011-06-22,56
2011-06-23,58
2011-06-24,60
2011-06-25,62
2011-06-26,62
2011-07-03,68
2011-07-04,71
2011-07-05,74
2011-07-06,77
2011-07-07,81
2011-07-08,84
2011-07-09,87
2011-07-10,89
2011-07-11,91
2011-07-12,93
2011-07-13,94
2011-07-14,96
2011-07-15,98
2011-07-16,100
2011-07-17,97
2011-07-18,95
2011-07-19,92
2011-07-20,89
2011-07-21,87
2011-07-22,84
2011-07-23,81
2011-07-24,77
2011-07-25,73
2011-07-26,69
2011-07-27,65
2011-07-28,61
2011-07-29,57
2011-07-30,54
2011-07-31,54
2011-08-01,55
2011-08-02,56
2011-08-03,57
2011-08-04,58
2011-08-05,59
2011-08-06,60
2011-08-07,61
2011-08-08,62
2011-08-09,63
2011-08-10,64
2011-08-11,65
2011-08-12,66
2011-08-13,68
2011-08-14,65
2011-08-15,62
2011-08-16,60
2011-08-17,57
2011-08-18,55
2011-08-19,52
2011-08-20,50
2011-08-21,52
2011-08-22,54
2011-08-23,56
2011-08-24,58
2011-08-25,60
2011-08-26,62
2011-08-27,65
2011-08-28,65
2011-08-29,67
2011-08-30,68
2011-08-31,69
2011-09-01,70
2011-09-02,71
2011-09-03,72
2011-09-04,67
2011-09-05,62
2011-09-06,57
2011-09-07,53
2011-09-08,48
2011-09-09,44
2011-09-10,40
2011-09-11,42
2011-09-12,44
2011-09-13,46
2011-09-14,48
2011-09-15,50
2011-09-16,52
2011-09-17,54
2011-09-18,55
2011-09-19,57
2011-09-20,59
2011-09-21,61
2011-09-22,63
2011-09-23,64
2011-09-24,66
2011-09-25,65
2011-10-02,53
2011-10-03,50
2011-10-04,47
2011-10-05,43
2011-10-06,40
2011-10-07,37
2011-10-08,34
2011-10-09,37
2011-10-10,40
2011-10-11,43
2011-10-12,46
2011-10-13,49
2011-10-14,52
2011-10-15,56
2011-10-16,56
2011-10-17,57
2011-10-18,57
2011-10-19,58
2011-10-20,58
2011-10-21,59
2011-10-22,60
2011-10-23,57
2011-10-24,55
2011-10-25,52
2011-10-26,50
2011-10-27,48
2011-10-28,45
2011-10-29,43
2011-10-30,45
2011-10-31,47
2011-11-01,49
2011-11-02,51
2011-11-03,53
2011-11-04,55
2011-11-05,57
2011-11-06,58
2011-11-07,60
2011-11-08,61
2011-11-09,63
2011-11-10,65
2011-11-11,66
2011-11-12,68
2011-11-13,64
2011-11-14,62
2011-11-15,58
2011-11-16,55
2011-11-17,52
2011-11-18,49
2011-11-19,45
2011-11-20,44
2011-11-21,42
2011-11-22,41
2011-11-23,40
2011-11-24,39
2011-11-25,38
2011-11-26,37
2011-11-27,39
2011-11-28,41
2011-11-29,43
2011-11-30,45
2011-12-01,47
2011-12-02,49
2011-12-03,52
2011-12-04,51
2011-12-05,51
2011-12-06,50
2011-12-07,50
2011-12-08,49
2011-12-09,49
2011-12-10,49
2011-12-11,50
2011-12-12,52
2011-12-13,54
2011-12-14,56
2011-12-15,58
2011-12-16,60
2011-12-17,62
2011-12-18,59
2011-12-19,58
2011-12-20,56
2011-12-21,54
2011-12-22,51
2011-12-23,49
2011-12-24,47
2011-12-25,44
2012-01-01,32
2012-01-02,38
2012-01-03,44
2012-01-04,50
2012-01-05,56
2012-01-06,62
2012-01-07,68
2012-01-08,66
2012-01-09,65
2012-01-10,63
2012-01-11,62
2012-01-12,60
2012-01-13,59
2012-01-14,58
2012-01-15,57
2012-01-16,57
2012-01-17,56
2012-01-18,55
2012-01-19,54
2012-01-20,54
2012-01-21,53
2012-01-22,52
2012-01-23,50
2012-01-24,49
2012-01-25,48
2012-01-26,47
2012-01-27,46
2012-01-28,45
2012-01-29,45
2012-01-30,45
2012-01-31,45
2012-02-01,46
2012-02-02,46
2012-02-03,46
2012-02-04,47
2012-02-05,46
2012-02-06,45
2012-02-07,45
2012-02-08,44
2012-02-09,44
2012-02-10,43
2012-02-11,43
2012-02-12,44
2012-02-13,46
2012-02-14,48
2012-02-15,50
2012-02-16,52
2012-02-17,54
2012-02-18,56
2012-02-19,56
2012-02-20,57
2012-02-21,58
2012-02-22,59
2012-02-23,60
2012-02-24,60
2012-02-25,61
2012-02-26,60
2012-02-27,59
2012-02-28,58
2012-02-29,57
2012-03-01,56
2012-03-02,55
2012-03-03,55
2012-03-04,55
2012-03-05,55
2012-03-06,56
2012-03-07,56
2012-03-08,56
2012-03-09,57
2012-03-10,57
2012-03-11,54
2012-03-12,51
2012-03-13,48
2012-03-14,46
2012-03-15,43
2012-03-16,40
2012-03-17,38
2012-03-18,38
2012-03-19,38
