Date,SFX Entertainment
2013-06-24,24
2013-06-25,25
2013-06-26,26
2013-06-27,28
2013-06-28,29
2013-06-29,31
2013-06-30,29
2013-07-07,14
2013-07-08,14
2013-07-09,13
2013-07-10,13
2013-07-11,12
2013-07-12,12
2013-07-13,12
2013-07-14,12
2013-07-15,12
2013-07-16,12
2013-07-17,12
2013-07-18,12
2013-07-19,12
2013-07-20,13
2013-07-21,13
2013-07-22,13
2013-07-23,13
2013-07-24,14
2013-07-25,14
2013-07-26,14
2013-07-27,15
2013-07-28,14
2013-07-29,14
2013-07-30,14
2013-07-31,14
2013-08-01,14
2013-08-02,14
2013-08-03,14
2013-08-04,13
2013-08-05,13
2013-08-06,13
2013-08-07,13
2013-08-08,13
2013-08-09,13
2013-08-10,13
2013-08-11,13
2013-08-12,13
2013-08-13,13
2013-08-14,13
2013-08-15,13
2013-08-16,13
2013-08-17,14
2013-08-18,14
2013-08-19,14
2013-08-20,14
2013-08-21,14
2013-08-22,14
2013-08-23,14
2013-08-24,14
2013-08-25,14
2013-08-26,14
2013-08-27,14
2013-08-28,14
2013-08-29,14
2013-08-30,14
2013-08-31,15
2013-09-01,15
2013-09-02,15
2013-09-03,15
2013-09-04,15
2013-09-05,15
2013-09-06,15
2013-09-07,16
2013-09-08,16
2013-09-09,16
2013-09-10,16
2013-09-11,16
2013-09-12,16
2013-09-13,16
2013-09-14,17
2013-09-15,16
2013-09-16,15
2013-09-17,15
2013-09-18,14
2013-09-19,14
2013-09-20,13
2013-09-21,13
2013-09-22,15
2013-09-23,18
2013-09-24,20
2013-09-25,23
2013-09-26,25
2013-09-27,28
2013-09-28,31
2013-09-29,32
2013-10-06,50
2013-10-07,59
2013-10-08,68
2013-10-09,77
2013-10-10,85
2013-10-11,94
2013-10-12,104
2013-10-13,94
2013-10-14,78
2013-10-15,67
2013-10-16,56
2013-10-17,45
2013-10-18,34
2013-10-19,24
2013-10-20,24
2013-10-21,25
2013-10-22,25
2013-10-23,26
2013-10-24,27
2013-10-25,27
2013-10-26,28
2013-10-27,26
2013-10-28,25
2013-10-29,23
2013-10-30,22
2013-10-31,20
2013-11-01,19
2013-11-02,18
2013-11-03,19
2013-11-04,21
2013-11-05,23
2013-11-06,25
2013-11-07,26
2013-11-08,28
2013-11-09,30
2013-11-10,29
2013-11-11,28
2013-11-12,28
2013-11-13,27
2013-11-14,27
2013-11-15,26
2013-11-16,26
2013-11-17,26
2013-11-18,27
2013-11-19,27
2013-11-20,28
2013-11-21,28
2013-11-22,29
2013-11-23,30
2013-11-24,29
2013-11-25,29
2013-11-26,29
2013-11-27,29
2013-11-28,29
2013-11-29,29
2013-11-30,29
2013-12-01,28
2013-12-02,28
2013-12-03,28
2013-12-04,27
2013-12-05,27
2013-12-06,27
2013-12-07,27
2013-12-08,27
2013-12-09,28
2013-12-10,29
2013-12-11,30
2013-12-12,30
2013-12-13,31
2013-12-14,32
2013-12-15,30
2013-12-16,28
2013-12-17,26
2013-12-18,24
2013-12-19,22
2013-12-20,21
2013-12-21,19
2013-12-22,18
2013-12-23,17
2013-12-24,16
2013-12-25,15
2013-12-26,14
2013-12-27,13
2013-12-28,13
2013-12-29,13
2014-01-05,18
2014-01-06,19
2014-01-07,20
2014-01-08,21
2014-01-09,22
2014-01-10,24
2014-01-11,25
2014-01-12,24
2014-01-13,24
2014-01-14,23
2014-01-15,23
2014-01-16,22
2014-01-17,22
2014-01-18,22
2014-01-19,22
2014-01-20,22
2014-01-21,22
2014-01-22,22
2014-01-23,22
2014-01-24,22
2014-01-25,23
2014-01-26,22
2014-01-27,21
2014-01-28,20
2014-01-29,19
2014-01-30,18
2014-01-31,17
2014-02-01,17
2014-02-02,18
2014-02-03,20
2014-02-04,21
2014-02-05,23
2014-02-06,24
2014-02-07,26
2014-02-08,28
2014-02-09,29
2014-02-10,31
2014-02-11,32
2014-02-12,33
2014-02-13,35
2014-02-14,36
2014-02-15,37
2014-02-16,35
2014-02-17,32
2014-02-18,29
2014-02-19,27
2014-02-20,24
2014-02-21,22
2014-02-22,20
2014-02-23,20
