Date,RHI Entertainment
2007-03-01,74
2007-03-02,72
2007-03-03,71
2007-03-04,72
2007-03-05,76
2007-03-06,75
2007-03-07,77
2007-03-08,78
2007-03-09,80
2007-03-10,82
2007-03-11,81
2007-03-12,80
2007-03-13,79
2007-03-14,78
2007-03-15,77
2007-03-16,76
2007-03-17,75
2007-03-18,76
2007-03-19,77
2007-03-20,78
2007-03-21,83
2007-03-22,80
2007-03-23,81
2007-03-24,83
2007-03-25,83
2007-03-26,85
2007-03-27,86
2007-03-28,88
2007-03-29,89
2007-03-30,91
2007-03-31,93
2007-04-01,93
2007-04-02,93
2007-04-03,93
2007-04-04,93
2007-04-05,93
2007-04-06,93
2007-04-07,94
2007-04-08,92
2007-04-09,91
2007-04-10,90
2007-04-11,89
2007-04-12,92
2007-04-13,87
2007-04-14,86
2007-04-15,82
2007-04-16,78
2007-04-17,74
2007-04-18,70
2007-04-19,66
2007-04-20,62
2007-04-21,58
2007-04-22,58
2007-04-23,58
2007-04-24,58
2007-04-25,58
2007-04-26,58
2007-04-27,58
2007-04-28,58
2007-04-29,64
2007-04-30,70
2007-05-01,76
2007-05-02,85
2007-05-03,88
2007-05-04,94
2007-05-05,102
2007-05-06,96
2007-05-07,92
2007-05-08,89
2007-05-09,85
2007-05-10,82
2007-05-11,78
2007-05-12,75
2007-05-13,77
2007-05-14,70
2007-05-15,68
2007-05-16,66
2007-05-17,64
2007-05-18,62
2007-05-19,60
2007-05-20,62
2007-05-21,64
2007-05-22,67
2007-05-23,72
2007-05-24,72
2007-05-25,74
2007-05-26,77
2007-05-27,75
2007-05-28,73
2007-05-29,72
2007-05-30,70
2007-05-31,69
2007-06-01,67
2007-06-02,69
2007-06-03,67
2007-06-04,68
2007-06-05,69
2007-06-06,70
2007-06-07,71
2007-06-08,72
2007-06-09,74
2007-06-10,78
2007-06-11,70
2007-06-12,68
2007-06-13,66
2007-06-14,64
2007-06-15,62
2007-06-16,61
2007-06-17,62
2007-06-18,63
2007-06-19,64
2007-06-20,66
2007-06-21,67
2007-06-22,68
2007-06-23,70
2007-06-24,71
2007-06-25,72
2007-06-26,73
2007-06-27,74
2007-06-28,75
2007-06-29,79
2007-06-30,78
2007-07-01,77
2007-07-02,79
2007-07-03,75
2007-07-04,75
2007-07-05,74
2007-07-06,73
2007-07-07,78
2007-07-08,74
2007-07-09,76
2007-07-10,78
2007-07-11,80
2007-07-12,82
2007-07-13,84
2007-07-14,86
2007-07-15,85
2007-07-16,85
2007-07-17,85
2007-07-18,84
2007-07-19,84
2007-07-20,84
2007-07-21,84
2007-07-22,82
2007-07-23,81
2007-07-24,80
2007-07-25,79
2007-07-26,78
2007-07-27,77
2007-07-28,76
2007-07-29,78
2007-07-30,86
2007-07-31,84
2007-08-01,87
2007-08-02,90
2007-08-03,93
2007-08-04,98
2007-08-05,93
2007-08-06,91
2007-08-07,89
2007-08-08,86
2007-08-09,84
2007-08-10,82
2007-08-11,80
2007-08-12,77
2007-08-13,74
2007-08-14,71
2007-08-15,68
2007-08-16,67
2007-08-17,62
2007-08-18,60
2007-08-19,64
2007-08-20,69
2007-08-21,73
2007-08-22,80
2007-08-23,82
2007-08-24,90
2007-08-25,92
2007-08-26,89
2007-08-27,87
2007-08-28,85
2007-08-29,83
2007-08-30,81
2007-08-31,79
2007-09-02,74
2007-09-03,72
2007-09-04,70
2007-09-05,67
2007-09-06,65
2007-09-07,63
2007-09-08,61
2007-09-09,62
2007-09-10,63
2007-09-11,64
2007-09-12,65
2007-09-13,66
2007-09-14,67
2007-09-15,68
2007-09-16,68
2007-09-17,69
2007-09-18,70
2007-09-19,70
2007-09-20,71
2007-09-21,72
2007-09-22,73
2007-09-23,71
2007-09-24,69
2007-09-25,67
2007-09-26,65
2007-09-27,63
2007-09-28,61
2007-09-29,60
2007-09-30,59
2007-10-01,59
2007-10-02,59
2007-10-03,59
2007-10-04,58
2007-10-05,58
2007-10-06,58
2007-10-07,57
2007-10-08,56
2007-10-09,55
2007-10-10,54
2007-10-11,53
2007-10-12,52
2007-10-13,51
2007-10-14,53
2007-10-15,55
2007-10-16,57
2007-10-17,59
2007-10-18,61
2007-10-19,63
2007-10-20,66
2007-10-21,65
2007-10-22,65
2007-10-23,65
2007-10-24,64
2007-10-25,64
2007-10-26,64
2007-10-27,64
2007-10-28,62
2007-10-29,62
2007-10-30,61
2007-10-31,59
2007-11-01,58
2007-11-02,57
2007-11-03,56
2007-11-04,55
2007-11-05,54
2007-11-06,53
2007-11-07,52
2007-11-08,51
2007-11-09,50
2007-11-10,49
2007-11-11,51
2007-11-12,53
2007-11-13,56
2007-11-14,58
2007-11-15,61
2007-11-16,63
2007-11-17,66
2007-11-18,65
2007-11-19,64
2007-11-20,63
2007-11-21,63
2007-11-22,62
2007-11-23,61
2007-11-24,61
2007-11-25,64
2007-12-01,82
2007-12-02,83
2007-12-03,83
2007-12-04,90
2007-12-05,85
2007-12-06,86
2007-12-07,87
2007-12-08,88
2007-12-09,85
2007-12-10,82
2007-12-11,79
2007-12-12,77
2007-12-13,74
2007-12-14,74
2007-12-15,69
2007-12-16,69
2007-12-17,69
2007-12-18,70
2007-12-19,70
2007-12-20,71
2007-12-21,71
2007-12-22,72
2007-12-23,73
2007-12-24,74
2007-12-25,76
2007-12-26,77
2007-12-27,80
2007-12-28,80
2007-12-29,82
2007-12-30,80
2007-12-31,79
2008-01-01,83
2008-01-02,76
2008-01-03,74
2008-01-04,73
2008-01-05,72
2008-01-06,71
2008-01-07,71
2008-01-08,71
2008-01-09,71
2008-01-10,71
2008-01-11,71
2008-01-12,71
2008-01-13,70
2008-01-14,69
2008-01-15,69
2008-01-16,68
2008-01-17,68
2008-01-18,68
2008-01-19,68
2008-01-20,66
2008-01-21,65
2008-01-22,65
2008-01-23,64
2008-01-24,64
2008-01-25,63
2008-01-26,63
2008-01-27,64
2008-01-28,68
2008-01-29,66
2008-01-30,67
2008-01-31,68
2008-02-01,69
2008-02-02,70
2008-02-03,66
2008-02-04,63
2008-02-05,60
2008-02-06,57
2008-02-07,54
2008-02-08,51
2008-02-09,48
2008-02-10,49
2008-02-11,53
2008-02-12,52
2008-02-13,53
2008-02-14,55
2008-02-15,56
2008-02-16,58
2008-02-17,58
2008-02-18,60
2008-02-19,58
2008-02-20,59
2008-02-21,59
2008-02-22,59
2008-02-23,60
2008-02-24,59
2008-02-25,58
2008-02-26,57
2008-02-27,57
2008-02-28,57
2008-02-29,55
2008-03-02,53
2008-03-03,51
2008-03-04,49
2008-03-05,47
2008-03-06,45
2008-03-07,43
2008-03-08,42
2008-03-09,42
2008-03-10,43
2008-03-11,44
2008-03-12,45
2008-03-13,46
2008-03-14,47
2008-03-15,48
2008-03-16,47
2008-03-17,46
2008-03-18,45
2008-03-19,45
2008-03-20,44
2008-03-21,43
2008-03-22,43
2008-03-23,43
2008-03-24,43
2008-03-25,43
2008-03-26,44
2008-03-27,44
2008-03-28,44
2008-03-29,45
2008-03-30,44
2008-03-31,44
2008-04-01,44
2008-04-02,44
2008-04-03,44
2008-04-04,44
2008-04-05,44
2008-04-06,46
2008-04-07,49
2008-04-08,52
2008-04-09,55
2008-04-10,58
2008-04-11,61
2008-04-12,63
2008-04-13,61
2008-04-14,58
2008-04-15,56
2008-04-16,54
2008-04-17,52
2008-04-18,50
2008-04-19,48
2008-04-20,50
2008-04-21,53
2008-04-22,56
2008-04-23,59
2008-04-24,62
2008-04-25,65
2008-04-26,68
2008-04-27,66
2008-04-28,64
2008-04-29,62
2008-04-30,60
2008-05-01,58
2008-05-02,56
2008-05-03,54
2008-05-04,53
2008-05-05,52
2008-05-06,51
2008-05-07,50
2008-05-08,49
2008-05-09,48
2008-05-10,48
2008-05-11,49
2008-05-12,51
2008-05-13,52
2008-05-14,53
2008-05-15,55
2008-05-16,56
2008-05-17,58
2008-05-18,56
2008-05-19,54
2008-05-20,52
2008-05-21,51
2008-05-22,49
