Date,Cyclone Power Technologies
2012-05-01,92
2012-05-02,91
2012-05-03,90
2012-05-04,90
2012-05-05,89
2012-05-06,89
2012-05-07,88
2012-05-08,88
2012-05-09,87
2012-05-10,87
2012-05-11,86
2012-05-12,86
2012-05-13,85
2012-05-14,85
2012-05-15,84
2012-05-16,84
2012-05-17,83
2012-05-18,83
2012-05-19,82
2012-05-20,82
2012-05-21,81
2012-05-22,81
2012-05-23,80
2012-05-24,80
2012-05-25,79
2012-05-26,79
2012-05-27,78
2012-05-28,78
2012-05-29,77
2012-05-30,77
2012-05-31,76
2012-06-01,76
2012-06-02,76
2012-06-03,76
2012-06-04,76
2012-06-05,76
2012-06-06,76
2012-06-07,76
2012-06-08,76
2012-06-09,76
2012-06-10,76
2012-06-11,76
2012-06-12,76
2012-06-13,76
2012-06-14,76
2012-06-15,76
2012-06-16,76
2012-06-17,76
2012-06-18,76
2012-06-19,76
2012-06-20,76
2012-06-21,76
2012-06-22,76
2012-06-23,76
2012-06-24,76
2012-06-25,76
2012-06-26,76
2012-06-27,76
2012-06-28,76
2012-06-29,76
2012-06-30,76
2012-07-01,76
2012-07-02,76
2012-07-03,76
2012-07-04,76
2012-07-05,76
2012-07-06,76
2012-07-07,76
2012-07-08,76
2012-07-09,76
2012-07-10,76
2012-07-11,76
2012-07-12,76
2012-07-13,76
2012-07-14,76
2012-07-15,76
2012-07-16,76
2012-07-17,76
2012-07-18,76
2012-07-19,76
2012-07-20,76
2012-07-21,76
2012-07-22,76
2012-07-23,76
2012-07-24,76
2012-07-25,76
2012-07-26,76
2012-07-27,76
2012-07-28,76
2012-07-29,76
2012-07-30,76
2012-07-31,76
2012-08-01,76
2012-08-02,75
2012-08-03,74
2012-08-04,74
2012-08-05,73
2012-08-06,73
2012-08-07,72
2012-08-08,72
2012-08-09,71
2012-08-10,71
2012-08-11,70
2012-08-12,69
2012-08-13,69
2012-08-14,68
2012-08-15,68
2012-08-16,67
2012-08-17,67
2012-08-18,66
2012-08-19,66
2012-08-20,65
2012-08-21,65
2012-08-22,64
2012-08-23,63
2012-08-24,63
2012-08-25,62
2012-08-26,62
2012-08-27,61
