Date,Elevance Renewable Sciences
2011-03-01,100
2011-03-02,99
2011-03-03,98
2011-03-04,97
2011-03-05,96
2011-03-06,95
2011-03-07,94
2011-03-08,93
2011-03-09,92
2011-03-10,91
2011-03-11,90
2011-03-12,89
2011-03-13,88
2011-03-14,87
2011-03-15,86
2011-03-16,85
2011-03-17,84
2011-03-18,83
2011-03-19,82
2011-03-20,81
2011-03-21,80
2011-03-22,79
2011-03-23,78
2011-03-24,77
2011-03-25,76
2011-03-26,75
2011-03-27,74
2011-03-28,73
2011-03-29,72
2011-03-30,71
2011-03-31,70
2011-04-01,69
2011-04-02,69
2011-04-03,69
2011-04-04,69
2011-04-05,69
2011-04-06,69
2011-04-07,69
2011-04-08,69
2011-04-09,69
2011-04-10,69
2011-04-11,69
2011-04-12,69
2011-04-13,69
2011-04-14,69
2011-04-15,69
2011-04-16,69
2011-04-17,69
2011-04-18,69
2011-04-19,69
2011-04-20,69
2011-04-21,69
2011-04-22,69
2011-04-23,69
2011-04-24,69
2011-04-25,69
2011-04-26,69
2011-04-27,69
2011-04-28,69
2011-04-29,69
2011-04-30,69
2011-05-01,69
2011-05-02,69
2011-05-03,69
2011-05-04,69
2011-05-05,69
2011-05-06,69
2011-05-07,69
2011-05-08,69
2011-05-09,69
2011-05-10,69
2011-05-11,69
2011-05-12,69
2011-05-13,69
2011-05-14,69
2011-05-15,69
2011-05-16,69
2011-05-17,69
2011-05-18,69
2011-05-19,69
2011-05-20,69
2011-05-21,69
2011-05-22,69
2011-05-23,69
2011-05-24,69
2011-05-25,69
2011-05-26,69
2011-05-27,69
2011-05-28,69
2011-05-29,69
2011-05-30,69
2011-05-31,69
2011-06-01,69
2011-06-02,68
2011-06-03,68
2011-06-04,68
2011-06-05,68
2011-06-06,68
2011-06-07,67
2011-06-08,67
2011-06-09,67
2011-06-10,67
2011-06-11,67
2011-06-12,66
2011-06-13,66
2011-06-14,66
2011-06-15,66
2011-06-16,66
2011-06-17,65
2011-06-18,65
2011-06-19,65
2011-06-20,65
2011-06-21,65
2011-06-22,64
2011-06-23,64
2011-06-24,64
2011-06-25,64
2011-06-26,64
2011-06-27,63
2011-06-28,63
2011-06-29,63
2011-06-30,63
2011-07-01,63
2011-07-02,63
2011-07-03,63
2011-07-04,64
2011-07-05,64
2011-07-06,65
2011-07-07,65
2011-07-08,65
2011-07-09,66
2011-07-10,66
2011-07-11,67
2011-07-12,67
2011-07-13,68
2011-07-14,68
2011-07-15,68
2011-07-16,69
2011-07-17,69
2011-07-18,70
2011-07-19,70
2011-07-20,70
2011-07-21,71
2011-07-22,71
2011-07-23,72
2011-07-24,72
2011-07-25,73
2011-07-26,73
2011-07-27,73
2011-07-28,74
2011-07-29,74
2011-07-30,75
2011-07-31,75
2011-08-01,76
2011-08-02,76
2011-08-03,76
2011-08-04,77
2011-08-05,77
2011-08-06,78
2011-08-07,78
2011-08-08,78
2011-08-09,79
2011-08-10,79
2011-08-11,80
2011-08-12,80
2011-08-13,81
2011-08-14,81
2011-08-15,81
2011-08-16,82
2011-08-17,82
2011-08-18,83
