Date,Select Medical
2009-01-24,19
2009-01-25,21
2009-01-26,23
2009-01-27,25
2009-01-28,28
2009-01-29,30
2009-01-30,32
2009-01-31,35
2009-02-01,34
2009-02-02,34
2009-02-03,34
2009-02-04,33
2009-02-05,33
2009-02-06,33
2009-02-07,33
2009-02-08,33
2009-02-09,33
2009-02-10,33
2009-02-11,33
2009-02-12,33
2009-02-13,33
2009-02-14,34
2009-02-15,34
2009-02-16,34
2009-02-17,34
2009-02-18,34
2009-02-19,34
2009-02-20,34
2009-02-21,34
2009-02-22,35
2009-02-23,36
2009-02-24,37
2009-02-25,38
2009-02-26,39
2009-02-27,40
2009-02-28,42
2009-03-01,40
2009-03-02,39
2009-03-03,38
2009-03-04,37
2009-03-05,36
2009-03-06,35
2009-03-07,34
2009-03-08,34
2009-03-09,34
2009-03-10,34
2009-03-11,34
2009-03-12,34
2009-03-13,34
2009-03-14,35
2009-03-15,36
2009-03-16,37
2009-03-17,38
2009-03-18,39
2009-03-19,40
2009-03-20,41
2009-03-21,42
2009-03-22,41
2009-03-23,39
2009-03-24,38
2009-03-25,37
2009-03-26,36
2009-03-27,35
2009-03-28,34
2009-03-29,35
2009-04-05,42
2009-04-06,41
2009-04-07,40
2009-04-08,39
2009-04-09,38
2009-04-10,37
2009-04-11,36
2009-04-12,35
2009-04-13,34
2009-04-14,33
2009-04-15,32
2009-04-16,32
2009-04-17,31
2009-04-18,30
2009-04-19,29
2009-04-20,29
2009-04-21,28
2009-04-22,28
2009-04-23,27
2009-04-24,27
2009-04-25,27
2009-04-26,27
2009-04-27,28
2009-04-28,29
2009-04-29,29
2009-04-30,30
2009-05-01,31
2009-05-02,32
2009-05-03,32
2009-05-04,32
2009-05-05,32
2009-05-06,33
2009-05-07,33
2009-05-08,33
2009-05-09,34
2009-05-10,33
2009-05-11,33
2009-05-12,32
2009-05-13,32
2009-05-14,31
2009-05-15,31
2009-05-16,31
2009-05-17,31
2009-05-18,32
2009-05-19,33
2009-05-20,34
2009-05-21,34
2009-05-22,35
2009-05-23,36
2009-05-24,35
2009-05-25,34
2009-05-26,34
2009-05-27,33
2009-05-28,33
2009-05-29,32
2009-05-30,32
2009-05-31,31
2009-06-01,31
2009-06-02,31
2009-06-03,30
2009-06-04,30
2009-06-05,30
2009-06-06,30
2009-06-07,30
2009-06-08,31
2009-06-09,32
2009-06-10,33
2009-06-11,34
2009-06-12,35
2009-06-13,36
2009-06-14,35
2009-06-15,34
2009-06-16,33
2009-06-17,33
2009-06-18,32
2009-06-19,31
2009-06-20,31
2009-06-21,32
2009-06-22,33
2009-06-23,34
2009-06-24,35
2009-06-25,36
2009-06-26,37
2009-06-27,38
2009-06-28,37
2009-07-05,31
2009-07-06,34
2009-07-07,36
2009-07-08,39
2009-07-09,41
2009-07-10,44
2009-07-11,46
2009-07-12,43
2009-07-13,39
