Date,Cyoptics
2011-11-01,28
2011-11-02,28
2011-11-03,28
2011-11-04,28
2011-11-05,28
2011-11-06,28
2011-11-07,28
2011-11-08,28
2011-11-09,28
2011-11-10,28
2011-11-11,29
2011-11-12,29
2011-11-13,29
2011-11-14,29
2011-11-15,29
2011-11-16,29
2011-11-17,29
2011-11-18,29
2011-11-19,29
2011-11-20,29
2011-11-21,30
2011-11-22,30
2011-11-23,30
2011-11-24,30
2011-11-25,30
2011-11-26,30
2011-11-27,30
2011-11-28,30
2011-11-29,30
2011-11-30,30
2011-12-01,31
2011-12-02,30
2011-12-03,30
2011-12-04,30
2011-12-05,30
2011-12-06,30
2011-12-07,30
2011-12-08,30
2011-12-09,30
2011-12-10,30
2011-12-11,30
2011-12-12,30
2011-12-13,30
2011-12-14,30
2011-12-15,30
2011-12-16,30
2011-12-17,30
2011-12-18,30
2011-12-19,30
2011-12-20,30
2011-12-21,30
2011-12-22,30
2011-12-23,30
2011-12-24,30
2011-12-25,30
2011-12-26,30
2011-12-27,30
2011-12-28,30
2011-12-29,30
2011-12-30,30
2011-12-31,30
2012-01-01,30
2012-01-02,30
2012-01-03,30
2012-01-04,30
2012-01-05,31
2012-01-06,31
2012-01-07,31
2012-01-08,32
2012-01-09,32
2012-01-10,32
2012-01-11,33
2012-01-12,33
2012-01-13,33
2012-01-14,34
2012-01-15,34
2012-01-16,34
2012-01-17,35
2012-01-18,35
2012-01-19,35
2012-01-20,36
2012-01-21,36
2012-01-22,36
2012-01-23,37
2012-01-24,37
2012-01-25,37
2012-01-26,38
2012-01-27,38
2012-01-28,38
2012-01-29,39
2012-01-30,39
2012-01-31,39
2012-02-01,40
2012-02-02,40
2012-02-03,40
2012-02-04,40
2012-02-05,40
2012-02-06,41
2012-02-07,41
2012-02-08,41
2012-02-09,41
2012-02-10,42
2012-02-11,42
2012-02-12,42
2012-02-13,42
2012-02-14,43
2012-02-15,43
2012-02-16,43
2012-02-17,43
2012-02-18,44
2012-02-19,44
2012-02-20,44
2012-02-21,44
2012-02-22,45
2012-02-23,45
2012-02-24,45
2012-02-25,45
2012-02-26,46
2012-02-27,46
2012-02-28,46
2012-02-29,46
2012-03-01,47
2012-03-02,46
2012-03-03,45
2012-03-04,45
2012-03-05,44
2012-03-06,43
2012-03-07,43
2012-03-08,42
2012-03-09,42
2012-03-10,41
2012-03-11,40
