Date,Primo Water
2009-09-06,41
2009-09-07,41
2009-09-08,41
2009-09-09,41
2009-09-10,41
2009-09-11,41
2009-09-12,41
2009-09-13,41
2009-09-14,41
2009-09-15,41
2009-09-16,41
2009-09-17,41
2009-09-18,41
2009-09-19,41
2009-09-20,39
2009-09-21,37
2009-09-22,35
2009-09-23,33
2009-09-24,31
2009-09-25,30
2009-09-26,28
2009-09-27,28
2009-09-28,28
2009-09-29,29
2009-09-30,29
2009-10-01,30
2009-10-02,30
2009-10-03,31
2009-10-04,31
2009-10-05,31
2009-10-06,31
2009-10-07,32
2009-10-08,32
2009-10-09,32
2009-10-10,33
2009-10-11,33
2009-10-12,33
2009-10-13,34
2009-10-14,34
2009-10-15,34
2009-10-16,35
2009-10-17,35
2009-10-18,34
2009-10-19,32
2009-10-20,31
2009-10-21,30
2009-10-22,29
2009-10-23,28
2009-10-24,27
2009-10-25,28
2009-10-26,30
2009-10-27,32
2009-10-28,33
2009-10-29,35
2009-10-30,37
2009-10-31,39
2009-11-01,38
2009-11-02,38
2009-11-03,38
2009-11-04,38
2009-11-05,38
2009-11-06,38
2009-11-07,38
2009-11-08,38
2009-11-09,38
2009-11-10,38
2009-11-11,38
2009-11-12,38
2009-11-13,38
2009-11-14,38
2009-11-15,36
2009-11-16,34
2009-11-17,32
2009-11-18,30
2009-11-19,28
2009-11-20,26
2009-11-21,24
2009-11-22,25
2009-11-23,27
2009-11-24,28
2009-11-25,30
2009-11-26,31
2009-11-27,33
2009-11-28,35
2009-11-29,36
2009-12-06,47
2009-12-07,48
2009-12-08,49
2009-12-09,50
2009-12-10,51
2009-12-11,52
2009-12-12,53
2009-12-13,50
2009-12-14,47
2009-12-15,44
2009-12-16,42
2009-12-17,39
2009-12-18,36
2009-12-19,34
2009-12-20,34
2009-12-21,34
2009-12-22,34
2009-12-23,34
2009-12-24,34
2009-12-25,34
2009-12-26,34
2009-12-27,34
2009-12-28,34
2009-12-29,34
2009-12-30,34
2009-12-31,34
2010-01-01,34
2010-01-02,34
2010-01-03,34
2010-01-04,34
2010-01-05,35
2010-01-06,35
2010-01-07,36
2010-01-08,36
2010-01-09,37
2010-01-10,34
2010-01-11,32
2010-01-12,30
2010-01-13,28
2010-01-14,26
2010-01-15,24
2010-01-16,22
2010-01-17,22
2010-01-18,22
2010-01-19,22
2010-01-20,22
2010-01-21,22
2010-01-22,22
2010-01-23,22
2010-01-24,23
2010-01-25,24
2010-01-26,25
2010-01-27,27
2010-01-28,28
2010-01-29,29
2010-01-30,31
2010-01-31,34
2010-02-01,37
2010-02-02,40
2010-02-03,44
2010-02-04,47
2010-02-05,50
2010-02-06,53
2010-02-07,49
2010-02-08,44
2010-02-09,39
2010-02-10,35
2010-02-11,30
2010-02-12,26
2010-02-13,22
2010-02-14,22
2010-02-15,22
2010-02-16,22
2010-02-17,22
2010-02-18,22
2010-02-19,22
2010-02-20,22
2010-02-21,21
2010-02-22,21
2010-02-23,21
2010-02-24,21
2010-02-25,21
2010-02-26,21
2010-02-27,21
2010-02-28,21
2010-03-07,26
2010-03-08,34
2010-03-09,28
2010-03-10,28
2010-03-11,29
2010-03-12,30
2010-03-13,31
2010-03-14,31
2010-03-15,32
2010-03-16,32
2010-03-17,33
2010-03-18,33
2010-03-19,34
2010-03-20,35
2010-03-21,34
2010-03-22,33
2010-03-23,32
2010-03-24,31
2010-03-25,30
2010-03-26,29
2010-03-27,28
2010-03-28,29
2010-03-29,30
2010-03-30,31
2010-03-31,32
2010-04-01,33
2010-04-02,34
2010-04-03,35
2010-04-04,34
2010-04-05,33
2010-04-06,32
2010-04-07,31
2010-04-08,30
2010-04-09,30
2010-04-10,29
2010-04-11,29
2010-04-12,28
2010-04-13,28
2010-04-14,28
2010-04-15,28
2010-04-16,28
2010-04-17,28
2010-04-18,29
2010-04-19,30
2010-04-20,31
2010-04-21,33
2010-04-22,34
2010-04-23,35
2010-04-24,37
2010-04-25,36
2010-04-26,35
2010-04-27,34
2010-04-28,33
2010-04-29,32
2010-04-30,31
2010-05-01,31
2010-05-02,32
2010-05-03,34
2010-05-04,36
2010-05-05,37
2010-05-06,39
2010-05-07,41
2010-05-08,42
2010-05-09,40
2010-05-10,37
2010-05-11,35
2010-05-12,33
2010-05-13,31
2010-05-14,29
2010-05-15,27
2010-05-16,26
2010-05-17,26
2010-05-18,26
2010-05-19,25
2010-05-20,25
2010-05-21,25
2010-05-22,25
2010-05-23,26
2010-05-24,28
2010-05-25,30
2010-05-26,32
2010-05-27,34
2010-05-28,36
2010-05-29,38
2010-05-30,38
2010-06-06,40
2010-06-07,42
2010-06-08,44
2010-06-09,45
2010-06-10,47
2010-06-11,49
2010-06-12,51
2010-06-13,49
2010-06-14,47
2010-06-15,45
2010-06-16,43
2010-06-17,42
2010-06-18,40
2010-06-19,38
2010-06-20,37
2010-06-21,35
2010-06-22,34
2010-06-23,32
2010-06-24,31
2010-06-25,30
2010-06-26,29
2010-06-27,30
2010-06-28,31
2010-06-29,32
2010-06-30,33
2010-07-01,34
2010-07-02,35
2010-07-03,36
2010-07-04,36
2010-07-05,36
2010-07-06,36
2010-07-07,36
2010-07-08,36
2010-07-09,37
2010-07-10,37
2010-07-11,38
2010-07-12,38
2010-07-13,39
2010-07-14,40
2010-07-15,41
2010-07-16,42
2010-07-17,43
2010-07-18,42
2010-07-19,42
2010-07-20,41
2010-07-21,41
2010-07-22,41
2010-07-23,40
2010-07-24,40
2010-07-25,39
2010-07-26,38
2010-07-27,38
2010-07-28,37
2010-07-29,37
2010-07-30,36
2010-07-31,36
2010-08-01,36
2010-08-02,37
2010-08-03,37
2010-08-04,37
2010-08-05,38
2010-08-06,38
2010-08-07,39
2010-08-08,40
2010-08-09,41
2010-08-10,42
2010-08-11,43
2010-08-12,44
2010-08-13,45
2010-08-14,47
2010-08-15,44
2010-08-16,42
2010-08-17,40
2010-08-18,38
2010-08-19,36
2010-08-20,34
2010-08-21,32
2010-08-22,34
2010-08-23,37
2010-08-24,40
2010-08-25,42
2010-08-26,45
2010-08-27,48
2010-08-28,51
2010-08-29,48
2010-09-05,34
2010-09-06,34
2010-09-07,35
2010-09-08,35
2010-09-09,35
2010-09-10,36
2010-09-11,36
2010-09-12,36
2010-09-13,35
2010-09-14,35
2010-09-15,35
2010-09-16,35
2010-09-17,35
2010-09-18,35
2010-09-19,34
2010-09-20,33
2010-09-21,33
2010-09-22,32
2010-09-23,32
2010-09-24,31
2010-09-25,31
2010-09-26,29
2010-09-27,28
2010-09-28,27
2010-09-29,26
2010-09-30,25
2010-10-01,24
2010-10-02,23
2010-10-03,27
2010-10-04,31
2010-10-05,36
2010-10-06,40
2010-10-07,45
2010-10-08,49
2010-10-09,53
2010-10-10,50
2010-10-11,45
2010-10-12,41
2010-10-13,38
2010-10-14,34
2010-10-15,30
2010-10-16,27
2010-10-17,27
2010-10-18,27
2010-10-19,27
2010-10-20,27
2010-10-21,27
2010-10-22,28
2010-10-23,28
2010-10-24,28
2010-10-25,28
2010-10-26,28
2010-10-27,28
2010-10-28,28
2010-10-29,28
2010-10-30,28
2010-10-31,30
2010-11-01,33
2010-11-02,36
2010-11-03,39
2010-11-04,42
2010-11-05,45
2010-11-06,48
2010-11-07,50
2010-11-08,53
2010-11-09,55
2010-11-10,57
2010-11-11,59
2010-11-12,62
2010-11-13,64
2010-11-14,59
2010-11-15,52
2010-11-16,47
2010-11-17,41
2010-11-18,36
2010-11-19,31
2010-11-20,26
2010-11-21,27
2010-11-22,29
2010-11-23,30
2010-11-24,32
2010-11-25,33
2010-11-26,35
2010-11-27,36
2010-11-28,36
2010-12-05,36
2010-12-06,36
2010-12-07,35
2010-12-08,35
2010-12-09,34
2010-12-10,34
2010-12-11,34
2010-12-12,33
2010-12-13,33
2010-12-14,33
2010-12-15,32
2010-12-16,32
