Date,Marin Software
2012-08-05,17
2012-08-06,17
2012-08-07,17
2012-08-08,17
2012-08-09,17
2012-08-10,17
2012-08-11,18
2012-08-12,17
2012-08-13,16
2012-08-14,16
2012-08-15,15
2012-08-16,15
2012-08-17,14
2012-08-18,14
2012-08-19,14
2012-08-20,14
2012-08-21,14
2012-08-22,15
2012-08-23,15
2012-08-24,15
2012-08-25,16
2012-08-26,16
2012-08-27,16
2012-08-28,17
2012-08-29,17
2012-08-30,18
2012-08-31,18
2012-09-01,19
2012-09-02,18
2012-09-03,18
2012-09-04,18
2012-09-05,17
2012-09-06,17
2012-09-07,17
2012-09-08,17
2012-09-09,17
2012-09-10,17
2012-09-11,17
2012-09-12,18
2012-09-13,18
2012-09-14,18
2012-09-15,19
2012-09-16,18
2012-09-17,18
2012-09-18,18
2012-09-19,18
2012-09-20,18
2012-09-21,18
2012-09-22,18
2012-09-23,18
2012-09-24,19
2012-09-25,19
2012-09-26,20
2012-09-27,20
2012-09-28,21
2012-09-29,22
2012-09-30,21
2012-10-01,21
2012-10-02,21
2012-10-03,21
2012-10-04,21
2012-10-05,21
2012-10-06,21
2012-10-07,19
2012-10-08,18
2012-10-09,17
2012-10-10,15
2012-10-11,14
2012-10-12,13
2012-10-13,12
2012-10-14,13
2012-10-15,14
2012-10-16,15
2012-10-17,16
2012-10-18,17
2012-10-19,18
2012-10-20,20
2012-10-21,19
2012-10-22,19
2012-10-23,19
2012-10-24,19
2012-10-25,18
2012-10-26,18
2012-10-27,18
2012-10-28,18
2012-11-04,16
2012-11-05,16
2012-11-06,16
2012-11-07,16
2012-11-08,16
2012-11-09,16
2012-11-10,16
2012-11-11,16
2012-11-12,17
2012-11-13,18
2012-11-14,18
2012-11-15,19
2012-11-16,20
2012-11-17,21
2012-11-18,19
2012-11-19,18
2012-11-20,17
2012-11-21,16
2012-11-22,15
2012-11-23,14
2012-11-24,13
2012-11-25,14
2012-11-26,15
2012-11-27,16
2012-11-28,17
2012-11-29,18
2012-11-30,20
2012-12-01,21
2012-12-02,20
2012-12-03,19
2012-12-04,18
2012-12-05,18
2012-12-06,17
2012-12-07,16
2012-12-08,16
2012-12-09,15
2012-12-10,15
2012-12-11,15
2012-12-12,14
2012-12-13,14
2012-12-14,14
2012-12-15,14
2012-12-16,14
2012-12-17,14
2012-12-18,14
2012-12-19,14
2012-12-20,14
2012-12-21,14
2012-12-22,15
2012-12-23,14
2012-12-24,14
2012-12-25,14
2012-12-26,14
2012-12-27,14
2012-12-28,14
2012-12-29,14
2012-12-30,14
2012-12-31,14
2013-01-01,14
2013-01-02,14
2013-01-03,14
2013-01-04,14
2013-01-05,14
2013-01-06,14
2013-01-07,14
2013-01-08,15
2013-01-09,15
2013-01-10,16
2013-01-11,16
2013-01-12,17
2013-01-13,17
2013-01-14,18
2013-01-15,18
2013-01-16,19
2013-01-17,20
2013-01-18,20
2013-01-19,21
2013-01-20,20
2013-01-21,18
2013-01-22,17
2013-01-23,16
2013-01-24,15
2013-01-25,14
2013-01-26,13
2013-01-27,14
2013-02-01,20
2013-02-02,22
2013-02-03,22
2013-02-04,22
2013-02-05,22
2013-02-06,22
2013-02-07,22
2013-02-08,22
2013-02-09,22
2013-02-10,23
2013-02-11,25
2013-02-12,27
2013-02-13,28
2013-02-14,30
2013-02-15,33
2013-02-16,37
2013-02-17,32
2013-02-18,31
2013-02-19,30
2013-02-20,28
2013-02-21,27
2013-02-22,26
2013-02-23,25
2013-02-24,24
2013-02-25,24
2013-02-26,24
2013-02-27,24
2013-02-28,24
2013-03-01,24
2013-03-02,24
2013-03-03,22
2013-03-04,21
2013-03-05,20
2013-03-06,19
2013-03-07,18
2013-03-08,17
2013-03-09,16
2013-03-10,18
2013-03-11,20
2013-03-12,22
2013-03-13,25
2013-03-14,26
2013-03-15,28
2013-03-16,30
2013-03-17,40
2013-03-18,50
2013-03-19,60
2013-03-20,70
2013-03-21,80
2013-03-22,90
2013-03-23,116
2013-03-24,104
2013-03-25,84
2013-03-26,83
2013-03-27,71
2013-03-28,65
2013-03-29,53
2013-03-30,46
2013-03-31,42
2013-05-05,20
2013-05-06,20
2013-05-07,20
2013-05-08,20
2013-05-09,20
2013-05-10,20
2013-05-11,20
2013-05-12,20
2013-05-13,21
2013-05-14,22
2013-05-15,23
2013-05-16,23
2013-05-17,24
2013-05-18,25
2013-05-19,24
2013-05-20,23
2013-05-21,23
2013-05-22,22
2013-05-23,22
2013-05-24,21
2013-05-25,21
2013-05-26,20
2013-05-27,20
2013-05-28,20
2013-05-29,20
2013-05-30,20
2013-05-31,20
2013-06-01,20
2013-06-02,19
2013-06-03,19
2013-06-04,18
2013-06-05,18
2013-06-06,17
2013-06-07,17
2013-06-08,17
2013-06-09,17
2013-06-10,17
2013-06-11,18
2013-06-12,18
2013-06-13,19
2013-06-14,19
2013-06-15,20
2013-06-16,20
2013-06-17,20
2013-06-18,20
2013-06-19,20
2013-06-20,20
2013-06-21,20
2013-06-22,20
2013-06-23,19
2013-06-24,19
2013-06-25,18
2013-06-26,18
2013-06-27,17
2013-06-28,17
2013-06-29,17
2013-06-30,16
2013-07-01,15
2013-07-02,15
2013-07-03,14
2013-07-04,14
2013-07-05,13
2013-07-06,13
2013-07-07,14
2013-07-08,15
2013-07-09,16
2013-07-10,17
2013-07-11,18
2013-07-12,19
2013-07-13,20
2013-07-14,19
2013-07-15,18
2013-07-16,18
2013-07-17,17
2013-07-18,17
2013-07-19,16
2013-07-20,16
2013-07-21,17
2013-07-22,18
2013-07-23,19
2013-07-24,20
2013-07-25,21
2013-07-26,22
2013-07-27,23
2013-07-28,22
2013-08-04,15
2013-08-05,17
2013-08-06,18
2013-08-07,19
2013-08-08,21
2013-08-09,22
2013-08-10,24
2013-08-11,23
2013-08-12,21
2013-08-13,20
2013-08-14,19
2013-08-15,18
2013-08-16,17
2013-08-17,16
2013-08-18,16
2013-08-19,16
2013-08-20,16
2013-08-21,17
2013-08-22,17
2013-08-23,17
2013-08-24,18
2013-08-25,17
2013-08-26,17
2013-08-27,16
2013-08-28,15
2013-08-29,15
2013-08-30,14
2013-08-31,14
2013-09-01,14
2013-09-02,14
2013-09-03,15
2013-09-04,15
2013-09-05,16
2013-09-06,16
