Date,Creditcards.com
2007-12-02,68
2007-12-03,73
2007-12-04,78
2007-12-05,82
2007-12-06,87
2007-12-07,92
2007-12-08,96
2007-12-09,92
2007-12-10,87
2007-12-11,83
2007-12-12,78
2007-12-13,74
2007-12-14,70
2007-12-15,65
2007-12-16,64
2007-12-17,62
2007-12-18,61
2007-12-19,60
2007-12-20,59
2007-12-21,58
2007-12-22,57
2007-12-23,57
2007-12-24,57
2007-12-25,57
2007-12-26,57
2007-12-27,57
2007-12-28,57
2007-12-29,57
2007-12-30,55
2007-12-31,53
2008-01-01,51
2008-01-02,49
2008-01-03,47
2008-01-04,45
2008-01-05,43
2008-01-06,43
2008-01-07,43
2008-01-08,43
2008-01-09,43
2008-01-10,43
2008-01-11,43
2008-01-12,43
2008-01-13,44
2008-01-14,46
2008-01-15,48
2008-01-16,49
2008-01-17,51
2008-01-18,53
2008-01-19,55
2008-01-20,55
2008-01-21,55
2008-01-22,56
2008-01-23,56
2008-01-24,57
2008-01-25,57
2008-01-26,58
2008-01-27,59
2008-01-28,61
2008-01-29,63
2008-01-30,64
2008-01-31,66
2008-02-01,67
2008-02-02,69
2008-02-03,65
2008-02-04,60
2008-02-05,56
2008-02-06,53
2008-02-07,49
2008-02-08,45
2008-02-09,42
2008-02-10,40
2008-02-11,39
2008-02-12,38
2008-02-13,37
2008-02-14,36
2008-02-15,35
2008-02-16,34
2008-02-17,37
2008-02-18,41
2008-02-19,45
2008-02-20,48
2008-02-21,52
2008-02-22,56
2008-02-23,60
2008-02-24,59
2008-03-02,56
2008-03-03,56
2008-03-04,56
2008-03-05,56
2008-03-06,56
2008-03-07,56
2008-03-08,56
2008-03-09,61
2008-03-10,66
2008-03-11,71
2008-03-12,76
2008-03-13,81
2008-03-14,86
2008-03-15,91
2008-03-16,89
2008-03-17,88
2008-03-18,87
2008-03-19,86
2008-03-20,85
2008-03-21,84
2008-03-22,83
2008-03-23,82
2008-03-24,82
2008-03-25,82
2008-03-26,81
2008-03-27,81
2008-03-28,80
2008-03-29,80
2008-03-30,78
2008-03-31,76
2008-04-01,75
2008-04-02,73
2008-04-03,72
2008-04-04,70
2008-04-05,69
2008-04-06,69
2008-04-07,70
2008-04-08,71
2008-04-09,71
2008-04-10,72
2008-04-11,73
2008-04-12,74
2008-04-13,75
2008-04-14,76
2008-04-15,78
2008-04-16,79
2008-04-17,81
2008-04-18,82
2008-04-19,84
2008-04-20,82
2008-04-21,82
2008-04-22,81
2008-04-23,80
2008-04-24,79
2008-04-25,78
2008-04-26,77
2008-04-27,73
2008-04-28,67
2008-04-29,63
2008-04-30,59
2008-05-01,55
2008-05-02,51
2008-05-03,47
2008-05-04,48
2008-05-05,49
2008-05-06,50
2008-05-07,52
2008-05-08,53
2008-05-09,54
2008-05-10,56
2008-05-11,56
2008-05-12,56
2008-05-13,57
2008-05-14,57
2008-05-15,57
2008-05-16,57
2008-05-17,58
2008-05-18,54
2008-05-19,51
2008-05-20,48
2008-05-21,44
2008-05-22,41
2008-05-23,38
2008-05-24,35
2008-05-25,35
2008-06-01,37
2008-06-02,40
2008-06-03,42
2008-06-04,45
2008-06-05,48
2008-06-06,50
2008-06-07,53
2008-06-08,51
2008-06-09,49
2008-06-10,47
2008-06-11,45
2008-06-12,43
2008-06-13,41
2008-06-14,39
2008-06-15,40
2008-06-16,42
2008-06-17,44
2008-06-18,46
2008-06-19,48
2008-06-20,50
2008-06-21,52
2008-06-22,51
2008-06-23,51
2008-06-24,51
2008-06-25,51
2008-06-26,51
2008-06-27,51
2008-06-28,51
2008-06-29,51
2008-06-30,52
2008-07-01,52
2008-07-02,53
2008-07-03,53
2008-07-04,54
2008-07-05,56
2008-07-06,43
2008-07-07,36
2008-07-08,29
2008-07-09,21
2008-07-10,14
2008-07-11,7
2008-07-12,0
2008-07-13,0
2008-07-14,0
2008-07-15,0
2008-07-16,0
2008-07-17,0
2008-07-18,0
2008-07-19,0
2008-07-20,0
2008-07-21,0
2008-07-22,0
2008-07-23,0
2008-07-24,0
2008-07-25,0
2008-07-26,0
2008-07-27,0
2008-07-28,0
2008-07-29,0
2008-07-30,0
2008-07-31,0
2008-08-01,0
2008-08-02,0
2008-08-03,0
2008-08-04,0
2008-08-05,0
2008-08-06,0
2008-08-07,0
2008-08-08,0
2008-08-09,0
2008-08-10,5
2008-08-11,11
2008-08-12,17
2008-08-13,23
2008-08-14,28
2008-08-15,34
2008-08-16,40
2008-08-17,39
2008-08-18,38
2008-08-19,37
2008-08-20,36
2008-08-21,35
2008-08-22,34
2008-08-23,33
2008-08-24,33
2008-08-25,33
2008-08-26,33
2008-08-27,33
2008-08-28,33
2008-08-29,33
2008-08-30,33
2008-08-31,33
2008-09-07,32
2008-09-08,32
2008-09-09,32
2008-09-10,32
2008-09-11,32
2008-09-12,32
2008-09-13,32
2008-09-14,32
2008-09-15,32
2008-09-16,32
2008-09-17,32
2008-09-18,32
2008-09-19,32
2008-09-20,32
2008-09-21,32
2008-09-22,32
2008-09-23,32
2008-09-24,32
2008-09-25,32
2008-09-26,32
2008-09-27,32
2008-09-28,31
2008-09-29,31
2008-09-30,31
2008-10-01,31
2008-10-02,31
2008-10-03,31
2008-10-04,31
2008-10-05,31
2008-10-06,31
2008-10-07,31
2008-10-08,31
2008-10-09,31
2008-10-10,31
2008-10-11,31
2008-10-12,30
2008-10-13,30
2008-10-14,30
2008-10-15,30
2008-10-16,30
2008-10-17,30
2008-10-18,30
2008-10-19,30
2008-10-20,30
2008-10-21,30
2008-10-22,30
2008-10-23,30
2008-10-24,30
2008-10-25,30
2008-10-26,30
2008-10-27,30
2008-10-28,30
2008-10-29,30
2008-10-30,30
2008-10-31,30
2008-11-01,30
2008-11-02,30
2008-11-03,33
2008-11-04,30
2008-11-05,30
2008-11-06,30
2008-11-07,30
2008-11-08,30
2008-11-09,30
2008-11-10,30
2008-11-11,30
2008-11-12,30
2008-11-13,30
2008-11-14,30
2008-11-15,30
2008-11-16,30
2008-11-17,29
2008-11-18,29
2008-11-19,29
2008-11-20,29
2008-11-21,29
2008-11-22,29
2008-11-23,30
2008-11-24,31
2008-11-25,32
2008-11-26,33
2008-11-27,34
2008-11-28,35
2008-11-29,36
2008-11-30,37
2008-12-07,36
2008-12-08,30
2008-12-09,24
2008-12-10,18
2008-12-11,12
2008-12-12,6
2008-12-13,0
2008-12-14,0
2008-12-15,0
2008-12-16,0
2008-12-17,0
2008-12-18,0
2008-12-19,0
2008-12-20,0
2008-12-21,0
2008-12-22,0
2008-12-23,0
2008-12-24,0
2008-12-25,0
2008-12-26,0
2008-12-27,0
2008-12-28,0
2008-12-29,0
2008-12-30,0
2008-12-31,0
2009-01-01,0
2009-01-02,0
2009-01-03,0
2009-01-04,0
2009-01-05,0
2009-01-06,0
2009-01-07,0
2009-01-08,0
2009-01-09,0
2009-01-10,0
2009-01-11,0
2009-01-12,0
2009-01-13,0
2009-01-14,0
2009-01-15,0
2009-01-16,0
2009-01-17,0
2009-01-18,3
2009-01-19,7
2009-01-20,10
2009-01-21,14
2009-01-22,17
2009-01-23,21
2009-01-24,25
2009-01-25,25
2009-01-26,25
2009-01-27,25
2009-01-28,26
2009-01-29,26
2009-01-30,26
2009-01-31,27
2009-02-01,27
2009-02-02,27
2009-02-03,27
2009-02-04,27
2009-02-05,27
2009-02-06,27
2009-02-07,28
2009-02-08,28
2009-02-09,28
2009-02-10,29
2009-02-11,29
2009-02-12,29
2009-02-13,29
2009-02-14,30
2009-02-15,29
2009-02-16,28
2009-02-17,28
2009-02-18,27
2009-02-19,26
2009-02-20,25
2009-02-21,25
2009-02-22,25
2009-03-01,26
2009-03-02,27
2009-03-03,29
2009-03-04,30
2009-03-05,32
2009-03-06,33
2009-03-07,35
2009-03-08,34
2009-03-09,33
2009-03-10,33
2009-03-11,32
2009-03-12,32
2009-03-13,31
2009-03-14,31
2009-03-15,31
2009-03-16,31
2009-03-17,31
2009-03-18,31
2009-03-19,31
2009-03-20,31
2009-03-21,31
2009-03-22,31
2009-03-23,31
2009-03-24,31
2009-03-25,31
2009-03-26,31
2009-03-27,31
2009-03-28,31
2009-03-29,30
2009-03-30,29
2009-03-31,29
2009-04-01,28
2009-04-02,28
2009-04-03,27
2009-04-04,27
2009-04-05,27
2009-04-06,28
2009-04-07,28
2009-04-08,29
2009-04-09,29
2009-04-10,30
2009-04-11,31
2009-04-12,30
2009-04-13,31
2009-04-14,30
2009-04-15,30
2009-04-16,30
2009-04-17,30
2009-04-18,30
2009-04-19,29
2009-04-20,28
2009-04-21,28
2009-04-22,27
2009-04-23,27
2009-04-24,26
2009-04-25,26
2009-04-26,26
2009-04-27,26
2009-04-28,26
2009-04-29,26
2009-04-30,26
2009-05-01,26
2009-05-02,26
2009-05-03,26
2009-05-04,26
2009-05-05,26
2009-05-06,26
2009-05-07,26
2009-05-08,26
2009-05-09,26
2009-05-10,26
2009-05-11,26
2009-05-12,26
