Date,Tengion
2009-06-01,38
2009-06-02,37
2009-06-03,37
2009-06-04,37
2009-06-05,37
2009-06-06,37
2009-06-07,37
2009-06-08,36
2009-06-09,36
2009-06-10,36
2009-06-11,36
2009-06-12,36
2009-06-13,36
2009-06-14,35
2009-06-15,35
2009-06-16,35
2009-06-17,35
2009-06-18,35
2009-06-19,35
2009-06-20,34
2009-06-21,34
2009-06-22,34
2009-06-23,34
2009-06-24,34
2009-06-25,34
2009-06-26,33
2009-06-27,33
2009-06-28,33
2009-06-29,33
2009-06-30,33
2009-07-01,33
2009-07-02,32
2009-07-03,32
2009-07-04,32
2009-07-05,32
2009-07-06,32
2009-07-07,32
2009-07-08,31
2009-07-09,31
2009-07-10,31
2009-07-11,31
2009-07-12,31
2009-07-13,31
2009-07-14,30
2009-07-15,30
2009-07-16,30
2009-07-17,30
2009-07-18,30
2009-07-19,30
2009-07-20,29
2009-07-21,29
2009-07-22,29
2009-07-23,29
2009-07-24,29
2009-07-25,29
2009-07-26,28
2009-07-27,28
2009-07-28,28
2009-07-29,28
2009-07-30,28
2009-07-31,28
2009-08-01,28
2009-08-02,28
2009-08-03,28
2009-08-04,28
2009-08-05,29
2009-08-06,29
2009-08-07,29
2009-08-08,30
2009-08-09,30
2009-08-10,30
2009-08-11,31
2009-08-12,31
2009-08-13,31
2009-08-14,32
2009-08-15,32
2009-08-16,32
2009-08-17,33
2009-08-18,33
2009-08-19,33
2009-08-20,34
2009-08-21,34
2009-08-22,34
2009-08-23,35
2009-08-24,35
2009-08-25,35
2009-08-26,36
2009-08-27,36
2009-08-28,36
2009-08-29,37
2009-08-30,37
2009-08-31,37
2009-09-01,38
2009-09-02,38
2009-09-03,39
2009-09-04,40
2009-09-05,41
2009-09-06,42
2009-09-07,43
2009-09-08,44
2009-09-09,45
2009-09-10,46
2009-09-11,47
2009-09-12,48
2009-09-13,49
2009-09-14,50
2009-09-15,51
2009-09-16,52
2009-09-17,52
2009-09-18,53
2009-09-19,54
2009-09-20,55
2009-09-21,56
2009-09-22,57
2009-09-23,58
2009-09-24,59
2009-09-25,60
2009-09-26,61
2009-09-27,62
2009-09-28,63
2009-09-29,64
2009-09-30,65
2009-10-01,66
2009-10-02,64
2009-10-03,63
2009-10-04,62
2009-10-05,60
2009-10-06,59
2009-10-07,58
2009-10-08,57
2009-10-09,55
2009-10-10,54
2009-10-11,53
2009-10-12,52
2009-10-13,50
2009-10-14,49
2009-10-15,48
2009-10-16,47
2009-10-17,45
2009-10-18,44
2009-10-19,43
2009-10-20,42
2009-10-21,40
2009-10-22,39
2009-10-23,38
2009-10-24,37
2009-10-25,35
2009-10-26,34
2009-10-27,33
2009-10-28,32
2009-10-29,30
2009-10-30,29
2009-10-31,28
2009-11-01,27
2009-11-02,27
2009-11-03,28
2009-11-04,29
2009-11-05,30
2009-11-06,30
2009-11-07,31
2009-11-08,32
2009-11-09,33
2009-11-10,33
2009-11-11,34
2009-11-12,35
2009-11-13,36
2009-11-14,36
2009-11-15,37
2009-11-16,38
2009-11-17,39
2009-11-18,40
2009-11-19,40
2009-11-20,41
2009-11-21,42
2009-11-22,43
2009-11-23,43
2009-11-24,44
2009-11-25,45
2009-11-26,46
2009-11-27,46
2009-11-28,47
2009-11-29,48
2009-11-30,49
2009-12-01,50
2009-12-02,49
2009-12-03,48
2009-12-04,48
2009-12-05,47
2009-12-06,47
2009-12-07,46
2009-12-08,46
2009-12-09,45
2009-12-10,45
2009-12-11,44
2009-12-12,43
2009-12-13,43
2009-12-14,42
2009-12-15,42
2009-12-16,41
2009-12-17,41
2009-12-18,40
2009-12-19,40
2009-12-20,39
2009-12-21,39
2009-12-22,38
2009-12-23,37
2009-12-24,37
2009-12-25,36
2009-12-26,36
2009-12-27,35
2009-12-28,35
2009-12-29,34
2009-12-30,34
2009-12-31,33
2010-01-01,33
2010-01-02,33
2010-01-03,33
2010-01-04,33
2010-01-05,34
2010-01-06,34
2010-01-07,34
2010-01-08,35
2010-01-09,35
2010-01-10,35
2010-01-11,35
2010-01-12,36
2010-01-13,36
2010-01-14,36
2010-01-15,37
2010-01-16,37
2010-01-17,37
2010-01-18,37
2010-01-19,38
2010-01-20,38
2010-01-21,38
2010-01-22,39
2010-01-23,39
2010-01-24,39
2010-01-25,39
2010-01-26,40
2010-01-27,40
2010-01-28,40
2010-01-29,41
2010-01-30,41
2010-01-31,41
2010-02-01,42
2010-02-02,42
2010-02-03,42
2010-02-04,43
2010-02-05,43
2010-02-06,44
2010-02-07,44
2010-02-08,45
2010-02-09,45
2010-02-10,45
2010-02-11,46
2010-02-12,46
2010-02-13,47
2010-02-14,47
2010-02-15,48
2010-02-16,48
2010-02-17,48
2010-02-18,49
2010-02-19,49
2010-02-20,50
2010-02-21,50
2010-02-22,51
2010-02-23,51
2010-02-24,51
2010-02-25,52
2010-02-26,52
2010-02-27,53
2010-02-28,53
2010-03-07,62
2010-03-08,78
2010-03-09,65
2010-03-10,67
2010-03-11,68
2010-03-12,70
2010-03-13,71
2010-03-14,73
2010-03-15,74
2010-03-16,76
2010-03-17,77
2010-03-18,79
2010-03-19,80
2010-03-20,82
2010-03-21,83
2010-03-22,85
2010-03-23,86
2010-03-24,88
2010-03-25,89
2010-03-26,91
2010-03-27,92
2010-03-28,94
2010-03-29,95
2010-03-30,97
2010-03-31,98
2010-04-01,100
2010-04-02,98
2010-04-03,96
2010-04-04,94
2010-04-05,92
2010-04-06,91
2010-04-07,89
2010-04-08,87
2010-04-09,85
2010-04-10,83
2010-04-11,82
2010-04-12,81
2010-04-13,79
2010-04-14,77
2010-04-15,76
2010-04-16,74
2010-04-17,72
2010-04-18,71
2010-04-19,69
2010-04-20,67
2010-04-21,66
2010-04-22,65
2010-04-23,64
2010-04-24,64
2010-04-25,56
2010-04-26,55
2010-04-27,53
2010-04-28,51
2010-04-29,49
2010-04-30,47
2010-05-01,46
2010-05-02,45
2010-05-03,44
2010-05-04,43
2010-05-05,43
2010-05-06,42
2010-05-07,41
2010-05-08,41
2010-05-09,40
2010-05-10,39
2010-05-11,39
2010-05-12,38
2010-05-13,37
2010-05-14,37
2010-05-15,36
2010-05-16,35
2010-05-17,35
2010-05-18,34
2010-05-19,33
2010-05-20,33
2010-05-21,32
2010-05-22,31
2010-05-23,31
2010-05-24,30
2010-05-25,29
2010-05-26,29
2010-05-27,28
2010-05-28,27
2010-05-29,27
2010-05-30,26
2010-06-01,25
2010-06-02,24
2010-06-03,24
2010-06-04,24
2010-06-05,24
2010-06-06,24
2010-06-07,23
2010-06-08,23
2010-06-09,23
2010-06-10,23
2010-06-11,23
2010-06-12,22
2010-06-13,22
2010-06-14,22
2010-06-15,22
2010-06-16,22
2010-06-17,21
2010-06-18,21
2010-06-19,21
2010-06-20,21
2010-06-21,21
2010-06-22,20
2010-06-23,20
2010-06-24,20
2010-06-25,20
2010-06-26,20
2010-06-27,19
2010-06-28,19
2010-06-29,19
2010-06-30,19
2010-07-01,19
2010-07-02,19
2010-07-03,20
2010-07-04,20
2010-07-05,21
2010-07-06,21
2010-07-07,22
2010-07-08,22
2010-07-09,23
2010-07-10,23
2010-07-11,24
2010-07-12,24
2010-07-13,25
2010-07-14,25
2010-07-15,26
2010-07-16,26
2010-07-17,27
2010-07-18,27
2010-07-19,28
2010-07-20,28
2010-07-21,29
2010-07-22,29
2010-07-23,30
2010-07-24,30
2010-07-25,31
2010-07-26,31
2010-07-27,32
2010-07-28,32
2010-07-29,33
2010-07-30,33
2010-07-31,34
2010-08-01,35
2010-08-02,35
2010-08-03,35
2010-08-04,36
2010-08-05,36
2010-08-06,37
2010-08-07,37
2010-08-08,38
2010-08-09,38
2010-08-10,39
2010-08-11,39
2010-08-12,40
2010-08-13,40
2010-08-14,41
2010-08-15,41
2010-08-16,42
2010-08-17,42
2010-08-18,43
2010-08-19,43
2010-08-20,44
2010-08-21,44
2010-08-22,45
2010-08-23,45
2010-08-24,46
2010-08-25,46
2010-08-26,47
2010-08-27,47
2010-08-28,48
2010-08-29,48
2010-08-30,49
2010-08-31,49
2010-09-01,50
2010-09-02,49
2010-09-03,49
2010-09-04,49
2010-09-05,49
2010-09-06,49
2010-09-07,49
2010-09-08,49
2010-09-09,49
2010-09-10,49
2010-09-11,49
2010-09-12,48
2010-09-13,48
2010-09-14,48
2010-09-15,48
2010-09-16,48
2010-09-17,48
2010-09-18,48
2010-09-19,48
2010-09-20,48
2010-09-21,48
2010-09-22,47
2010-09-23,47
2010-09-24,47
2010-09-25,47
2010-09-26,47
2010-09-27,47
2010-09-28,47
2010-09-29,47
2010-09-30,47
2010-10-01,47
2010-10-02,46
2010-10-03,45
2010-10-04,45
2010-10-05,44
2010-10-06,43
2010-10-07,43
2010-10-08,42
2010-10-09,41
2010-10-10,41
2010-10-11,40
2010-10-12,39
2010-10-13,39
2010-10-14,38
2010-10-15,37
2010-10-16,37
2010-10-17,36
2010-10-18,36
2010-10-19,35
2010-10-20,34
2010-10-21,34
2010-10-22,33
2010-10-23,32
2010-10-24,32
2010-10-25,31
2010-10-26,30
2010-10-27,30
2010-10-28,29
2010-10-29,28
2010-10-30,28
2010-10-31,27
2010-11-01,27
2010-11-02,27
2010-11-03,27
2010-11-04,28
2010-11-05,28
2010-11-06,28
2010-11-07,29
2010-11-08,29
2010-11-09,29
2010-11-10,30
2010-11-11,30
2010-11-12,30
2010-11-13,31
2010-11-14,31
2010-11-15,31
2010-11-16,32
2010-11-17,32
2010-11-18,32
2010-11-19,33
2010-11-20,33
2010-11-21,33
2010-11-22,34
2010-11-23,34
2010-11-24,34
2010-11-25,35
2010-11-26,35
2010-11-27,35
2010-11-28,36
2010-11-29,36
2010-11-30,36
2010-12-01,37
2010-12-02,36
2010-12-03,36
2010-12-04,36
2010-12-05,36
2010-12-06,36
2010-12-07,36
2010-12-08,36
2010-12-09,36
2010-12-10,36
2010-12-11,36
