Date,QuinStreet
2010-06-19,22
2010-06-20,21
2010-06-21,21
2010-06-22,21
2010-06-23,20
2010-06-24,20
2010-06-25,20
2010-06-26,20
2010-06-27,19
2010-06-28,19
2010-06-29,19
2010-06-30,19
2010-07-01,18
2010-07-02,18
2010-07-03,18
2010-07-04,18
2010-07-05,17
2010-07-06,17
2010-07-07,17
2010-07-08,17
2010-07-09,17
2010-07-10,17
2010-07-11,17
2010-07-12,17
2010-07-13,18
2010-07-14,18
2010-07-15,19
2010-07-16,19
2010-07-17,20
2010-07-18,20
2010-07-19,20
2010-07-20,20
2010-07-21,21
2010-07-22,21
2010-07-23,21
2010-07-24,22
2010-07-25,22
2010-08-01,24
2010-08-02,25
2010-08-03,25
2010-08-04,26
2010-08-05,26
2010-08-06,27
2010-08-07,28
2010-08-08,29
2010-08-09,30
2010-08-10,32
2010-08-11,33
2010-08-12,34
2010-08-13,36
2010-08-14,37
2010-08-15,36
2010-08-16,35
2010-08-17,34
2010-08-18,33
2010-08-19,33
2010-08-20,32
2010-08-21,31
2010-08-22,30
2010-08-23,28
2010-08-24,27
2010-08-25,25
2010-08-26,24
2010-08-27,23
2010-08-28,22
2010-08-29,21
2010-08-30,20
2010-08-31,19
2010-09-01,19
2010-09-02,18
2010-09-03,17
2010-09-04,17
2010-09-05,17
2010-09-06,18
2010-09-07,19
2010-09-08,20
2010-09-09,21
2010-09-10,22
2010-09-11,23
2010-09-12,22
2010-09-13,22
2010-09-14,22
2010-09-15,21
2010-09-16,21
2010-09-17,21
2010-09-18,21
2010-09-19,20
2010-09-20,19
2010-09-21,18
2010-09-22,18
2010-09-23,17
2010-09-24,16
2010-09-25,16
2010-09-26,17
2010-09-27,19
2010-09-28,20
2010-09-29,22
2010-09-30,23
2010-10-01,25
2010-10-02,27
2010-10-03,26
2010-10-04,26
2010-10-05,26
2010-10-06,25
2010-10-07,25
2010-10-08,25
2010-10-09,25
2010-10-10,24
2010-10-11,22
2010-10-12,21
2010-10-13,20
2010-10-14,19
2010-10-15,18
2010-10-16,17
2010-10-17,19
2010-10-18,22
2010-10-19,24
2010-10-20,27
2010-10-21,29
2010-10-22,32
2010-10-23,35
2010-10-24,34
2010-10-25,34
2010-10-26,33
2010-10-27,32
2010-10-28,32
2010-10-29,31
2010-10-30,31
2010-10-31,29
2010-11-07,19
2010-11-08,21
2010-11-09,23
2010-11-10,26
2010-11-11,28
2010-11-12,30
2010-11-13,33
2010-11-14,32
2010-11-15,32
2010-11-16,32
2010-11-17,32
