Date,Delphi Automotive
2010-11-13,85
2010-11-14,81
2010-11-15,82
2010-11-16,83
2010-11-17,84
2010-11-18,85
2010-11-19,86
2010-11-20,94
2010-11-21,90
2010-11-22,85
2010-11-23,83
2010-11-24,82
2010-11-25,84
2010-11-26,79
2010-11-27,82
2010-11-28,85
2010-11-29,77
2010-11-30,79
2010-12-01,77
2010-12-02,77
2010-12-03,80
2010-12-04,83
2010-12-05,77
2010-12-06,78
2010-12-07,79
2010-12-08,80
2010-12-09,82
2010-12-10,82
2010-12-11,92
2010-12-12,83
2010-12-13,83
2010-12-14,86
2010-12-15,84
2010-12-16,87
2010-12-17,87
2010-12-18,92
2010-12-19,84
2010-12-20,83
2010-12-21,84
2010-12-22,80
2010-12-23,89
2010-12-24,78
2010-12-25,82
2010-12-26,74
2010-12-27,72
2010-12-28,70
2010-12-29,73
2010-12-30,65
2010-12-31,67
2011-01-01,62
2011-01-02,63
2011-01-03,66
2011-01-04,69
2011-01-05,72
2011-01-06,75
2011-01-07,79
2011-01-08,87
2011-01-09,81
2011-01-10,81
2011-01-11,81
2011-01-12,81
2011-01-13,83
2011-01-14,81
2011-01-15,89
2011-01-16,81
2011-01-17,81
2011-01-18,81
2011-01-19,81
2011-01-20,83
2011-01-21,81
2011-01-22,86
2011-01-23,85
2011-01-24,81
2011-01-25,82
2011-01-26,81
2011-01-27,81
2011-01-28,85
2011-01-29,86
2011-01-30,85
2011-01-31,81
2011-02-01,81
2011-02-02,81
2011-02-03,81
2011-02-04,82
2011-02-05,90
2011-02-06,79
2011-02-07,78
2011-02-08,79
2011-02-09,78
2011-02-10,75
2011-02-11,79
2011-02-12,74
2011-02-13,77
2011-02-14,81
2011-02-15,89
2011-02-16,88
2011-02-17,97
2011-02-18,96
2011-02-19,103
2011-02-20,102
2011-02-21,98
2011-02-22,97
2011-02-23,96
2011-02-24,97
2011-02-25,95
2011-02-26,103
2011-02-27,90
2011-02-28,87
2011-03-01,88
2011-03-02,82
2011-03-03,80
2011-03-04,77
2011-03-05,80
2011-03-06,76
2011-03-07,74
2011-03-08,75
2011-03-09,74
2011-03-10,77
2011-03-11,74
2011-03-12,77
2011-03-13,74
2011-03-14,75
2011-03-15,75
2011-03-16,78
2011-03-17,76
2011-03-18,79
2011-03-19,87
2011-03-20,78
2011-03-21,78
2011-03-22,85
2011-03-23,79
2011-03-24,80
2011-03-25,87
2011-03-26,83
2011-03-27,80
2011-03-28,80
2011-03-29,80
2011-03-30,87
2011-03-31,80
2011-05-01,80
2011-05-02,80
2011-05-03,80
2011-05-04,82
2011-05-05,83
2011-05-06,80
2011-05-07,91
2011-05-08,80
2011-05-09,79
2011-05-10,79
2011-05-11,78
2011-05-12,79
2011-05-13,79
2011-05-14,79
2011-05-15,78
2011-05-16,79
2011-05-17,84
2011-05-18,82
2011-05-19,83
2011-05-20,88
2011-05-21,94
2011-05-22,89
2011-05-23,86
2011-05-24,88
2011-05-25,87
2011-05-26,86
2011-05-27,94
2011-05-28,87
2011-05-29,85
2011-05-30,83
2011-05-31,81
2011-06-01,79
2011-06-02,81
2011-06-03,75
2011-06-04,84
2011-06-05,75
2011-06-06,76
2011-06-07,77
2011-06-08,78
2011-06-09,79
2011-06-10,80
2011-06-11,88
2011-06-12,85
2011-06-13,82
2011-06-14,83
2011-06-15,84
2011-06-16,85
2011-06-17,86
2011-06-18,94
2011-06-19,94
2011-06-20,85
2011-06-21,86
2011-06-22,84
2011-06-23,87
2011-06-24,83
2011-06-25,89
2011-06-26,84
2011-06-27,82
2011-06-28,82
2011-06-29,84
2011-06-30,83
2011-07-01,81
2011-07-02,81
2011-07-03,86
2011-07-04,80
2011-07-05,83
2011-07-06,79
2011-07-07,81
2011-07-08,81
2011-07-09,83
2011-07-10,80
2011-07-11,79
2011-07-12,79
2011-07-13,81
2011-07-14,79
2011-07-15,82
2011-07-16,79
2011-07-17,82
2011-07-18,79
2011-07-19,81
2011-07-20,80
2011-07-21,82
2011-07-22,84
2011-07-23,91
2011-07-24,81
2011-07-25,80
2011-07-26,79
2011-07-27,79
2011-07-28,78
2011-07-29,83
2011-07-30,81
2011-07-31,77
2011-08-01,77
2011-08-02,77
2011-08-03,77
2011-08-04,81
2011-08-05,77
2011-08-06,86
2011-08-07,76
2011-08-08,75
2011-08-09,74
2011-08-10,73
2011-08-11,72
2011-08-12,72
2011-08-13,74
2011-08-14,69
2011-08-15,70
2011-08-16,71
2011-08-17,76
