Date,Twitter
2013-04-01,93
2013-04-02,94
2013-04-03,93
2013-04-04,93
2013-04-05,93
2013-04-06,93
2013-04-07,92
2013-04-08,93
2013-04-09,92
2013-04-10,93
2013-04-11,92
2013-04-12,92
2013-04-13,92
2013-04-14,93
2013-04-15,95
2013-04-16,96
2013-04-17,96
2013-04-18,97
2013-04-19,98
2013-04-20,100
2013-04-21,99
2013-04-22,101
2013-04-23,98
2013-04-24,98
2013-04-25,97
2013-04-26,96
2013-04-27,96
2013-04-28,96
2013-04-29,97
2013-04-30,95
2013-05-01,95
2013-05-02,96
2013-05-03,95
2013-05-04,95
2013-05-05,94
2013-05-06,96
2013-05-07,94
2013-05-08,94
2013-05-09,94
2013-05-10,94
2013-05-11,94
2013-05-12,93
2013-05-13,95
2013-05-14,92
2013-05-15,92
2013-05-16,92
2013-05-17,91
2013-05-18,91
2013-05-19,91
2013-05-20,93
2013-05-21,92
2013-05-22,92
2013-05-23,93
2013-05-24,93
2013-05-25,94
2013-05-26,94
2013-05-27,96
2013-05-28,95
2013-05-29,96
2013-05-30,96
2013-05-31,97
2013-06-01,98
2013-06-02,98
2013-06-03,99
2013-06-04,99
2013-06-05,98
2013-06-06,98
2013-06-07,98
2013-06-08,99
2013-06-09,99
2013-06-10,100
2013-06-11,99
2013-06-12,99
2013-06-13,99
2013-06-14,99
2013-06-15,99
2013-06-16,99
2013-06-17,101
2013-06-18,99
2013-06-19,99
2013-06-20,100
2013-06-21,100
2013-06-22,100
2013-06-23,99
2013-06-24,100
2013-06-25,97
2013-06-26,97
2013-06-27,96
2013-06-28,95
2013-06-29,95
2013-06-30,95
2013-07-01,94
2013-07-02,94
2013-07-03,94
2013-07-04,94
2013-07-05,94
2013-07-06,94
2013-07-07,94
2013-07-08,96
2013-07-09,94
2013-07-10,95
2013-07-11,95
2013-07-12,95
2013-07-13,96
2013-07-14,96
2013-07-15,99
2013-07-16,97
2013-07-17,98
2013-07-18,98
2013-07-19,99
2013-07-20,100
2013-07-21,99
2013-07-22,99
2013-07-23,99
2013-07-24,97
2013-07-25,97
2013-07-26,96
2013-07-27,96
2013-07-28,95
2013-07-29,96
2013-07-30,95
2013-07-31,95
2013-08-01,95
2013-08-02,95
2013-08-03,95
2013-08-04,94
2013-08-05,94
2013-08-06,93
2013-08-07,93
2013-08-08,92
2013-08-09,91
2013-08-10,91
2013-08-11,91
2013-08-12,92
2013-08-13,92
2013-08-14,92
2013-08-15,93
2013-08-16,93
2013-08-17,94
2013-08-18,93
2013-08-19,94
2013-08-20,93
2013-08-21,92
2013-08-22,93
2013-08-23,92
2013-08-24,92
2013-08-25,92
2013-08-26,93
2013-08-27,92
2013-08-28,92
2013-08-29,92
2013-08-30,92
2013-08-31,92
2013-09-01,91
2013-09-02,92
2013-09-03,90
2013-09-04,89
2013-09-05,89
2013-09-06,88
2013-09-07,88
2013-09-08,88
2013-09-09,89
2013-09-10,88
2013-09-11,88
2013-09-12,88
2013-09-13,88
2013-09-14,89
2013-09-15,88
2013-09-16,89
2013-09-17,87
2013-09-18,86
2013-09-19,85
2013-09-20,84
2013-09-21,84
2013-09-22,84
2013-09-23,86
2013-09-24,85
2013-09-25,85
2013-09-26,86
2013-09-27,86
2013-09-28,87
2013-09-29,86
2013-09-30,87
2013-10-01,85
2013-10-02,84
2013-10-03,84
2013-10-04,83
2013-10-05,83
2013-10-06,83
2013-10-07,83
2013-10-08,82
2013-10-09,82
2013-10-10,82
2013-10-11,82
2013-10-12,82
2013-10-13,82
2013-10-14,83
2013-10-15,82
2013-10-16,82
2013-10-17,82
2013-10-18,82
2013-10-19,82
2013-10-20,82
2013-10-21,82
2013-10-22,81
2013-10-23,80
2013-10-24,80
2013-10-25,80
2013-10-26,80
2013-10-27,80
2013-10-28,81
2013-10-29,81
2013-10-30,81
2013-10-31,82
2013-11-01,82
2013-11-02,83
2013-11-03,83
2013-11-04,84
2013-11-05,83
2013-11-06,83
2013-11-07,83
2013-11-08,83
2013-11-09,83
2013-11-10,83
2013-11-11,83
2013-11-12,83
2013-11-13,83
2013-11-14,83
2013-11-15,83
2013-11-16,84
2013-11-17,84
2013-11-18,84
2013-11-19,82
2013-11-20,82
2013-11-21,82
2013-11-22,81
2013-11-23,81
2013-11-24,81
2013-11-25,81
2013-11-26,80
2013-11-27,80
2013-11-28,80
2013-11-29,80
2013-11-30,80
2013-12-01,80
2013-12-02,82
2013-12-03,80
2013-12-04,80
2013-12-05,80
2013-12-06,80
2013-12-07,81
2013-12-08,80
2013-12-09,81
2013-12-10,79
2013-12-11,79
2013-12-12,79
2013-12-13,78
2013-12-14,78
2013-12-15,78
2013-12-16,79
2013-12-17,78
2013-12-18,79
2013-12-19,79
2013-12-20,79
2013-12-21,80
2013-12-22,80
2013-12-23,80
2013-12-24,80
2013-12-25,81
2013-12-26,82
2013-12-27,82
2013-12-28,82
2013-12-29,82
2013-12-30,82
2013-12-31,82
2014-01-01,83
2014-01-02,85
2014-01-03,83
2014-01-04,84
2014-01-05,83
2014-01-06,83
2014-01-07,81
2014-01-08,81
2014-01-09,80
2014-01-10,79
2014-01-11,79
2014-01-12,78
2014-01-13,79
2014-01-14,78
2014-01-15,77
2014-01-16,77
2014-01-17,77
2014-01-18,77
2014-01-19,77
2014-01-20,78
2014-01-21,77
2014-01-22,78
2014-01-23,78
2014-01-24,78
2014-01-25,79
2014-01-26,79
2014-01-27,80
2014-01-28,79
2014-01-29,80
2014-01-30,80
2014-01-31,80
2014-02-01,81
2014-02-02,80
2014-02-03,80
2014-02-04,80
2014-02-05,79
2014-02-06,79
2014-02-07,79
2014-02-08,79
2014-02-09,79
2014-02-10,80
2014-02-11,78
2014-02-12,78
2014-02-13,78
2014-02-14,78
2014-02-15,78
2014-02-16,79
2014-02-17,79
2014-02-18,78
2014-02-19,78
2014-02-20,78
2014-02-21,78
2014-02-22,79
2014-02-23,79
2014-02-24,79
2014-02-25,78
2014-02-26,78
2014-02-27,78
2014-02-28,78
