Date,KAR Holdings
2009-03-01,71
2009-03-02,70
2009-03-03,69
2009-03-04,69
2009-03-05,68
2009-03-06,68
2009-03-07,67
2009-03-08,67
2009-03-09,66
2009-03-10,66
2009-03-11,65
2009-03-12,64
2009-03-13,64
2009-03-14,63
2009-03-15,63
2009-03-16,62
2009-03-17,62
2009-03-18,61
2009-03-19,61
2009-03-20,60
2009-03-21,60
2009-03-22,59
2009-03-23,58
2009-03-24,58
2009-03-25,57
2009-03-26,57
2009-03-27,56
2009-03-28,56
2009-03-29,55
2009-03-30,55
2009-03-31,54
2009-04-01,54
2009-04-02,54
2009-04-03,54
2009-04-04,54
2009-04-05,54
2009-04-06,54
2009-04-07,54
2009-04-08,54
2009-04-09,54
2009-04-10,54
2009-04-11,54
2009-04-12,54
2009-04-13,54
2009-04-14,54
2009-04-15,54
2009-04-16,54
2009-04-17,54
2009-04-18,54
2009-04-19,54
2009-04-20,54
2009-04-21,54
2009-04-22,54
2009-04-23,54
2009-04-24,54
2009-04-25,54
2009-04-26,54
2009-04-27,54
2009-04-28,54
2009-04-29,54
2009-04-30,54
2009-05-01,54
2009-05-02,54
2009-05-03,54
2009-05-04,54
2009-05-05,54
2009-05-06,54
2009-05-07,54
2009-05-08,54
2009-05-09,54
2009-05-10,54
2009-05-11,54
2009-05-12,54
2009-05-13,54
2009-05-14,54
2009-05-15,54
2009-05-16,54
2009-05-17,54
2009-05-18,54
2009-05-19,54
2009-05-20,54
2009-05-21,54
2009-05-22,54
2009-05-23,54
2009-05-24,54
2009-05-25,54
2009-05-26,54
2009-05-27,54
2009-05-28,54
2009-05-29,54
2009-05-30,54
2009-05-31,54
2009-06-01,54
2009-06-02,54
2009-06-03,54
2009-06-04,54
2009-06-05,54
2009-06-06,54
2009-06-07,54
2009-06-08,54
2009-06-09,54
2009-06-10,54
2009-06-11,54
2009-06-12,54
2009-06-13,54
2009-06-14,54
2009-06-15,54
2009-06-16,54
2009-06-17,54
2009-06-18,54
2009-06-19,54
2009-06-20,54
2009-06-21,54
2009-06-22,54
2009-06-23,54
2009-06-24,54
2009-06-25,54
2009-06-26,54
2009-06-27,54
2009-06-28,54
2009-06-29,54
2009-06-30,54
2009-07-01,54
2009-07-02,54
2009-07-03,55
2009-07-04,55
2009-07-05,56
2009-07-06,56
2009-07-07,57
2009-07-08,57
2009-07-09,58
2009-07-10,58
2009-07-11,59
2009-07-12,59
2009-07-13,60
2009-07-14,60
2009-07-15,61
2009-07-16,61
2009-07-17,62
2009-07-18,62
2009-07-19,63
2009-07-20,63
2009-07-21,64
2009-07-22,64
2009-07-23,65
2009-07-24,65
2009-07-25,66
2009-07-26,66
2009-07-27,67
2009-07-28,67
2009-07-29,68
2009-07-30,68
2009-07-31,69
2009-08-01,70
2009-08-02,70
2009-08-03,71
2009-08-04,72
2009-08-05,73
2009-08-06,74
2009-08-07,75
2009-08-08,76
2009-08-09,77
2009-08-10,78
2009-08-11,79
2009-08-12,80
2009-08-13,81
2009-08-14,82
2009-08-15,83
2009-08-16,84
2009-08-17,85
2009-08-18,86
2009-08-19,87
2009-08-20,88
2009-08-21,89
2009-08-22,90
2009-08-23,91
2009-08-24,92
2009-08-25,93
2009-08-26,94
2009-08-27,95
2009-08-28,96
2009-08-29,97
2009-08-30,98
2009-08-31,99
2009-09-01,100
2009-09-02,99
2009-09-03,98
2009-09-04,97
2009-09-05,96
2009-09-06,96
2009-09-07,95
2009-09-08,94
2009-09-09,93
2009-09-10,92
2009-09-11,92
2009-09-12,91
2009-09-13,90
2009-09-14,89
2009-09-15,88
2009-09-16,88
2009-09-17,87
2009-09-18,86
2009-09-19,85
2009-09-20,84
2009-09-21,84
2009-09-22,83
2009-09-23,82
2009-09-24,81
2009-09-25,80
2009-09-26,80
2009-09-27,79
2009-09-28,78
2009-09-29,77
2009-09-30,76
2009-10-01,76
2009-10-02,75
2009-10-03,74
2009-10-04,73
2009-10-05,72
2009-10-06,71
2009-10-07,70
2009-10-08,69
2009-10-09,68
2009-10-10,67
2009-10-11,66
2009-10-12,66
2009-10-13,65
2009-10-14,64
2009-10-15,63
2009-10-16,62
2009-10-17,61
2009-10-18,60
2009-10-19,59
2009-10-20,58
2009-10-21,57
2009-10-22,57
2009-10-23,56
2009-10-24,55
2009-10-25,54
2009-10-26,53
2009-10-27,52
2009-10-28,51
2009-10-29,50
2009-10-30,49
2009-10-31,48
