Date,Education Management Corporation
2007-06-09,36
2007-06-10,37
2007-06-11,37
2007-06-12,38
2007-06-13,39
2007-06-14,40
2007-06-15,41
2007-06-16,42
2007-06-17,42
2007-06-18,42
2007-06-19,42
2007-06-20,42
2007-06-21,42
2007-06-22,43
2007-06-23,43
2007-06-24,44
2007-06-25,46
2007-06-26,48
2007-06-27,50
2007-06-28,51
2007-06-29,53
2007-06-30,55
2007-07-01,54
2007-07-02,53
2007-07-03,52
2007-07-04,52
2007-07-05,51
2007-07-06,50
2007-07-07,50
2007-07-08,49
2007-07-09,48
2007-07-10,47
2007-07-11,46
2007-07-12,45
2007-07-13,44
2007-07-14,43
2007-07-15,46
2007-07-16,50
2007-07-17,53
2007-07-18,57
2007-07-19,60
2007-07-20,64
2007-07-21,67
2007-07-22,64
2007-07-23,59
2007-07-24,56
2007-07-25,52
2007-07-26,49
2007-07-27,45
2007-07-28,42
2007-07-29,43
2007-07-30,45
2007-07-31,46
2007-08-01,48
2007-08-02,50
2007-08-03,51
2007-08-04,53
2007-08-05,53
2007-08-06,53
2007-08-07,54
2007-08-08,54
2007-08-09,55
2007-08-10,55
2007-08-11,56
2007-08-12,53
2007-08-13,50
2007-08-14,47
2007-08-15,44
2007-08-16,41
2007-08-17,38
2007-08-18,36
2007-08-19,40
2007-08-20,45
2007-08-21,50
2007-08-22,54
2007-08-23,59
2007-08-24,65
2007-08-25,72
2007-08-26,65
2007-09-02,69
2007-09-03,70
2007-09-04,70
2007-09-05,71
2007-09-06,71
2007-09-07,71
2007-09-08,72
2007-09-09,69
2007-09-10,66
2007-09-11,63
2007-09-12,61
2007-09-13,58
2007-09-14,55
2007-09-15,53
2007-09-16,51
2007-09-17,50
2007-09-18,49
2007-09-19,48
2007-09-20,46
2007-09-21,45
2007-09-22,44
2007-09-23,44
2007-09-24,43
2007-09-25,43
2007-09-26,43
2007-09-27,43
2007-09-28,43
2007-09-29,43
2007-09-30,41
2007-10-01,39
2007-10-02,37
2007-10-03,36
2007-10-04,34
2007-10-05,32
2007-10-06,31
2007-10-07,34
2007-10-08,37
2007-10-09,41
2007-10-10,44
2007-10-11,48
2007-10-12,51
2007-10-13,55
2007-10-14,54
2007-10-15,54
2007-10-16,54
2007-10-17,53
2007-10-18,53
2007-10-19,53
2007-10-20,53
2007-10-21,51
2007-10-22,49
2007-10-23,47
2007-10-24,46
2007-10-25,44
2007-10-26,42
2007-10-27,41
2007-10-28,40
2007-10-29,39
2007-10-30,38
2007-10-31,38
2007-11-01,37
2007-11-02,36
2007-11-03,36
2007-11-04,38
2007-11-05,41
2007-11-06,43
2007-11-07,46
2007-11-08,48
2007-11-09,51
2007-11-10,54
2007-11-11,54
2007-11-12,55
2007-11-13,55
2007-11-14,55
2007-11-15,56
2007-11-16,56
2007-11-17,56
2007-11-18,56
2007-11-19,55
2007-11-20,55
2007-11-21,55
2007-11-22,55
2007-11-23,55
2007-11-24,55
2007-11-25,55
2007-12-02,54
2007-12-03,53
2007-12-04,52
2007-12-05,52
2007-12-06,51
2007-12-07,50
2007-12-08,50
2007-12-09,52
2007-12-10,55
2007-12-11,58
2007-12-12,60
2007-12-13,63
2007-12-14,65
2007-12-15,68
2007-12-16,64
2007-12-17,60
2007-12-18,55
2007-12-19,51
2007-12-20,47
2007-12-21,43
2007-12-22,39
2007-12-23,38
2007-12-24,38
2007-12-25,38
2007-12-26,37
2007-12-27,37
2007-12-28,37
2007-12-29,37
2007-12-30,39
2007-12-31,42
2008-01-01,44
2008-01-02,47
2008-01-03,50
2008-01-04,52
2008-01-05,55
2008-01-06,55
2008-01-07,54
2008-01-08,54
2008-01-09,54
2008-01-10,54
2008-01-11,54
2008-01-12,54
2008-01-13,54
2008-01-14,54
2008-01-15,55
2008-01-16,55
2008-01-17,56
2008-01-18,56
2008-01-19,57
2008-01-20,57
2008-01-21,58
2008-01-22,59
2008-01-23,59
2008-01-24,60
2008-01-25,61
2008-01-26,62
2008-01-27,61
2008-01-28,60
2008-01-29,59
2008-01-30,58
2008-01-31,57
