Date,Ruckus Wireless
2012-04-01,33
2012-04-02,33
2012-04-03,33
2012-04-04,33
2012-04-05,34
2012-04-06,33
2012-04-07,33
2012-04-08,32
2012-04-09,31
2012-04-10,30
2012-04-11,29
2012-04-12,28
2012-04-13,27
2012-04-14,26
2012-04-15,27
2012-04-16,28
2012-04-17,29
2012-04-18,30
2012-04-19,31
2012-04-20,32
2012-04-21,33
2012-04-22,33
2012-04-23,33
2012-04-24,33
2012-04-25,34
2012-04-26,34
2012-04-27,33
2012-04-28,34
2012-04-29,35
2012-04-30,36
2012-05-01,37
2012-05-02,39
2012-05-03,40
2012-05-04,44
2012-05-05,43
2012-05-06,42
2012-05-07,41
2012-05-08,43
2012-05-09,40
2012-05-10,40
2012-05-11,38
2012-05-12,38
2012-05-13,37
2012-05-14,37
2012-05-15,37
2012-05-16,37
2012-05-17,38
2012-05-18,37
2012-05-19,37
2012-05-20,36
2012-05-21,36
2012-05-22,37
2012-05-23,35
2012-05-24,34
2012-05-25,34
2012-05-26,34
2012-05-27,34
2012-05-28,34
2012-05-29,34
2012-05-30,35
2012-05-31,35
2012-06-01,35
2012-06-02,36
2012-06-03,36
2012-06-04,36
2012-06-05,36
2012-06-06,37
2012-06-07,37
2012-06-08,37
2012-06-09,41
2012-06-10,37
2012-06-11,36
2012-06-12,35
2012-06-13,35
2012-06-14,35
2012-06-15,33
2012-06-16,33
2012-06-17,34
2012-06-18,35
2012-06-19,36
2012-06-20,37
2012-06-21,39
2012-06-22,39
2012-06-23,41
2012-06-24,40
2012-06-25,39
2012-06-26,41
2012-06-27,37
2012-06-28,36
2012-06-29,35
2012-06-30,35
2012-07-01,34
2012-07-02,34
2012-07-03,33
2012-07-04,33
2012-07-05,32
2012-07-06,32
2012-07-07,32
2012-07-08,32
2012-07-09,33
2012-07-10,34
2012-07-11,34
2012-07-12,34
2012-07-13,35
2012-07-14,36
2012-07-15,35
2012-07-16,35
2012-07-17,35
2012-07-18,37
2012-07-19,35
2012-07-20,35
2012-07-21,35
2012-07-22,34
2012-07-23,33
2012-07-24,33
2012-07-25,32
2012-07-26,32
2012-07-27,31
2012-07-28,31
2012-07-29,31
2012-07-30,32
2012-07-31,31
2012-08-01,32
2012-08-02,32
2012-08-03,32
2012-08-04,33
2012-08-05,32
2012-08-06,31
2012-08-07,30
2012-08-08,29
2012-08-09,28
2012-08-10,27
2012-08-11,27
2012-08-12,28
2012-08-13,29
2012-08-14,31
2012-08-15,32
2012-08-16,35
2012-08-17,36
2012-08-18,37
2012-08-19,37
2012-08-20,37
2012-08-21,37
2012-08-22,37
2012-08-23,37
2012-08-24,41
