Date,Linn Co
2011-12-10,50
2011-12-11,50
2011-12-12,50
2011-12-13,50
2011-12-14,50
2011-12-15,50
2011-12-16,50
2011-12-17,50
2011-12-18,50
2011-12-19,49
2011-12-20,49
2011-12-21,49
2011-12-22,49
2011-12-23,49
2011-12-24,49
2011-12-25,49
2011-12-26,49
2011-12-27,49
2011-12-28,50
2011-12-29,50
2011-12-30,50
2011-12-31,51
2012-01-01,54
2012-01-02,57
2012-01-03,60
2012-01-04,64
2012-01-05,67
2012-01-06,70
2012-01-07,74
2012-01-08,72
2012-01-09,71
2012-01-10,69
2012-01-11,67
2012-01-12,66
2012-01-13,64
2012-01-14,62
2012-01-15,62
2012-01-16,60
2012-01-17,60
2012-01-18,59
2012-01-19,59
2012-01-20,58
2012-01-21,58
2012-01-22,57
2012-01-23,56
2012-01-24,55
2012-01-25,54
2012-01-26,53
2012-01-27,52
2012-01-28,51
2012-01-29,50
2012-01-30,49
2012-01-31,49
2012-02-01,48
2012-02-02,48
2012-02-03,47
2012-02-04,47
2012-02-05,54
2012-02-06,62
2012-02-07,70
2012-02-08,78
2012-02-09,85
2012-02-10,93
2012-02-11,101
2012-02-12,93
2012-02-13,84
2012-02-14,77
2012-02-15,69
2012-02-16,62
2012-02-17,54
2012-02-18,47
2012-02-19,48
2012-02-20,49
2012-02-21,51
2012-02-22,52
2012-02-23,54
2012-02-24,55
2012-02-25,57
2012-02-26,58
2012-03-04,67
2012-03-05,65
2012-03-06,64
2012-03-07,62
2012-03-08,61
2012-03-09,59
2012-03-10,58
2012-03-11,55
2012-03-12,53
2012-03-13,51
2012-03-14,49
2012-03-15,47
2012-03-16,45
2012-03-17,43
2012-03-18,47
2012-03-19,52
2012-03-20,57
2012-03-21,61
2012-03-22,66
2012-03-23,71
2012-03-24,76
2012-03-25,74
2012-03-26,73
2012-03-27,72
2012-03-28,70
2012-03-29,69
2012-03-30,67
2012-03-31,66
2012-04-01,62
2012-04-02,58
2012-04-03,54
2012-04-04,51
2012-04-05,47
2012-04-06,44
2012-04-07,41
2012-04-08,42
2012-04-09,44
2012-04-10,46
2012-04-11,48
2012-04-12,49
2012-04-13,51
2012-04-14,53
2012-04-15,53
2012-04-16,52
2012-04-17,52
2012-04-18,53
2012-04-19,53
2012-04-20,53
2012-04-21,54
2012-04-22,54
2012-04-23,54
2012-04-24,54
2012-04-25,55
2012-04-26,55
2012-04-27,55
2012-04-28,56
2012-04-29,56
2012-04-30,56
2012-05-01,57
2012-05-02,57
2012-05-03,57
2012-05-04,58
2012-05-05,58
2012-05-06,55
2012-05-07,52
2012-05-08,49
2012-05-09,47
2012-05-10,44
2012-05-11,41
2012-05-12,39
2012-05-13,39
2012-05-14,39
2012-05-15,39
2012-05-16,39
2012-05-17,39
2012-05-18,39
2012-05-19,39
2012-05-20,41
2012-05-21,44
2012-05-22,46
2012-05-23,49
2012-05-24,52
2012-05-25,55
2012-05-26,59
2012-05-27,51
2012-06-03,38
2012-06-04,40
2012-06-05,43
2012-06-06,45
2012-06-07,47
2012-06-08,49
2012-06-09,52
2012-06-10,50
2012-06-11,49
2012-06-12,47
2012-06-13,46
2012-06-14,44
2012-06-15,43
2012-06-16,42
2012-06-17,45
2012-06-18,49
2012-06-19,52
2012-06-20,56
2012-06-21,59
2012-06-22,63
2012-06-23,67
2012-06-24,63
2012-06-25,59
2012-06-26,56
2012-06-27,52
2012-06-28,49
2012-06-29,45
2012-06-30,42
2012-07-01,45
2012-07-02,49
2012-07-03,52
2012-07-04,55
2012-07-05,59
2012-07-06,62
2012-07-07,66
2012-07-08,62
2012-07-09,58
2012-07-10,55
2012-07-11,51
2012-07-12,48
2012-07-13,45
2012-07-14,42
2012-07-15,44
2012-07-16,47
2012-07-17,49
2012-07-18,52
2012-07-19,54
2012-07-20,57
2012-07-21,60
2012-07-22,63
2012-07-23,66
2012-07-24,69
2012-07-25,73
2012-07-26,76
2012-07-27,79
2012-07-28,83
2012-07-29,81
2012-07-30,80
2012-07-31,79
2012-08-01,78
2012-08-02,77
2012-08-03,76
2012-08-04,75
2012-08-05,75
2012-08-06,75
2012-08-07,75
2012-08-08,75
2012-08-09,75
2012-08-10,75
2012-08-11,75
2012-08-12,71
2012-08-13,67
2012-08-14,63
2012-08-15,59
2012-08-16,55
2012-08-17,51
2012-08-18,47
2012-08-19,48
2012-08-20,50
2012-08-21,51
2012-08-22,53
2012-08-23,54
2012-08-24,56
2012-08-25,58
2012-08-26,58
2012-09-02,56
2012-09-03,53
2012-09-04,50
2012-09-05,47
2012-09-06,44
2012-09-07,41
2012-09-08,38
2012-09-09,42
2012-09-10,47
2012-09-11,52
2012-09-12,57
2012-09-13,61
2012-09-14,66
2012-09-15,71
2012-09-16,69
2012-09-17,67
2012-09-18,65
2012-09-19,63
2012-09-20,62
2012-09-21,60
2012-09-22,58
2012-09-23,60
2012-09-24,61
2012-09-25,63
2012-09-26,64
2012-09-27,66
2012-09-28,68
2012-09-29,70
2012-09-30,69
2012-10-01,68
2012-10-02,67
2012-10-03,66
2012-10-04,65
2012-10-05,64
2012-10-06,63
2012-10-07,68
2012-10-08,73
2012-10-09,78
2012-10-10,83
2012-10-11,88
2012-10-12,93
2012-10-13,98
2012-10-14,96
2012-10-15,96
2012-10-16,95
