Date,BE Resources Inc
2008-07-12,63
2008-07-13,68
2008-07-14,73
2008-07-15,79
2008-07-16,84
2008-07-17,89
2008-07-18,95
2008-07-19,100
2008-07-20,97
2008-07-21,93
2008-07-22,90
2008-07-23,87
2008-07-24,83
2008-07-25,80
2008-07-26,77
2008-07-27,74
2008-07-28,71
2008-07-29,69
2008-07-30,66
2008-07-31,64
2008-08-01,61
2008-08-02,59
2008-08-03,61
2008-08-04,64
2008-08-05,66
2008-08-06,69
2008-08-07,71
2008-08-08,73
2008-08-09,76
2008-08-10,73
2008-08-11,70
2008-08-12,67
2008-08-13,65
2008-08-14,62
2008-08-15,60
2008-08-16,57
2008-08-17,55
2008-08-18,53
2008-08-19,51
2008-08-20,49
2008-08-21,47
2008-08-22,45
2008-08-23,43
2008-08-24,44
2008-08-25,45
2008-08-26,46
2008-08-27,48
2008-08-28,49
2008-08-29,50
2008-08-30,52
2008-08-31,49
2008-09-01,47
2008-09-02,45
2008-09-03,42
2008-09-04,40
2008-09-05,38
2008-09-06,36
2008-09-07,40
2008-09-08,45
2008-09-09,49
2008-09-10,54
2008-09-11,58
2008-09-12,63
2008-09-13,67
2008-09-14,64
2008-09-15,60
2008-09-16,56
2008-09-17,53
2008-09-18,49
2008-09-19,46
2008-09-20,43
2008-09-21,47
2008-09-22,51
2008-09-23,55
2008-09-24,59
2008-09-25,63
2008-09-26,67
2008-09-27,71
2008-09-28,67
2008-10-05,49
2008-10-06,50
2008-10-07,51
2008-10-08,52
2008-10-09,53
2008-10-10,54
2008-10-11,55
2008-10-12,52
2008-10-13,49
2008-10-14,47
2008-10-15,44
2008-10-16,42
2008-10-17,39
2008-10-18,37
2008-10-19,37
2008-10-20,37
2008-10-21,38
2008-10-22,38
2008-10-23,39
2008-10-24,39
2008-10-25,40
2008-10-26,40
2008-10-27,40
2008-10-28,40
2008-10-29,41
2008-10-30,41
2008-10-31,41
2008-11-01,42
2008-11-02,42
2008-11-03,44
2008-11-04,44
2008-11-05,45
2008-11-06,46
2008-11-07,47
2008-11-08,48
2008-11-09,46
2008-11-10,43
2008-11-11,41
2008-11-12,39
2008-11-13,37
2008-11-14,35
2008-11-15,33
2008-11-16,33
2008-11-17,33
2008-11-18,34
2008-11-19,34
2008-11-20,35
2008-11-21,35
2008-11-22,36
2008-11-23,37
2008-11-24,38
2008-11-25,39
2008-11-26,41
2008-11-27,42
2008-11-28,43
2008-11-29,45
2008-11-30,46
2008-12-01,47
2008-12-02,49
2008-12-03,50
2008-12-04,52
2008-12-05,53
2008-12-06,55
2008-12-07,55
2008-12-08,58
2008-12-09,59
2008-12-10,60
2008-12-11,61
2008-12-12,63
2008-12-13,66
2008-12-14,56
2008-12-15,52
2008-12-16,49
2008-12-17,45
2008-12-18,42
2008-12-19,38
2008-12-20,35
2008-12-21,35
2008-12-22,35
2008-12-23,35
2008-12-24,35
2008-12-25,35
2008-12-26,35
2008-12-27,35
2008-12-28,35
2009-01-04,35
2009-01-05,35
2009-01-06,35
