Date,SPS Commerce
2010-06-22,46
2010-06-23,46
2010-06-24,46
2010-06-25,46
2010-06-26,46
2010-06-27,46
2010-06-28,47
2010-06-29,47
2010-06-30,47
2010-07-01,48
2010-07-02,48
2010-07-03,49
2010-07-04,49
2010-07-05,49
2010-07-06,50
2010-07-07,50
2010-07-08,51
2010-07-09,51
2010-07-10,52
2010-07-11,52
2010-07-12,53
2010-07-13,53
2010-07-14,54
2010-07-15,54
2010-07-16,55
2010-07-17,56
2010-07-18,54
2010-07-19,53
2010-07-20,52
2010-07-21,50
2010-07-22,49
2010-07-23,48
2010-07-24,47
2010-07-25,50
2010-07-26,53
2010-07-27,56
2010-07-28,59
2010-07-29,62
2010-07-30,65
2010-07-31,69
2010-08-01,69
2010-08-02,69
2010-08-03,69
2010-08-04,69
2010-08-05,69
2010-08-06,69
2010-08-07,69
2010-08-08,69
2010-08-09,69
2010-08-10,69
2010-08-11,69
2010-08-12,69
2010-08-13,69
2010-08-14,69
2010-08-15,69
2010-08-16,69
2010-08-17,69
2010-08-18,69
2010-08-19,69
2010-08-20,69
2010-08-21,69
2010-08-22,67
2010-08-23,65
2010-08-24,63
2010-08-25,62
2010-08-26,60
2010-08-27,58
2010-08-28,57
2010-08-29,56
2010-09-05,52
2010-09-06,52
2010-09-07,52
2010-09-08,52
2010-09-09,52
2010-09-10,52
2010-09-11,52
2010-09-12,51
2010-09-13,51
2010-09-14,51
2010-09-15,51
2010-09-16,51
2010-09-17,51
2010-09-18,51
2010-09-19,53
2010-09-20,55
2010-09-21,57
2010-09-22,59
2010-09-23,61
2010-09-24,63
2010-09-25,66
2010-09-26,65
2010-09-27,64
2010-09-28,63
2010-09-29,63
2010-09-30,62
2010-10-01,61
2010-10-02,61
2010-10-03,63
2010-10-04,65
2010-10-05,67
2010-10-06,70
2010-10-07,72
2010-10-08,74
2010-10-09,76
2010-10-10,74
2010-10-11,70
2010-10-12,67
2010-10-13,65
2010-10-14,62
2010-10-15,59
2010-10-16,57
2010-10-17,55
2010-10-18,53
2010-10-19,51
2010-10-20,50
2010-10-21,48
2010-10-22,46
2010-10-23,45
2010-10-24,46
2010-10-25,48
2010-10-26,49
2010-10-27,51
2010-10-28,53
2010-10-29,54
2010-10-30,56
2010-10-31,56
2010-11-01,56
2010-11-02,56
2010-11-03,56
2010-11-04,56
2010-11-05,56
2010-11-06,56
2010-11-07,59
2010-11-08,62
2010-11-09,65
2010-11-10,68
2010-11-11,71
2010-11-12,74
2010-11-13,77
2010-11-14,74
2010-11-15,71
2010-11-16,69
2010-11-17,66
2010-11-18,64
2010-11-19,61
2010-11-20,59
2010-11-21,56
2010-11-22,53
2010-11-23,51
2010-11-24,48
2010-11-25,45
2010-11-26,42
2010-11-27,40
2010-11-28,44
2010-12-05,64
2010-12-06,61
2010-12-07,57
2010-12-08,54
2010-12-09,50
2010-12-10,47
2010-12-11,44
2010-12-12,47
2010-12-13,50
2010-12-14,53
2010-12-15,56
2010-12-16,59
2010-12-17,62
2010-12-18,65
2010-12-19,62
2010-12-20,60
2010-12-21,58
2010-12-22,55
2010-12-23,53
2010-12-24,51
2010-12-25,49
2010-12-26,51
2010-12-27,53
2010-12-28,56
2010-12-29,58
2010-12-30,61
2010-12-31,63
2011-01-01,66
2011-01-02,68
2011-01-03,71
2011-01-04,74
2011-01-05,76
2011-01-06,79
2011-01-07,81
2011-01-08,84
2011-01-09,81
2011-01-10,78
2011-01-11,76
2011-01-12,73
2011-01-13,71
2011-01-14,68
2011-01-15,66
2011-01-16,62
2011-01-17,58
2011-01-18,55
2011-01-19,51
2011-01-20,48
2011-01-21,44
2011-01-22,41
2011-01-23,43
2011-01-24,46
2011-01-25,49
2011-01-26,52
2011-01-27,55
2011-01-28,58
2011-01-29,61
2011-01-30,61
2011-01-31,61
2011-02-01,61
2011-02-02,61
2011-02-03,61
2011-02-04,61
2011-02-05,61
2011-02-06,64
2011-02-07,68
2011-02-08,71
2011-02-09,75
2011-02-10,78
2011-02-11,82
2011-02-12,85
2011-02-13,79
2011-02-14,71
2011-02-15,65
2011-02-16,58
2011-02-17,52
2011-02-18,46
2011-02-19,40
2011-02-20,41
2011-02-21,42
2011-02-22,43
2011-02-23,45
2011-02-24,46
2011-02-25,47
2011-02-26,49
2011-02-27,50
2011-03-06,62
2011-03-07,65
2011-03-08,68
2011-03-09,72
2011-03-10,75
2011-03-11,78
2011-03-12,82
2011-03-13,80
2011-03-14,78
2011-03-15,76
2011-03-16,74
2011-03-17,72
2011-03-18,70
2011-03-19,69
2011-03-20,70
2011-03-21,73
2011-03-22,74
2011-03-23,76
2011-03-24,78
2011-03-25,80
2011-03-26,82
2011-03-27,79
2011-03-28,75
2011-03-29,72
2011-03-30,68
2011-03-31,65
2011-04-01,62
2011-04-02,59
2011-04-03,59
2011-04-04,59
2011-04-05,59
2011-04-06,59
2011-04-07,59
2011-04-08,59
2011-04-09,60
2011-04-10,57
2011-04-11,54
2011-04-12,51
2011-04-13,48
2011-04-14,45
2011-04-15,43
2011-04-16,40
2011-04-17,43
2011-04-18,45
2011-04-19,48
2011-04-20,51
2011-04-21,54
2011-04-22,57
2011-04-23,60
2011-04-24,65
2011-04-25,71
2011-04-26,77
2011-04-27,83
2011-04-28,88
2011-04-29,94
2011-04-30,100
2011-05-01,98
2011-05-02,96
2011-05-03,94
2011-05-04,92
2011-05-05,90
2011-05-06,88
2011-05-07,85
2011-05-08,82
2011-05-09,78
2011-05-10,75
2011-05-11,72
2011-05-12,69
2011-05-13,66
2011-05-14,63
2011-05-15,66
2011-05-16,70
2011-05-17,73
2011-05-18,76
2011-05-19,79
2011-05-20,83
2011-05-21,86
2011-05-22,80
2011-05-23,73
2011-05-24,67
2011-05-25,61
2011-05-26,55
2011-05-27,49
2011-05-28,43
2011-05-29,46
