Date,CDW Corp
2012-09-08,91
2012-09-09,78
2012-09-10,79
2012-09-11,81
2012-09-12,83
2012-09-13,84
2012-09-14,87
2012-09-15,100
2012-09-16,88
2012-09-17,88
2012-09-18,88
2012-09-19,91
2012-09-20,89
2012-09-21,91
2012-09-22,108
2012-09-23,92
2012-09-24,91
2012-09-25,92
2012-09-26,93
2012-09-27,93
2012-09-28,95
2012-09-29,110
2012-09-30,94
2012-10-01,94
2012-10-02,94
2012-10-03,94
2012-10-04,94
2012-10-05,94
2012-10-06,110
2012-10-07,94
2012-10-08,91
2012-10-09,90
2012-10-10,90
2012-10-11,88
2012-10-12,88
2012-10-13,98
2012-10-14,96
2012-10-15,86
2012-10-16,86
2012-10-17,88
2012-10-18,87
2012-10-19,91
2012-10-20,104
2012-10-21,88
2012-10-22,89
2012-10-23,94
2012-10-24,90
2012-10-25,90
2012-10-26,97
2012-10-27,108
2012-10-28,91
2012-10-29,90
2012-10-30,89
2012-10-31,89
2012-11-01,88
2012-11-02,87
2012-11-03,101
2012-11-04,95
2012-11-05,84
2012-11-06,84
2012-11-07,82
2012-11-08,81
2012-11-09,81
2012-11-10,89
2012-11-11,83
2012-11-12,80
2012-11-13,81
2012-11-14,83
2012-11-15,85
2012-11-16,83
2012-11-17,95
2012-11-18,81
2012-11-19,78
2012-11-20,75
2012-11-21,74
2012-11-22,77
2012-11-23,66
2012-11-24,63
2012-11-25,70
2012-11-26,70
2012-11-27,74
2012-11-28,77
2012-11-29,81
2012-11-30,89
2012-12-01,89
2012-12-02,92
2012-12-03,88
2012-12-04,87
2012-12-05,87
2012-12-06,90
2012-12-07,86
2012-12-08,98
2012-12-09,92
2012-12-10,86
2012-12-11,86
2012-12-12,88
2012-12-13,87
2012-12-14,89
2012-12-15,104
2012-12-16,85
2012-12-17,83
2012-12-18,81
2012-12-19,80
2012-12-20,76
2012-12-21,74
2012-12-22,82
2012-12-23,67
2012-12-24,64
2012-12-25,64
2012-12-26,56
2012-12-27,53
2012-12-28,48
2012-12-29,50
2012-12-30,47
2012-12-31,49
2013-01-01,58
2013-01-02,54
