Date,Ads Tactical
2011-02-01,44
2011-02-02,44
2011-02-03,44
2011-02-04,44
2011-02-05,44
2011-02-06,44
2011-02-07,44
2011-02-08,44
2011-02-09,44
2011-02-10,44
2011-02-11,44
2011-02-12,44
2011-02-13,44
2011-02-14,44
2011-02-15,44
2011-02-16,44
2011-02-17,44
2011-02-18,44
2011-02-19,44
2011-02-20,44
2011-02-21,44
2011-02-22,44
2011-02-23,44
2011-02-24,44
2011-02-25,44
2011-02-26,44
2011-02-27,44
2011-02-28,44
2011-03-01,45
2011-03-02,45
2011-03-03,45
2011-03-04,46
2011-03-05,46
2011-03-06,47
2011-03-07,47
2011-03-08,47
2011-03-09,48
2011-03-10,48
2011-03-11,49
2011-03-12,49
2011-03-13,50
2011-03-14,50
2011-03-15,50
2011-03-16,51
2011-03-17,51
2011-03-18,52
2011-03-19,52
2011-03-20,52
2011-03-21,53
2011-03-22,53
2011-03-23,54
2011-03-24,54
2011-03-25,55
2011-03-26,55
2011-03-27,55
2011-03-28,56
2011-03-29,56
2011-03-30,57
2011-03-31,57
2011-04-01,58
2011-04-02,57
2011-04-03,57
2011-04-04,56
2011-04-05,56
2011-04-06,56
2011-04-07,55
2011-04-08,55
2011-04-09,54
2011-04-10,54
2011-04-11,54
2011-04-12,53
2011-04-13,53
2011-04-14,52
2011-04-15,52
2011-04-16,52
2011-04-17,51
2011-04-18,51
2011-04-19,50
2011-04-20,50
2011-04-21,50
2011-04-22,49
2011-04-23,49
2011-04-24,48
2011-04-25,48
2011-04-26,48
2011-04-27,47
2011-04-28,47
2011-04-29,46
2011-04-30,46
2011-05-01,46
2011-05-02,46
2011-05-03,46
2011-05-04,46
2011-05-05,46
2011-05-06,47
2011-05-07,47
2011-05-08,47
2011-05-09,47
2011-05-10,48
2011-05-11,48
2011-05-12,48
2011-05-13,48
2011-05-14,48
2011-05-15,49
2011-05-16,49
2011-05-17,49
2011-05-18,49
2011-05-19,50
2011-05-20,50
2011-05-21,50
2011-05-22,50
2011-05-23,50
2011-05-24,51
2011-05-25,51
2011-05-26,51
2011-05-27,51
2011-05-28,52
2011-05-29,52
2011-05-30,64
2011-05-31,52
2011-06-01,53
2011-06-02,54
2011-06-03,56
2011-06-04,57
2011-06-05,59
2011-06-06,60
2011-06-07,62
2011-06-08,63
2011-06-09,65
2011-06-10,67
2011-06-11,68
2011-06-12,70
2011-06-13,71
2011-06-14,73
2011-06-15,74
2011-06-16,76
2011-06-17,78
2011-06-18,79
2011-06-19,81
2011-06-20,82
2011-06-21,84
2011-06-22,85
2011-06-23,87
2011-06-24,89
2011-06-25,90
2011-06-26,92
2011-06-27,93
2011-06-28,95
2011-06-29,96
2011-06-30,98
2011-07-01,100
2011-07-02,97
2011-07-03,95
2011-07-04,93
2011-07-05,91
2011-07-06,89
2011-07-07,87
2011-07-08,85
2011-07-09,83
2011-07-10,81
2011-07-11,79
2011-07-12,76
2011-07-13,74
2011-07-14,72
2011-07-15,70
2011-07-16,68
2011-07-17,66
2011-07-18,64
2011-07-19,62
2011-07-20,60
2011-07-21,58
