Date,RealD
2010-10-12,14
2010-10-13,13
2010-10-14,13
2010-10-15,13
2010-10-16,13
2010-10-17,13
2010-10-18,13
2010-10-19,14
2010-10-20,14
2010-10-21,15
2010-10-22,15
2010-10-23,16
2010-10-24,16
2010-10-25,16
2010-10-26,16
2010-10-27,16
2010-10-28,16
2010-10-29,16
2010-10-30,17
2010-10-31,16
2010-11-01,15
2010-11-02,15
2010-11-03,14
2010-11-04,14
2010-11-05,13
2010-11-06,13
2010-11-07,13
2010-11-08,13
2010-11-09,13
2010-11-10,13
2010-11-11,13
2010-11-12,13
2010-11-13,14
2010-11-14,14
2010-11-15,14
2010-11-16,14
2010-11-17,15
2010-11-18,15
2010-11-19,15
2010-11-20,16
2010-11-21,15
2010-11-22,15
2010-11-23,14
2010-11-24,14
2010-11-25,13
2010-11-26,13
2010-11-27,13
2010-11-28,13
2010-11-29,14
2010-11-30,14
2010-12-01,14
2010-12-02,15
2010-12-03,15
2010-12-04,16
2010-12-05,15
2010-12-06,14
2010-12-07,14
2010-12-08,13
2010-12-09,13
2010-12-10,12
2010-12-11,12
2010-12-12,12
2010-12-13,13
2010-12-14,14
2010-12-15,14
2010-12-16,15
2010-12-17,16
2010-12-18,17
2010-12-19,17
2010-12-20,17
2010-12-21,17
2010-12-22,17
2010-12-23,17
2010-12-24,17
2010-12-25,18
2010-12-26,17
2011-01-02,17
2011-01-03,17
2011-01-04,17
2011-01-05,17
2011-01-06,17
2011-01-07,17
2011-01-08,17
2011-01-09,16
2011-01-10,16
2011-01-11,16
2011-01-12,16
2011-01-13,16
2011-01-14,16
2011-01-15,16
2011-01-16,16
2011-01-17,16
2011-01-18,16
2011-01-19,16
2011-01-20,16
2011-01-21,16
2011-01-22,16
2011-01-23,15
2011-01-24,15
2011-01-25,15
2011-01-26,14
2011-01-27,14
2011-01-28,14
2011-01-29,14
2011-01-30,14
2011-01-31,15
2011-02-01,16
2011-02-02,16
2011-02-03,17
2011-02-04,18
2011-02-05,19
2011-02-06,18
2011-02-07,17
2011-02-08,16
2011-02-09,15
2011-02-10,14
2011-02-11,13
2011-02-12,12
2011-02-13,11
2011-02-14,11
2011-02-15,11
2011-02-16,10
2011-02-17,10
2011-02-18,10
2011-02-19,10
2011-02-20,10
2011-02-21,10
2011-02-22,10
2011-02-23,11
2011-02-24,11
2011-02-25,11
2011-02-26,12
2011-02-27,11
2011-02-28,11
2011-03-01,11
2011-03-02,10
2011-03-03,10
2011-03-04,10
2011-03-05,10
2011-03-06,9
2011-03-07,9
2011-03-08,8
2011-03-09,8
2011-03-10,7
2011-03-11,7
2011-03-12,7
2011-03-13,7
2011-03-14,7
2011-03-15,7
2011-03-16,7
2011-03-17,7
2011-03-18,7
2011-03-19,7
2011-03-20,7
2011-03-21,7
2011-03-22,7
2011-03-23,7
2011-03-24,7
2011-03-25,7
2011-03-26,8
2011-03-27,7
2011-04-03,7
2011-04-04,7
2011-04-05,7
2011-04-06,7
2011-04-07,7
2011-04-08,7
2011-04-09,7
2011-04-10,7
2011-04-11,7
2011-04-12,7
2011-04-13,7
2011-04-14,7
2011-04-15,7
2011-04-16,8
2011-04-17,8
2011-04-18,8
2011-04-19,8
2011-04-20,8
2011-04-21,8
2011-04-22,8
2011-04-23,9
2011-04-24,9
2011-04-25,9
