Date,Newgistics
2012-02-15,40
2012-02-16,42
2012-02-17,44
2012-02-18,46
2012-02-19,45
2012-02-20,43
2012-02-21,41
2012-02-22,40
2012-02-23,38
2012-02-24,37
2012-02-25,36
2012-02-26,34
2012-03-04,27
2012-03-05,31
2012-03-06,36
2012-03-07,40
2012-03-08,45
2012-03-09,49
2012-03-10,54
2012-03-11,50
2012-03-12,47
2012-03-13,44
2012-03-14,41
2012-03-15,38
2012-03-16,35
2012-03-17,32
2012-03-18,31
2012-03-19,31
2012-03-20,31
2012-03-21,31
2012-03-22,31
2012-03-23,31
2012-03-24,31
2012-03-25,33
2012-03-26,36
2012-03-27,39
2012-03-28,41
2012-03-29,44
2012-03-30,47
2012-03-31,50
2012-04-01,49
2012-04-02,49
2012-04-03,48
2012-04-04,48
2012-04-05,47
2012-04-06,47
2012-04-07,47
2012-04-08,46
2012-04-09,46
2012-04-10,45
2012-04-11,45
2012-04-12,44
2012-04-13,44
2012-04-14,43
2012-04-15,42
2012-04-16,39
2012-04-17,38
2012-04-18,36
2012-04-19,35
2012-04-20,33
2012-04-21,32
2012-04-22,35
2012-04-23,38
2012-04-24,41
2012-04-25,44
2012-04-26,47
2012-04-27,50
2012-04-28,54
2012-04-29,52
2012-04-30,52
2012-05-01,51
2012-05-02,50
2012-05-03,49
2012-05-04,47
2012-05-05,46
2012-05-06,46
2012-05-07,45
2012-05-08,44
2012-05-09,44
2012-05-10,43
2012-05-11,43
2012-05-12,43
2012-05-13,45
2012-05-14,47
2012-05-15,49
2012-05-16,51
2012-05-17,53
2012-05-18,55
2012-05-19,58
2012-05-20,57
2012-05-21,56
2012-05-22,55
2012-05-23,54
2012-05-24,53
2012-05-25,52
2012-05-26,51
2012-05-27,49
2012-06-03,40
2012-06-04,43
2012-06-05,46
2012-06-06,50
2012-06-07,53
2012-06-08,56
2012-06-09,59
2012-06-10,57
2012-06-11,55
2012-06-12,53
2012-06-13,51
2012-06-14,49
2012-06-15,47
2012-06-16,46
2012-06-17,45
2012-06-18,45
2012-06-19,45
2012-06-20,44
2012-06-21,44
2012-06-22,43
2012-06-23,43
2012-06-24,42
2012-06-25,40
2012-06-26,39
2012-06-27,37
2012-06-28,36
2012-06-29,35
2012-06-30,34
2012-07-01,35
2012-07-02,36
2012-07-03,37
2012-07-04,38
2012-07-05,40
2012-07-06,41
2012-07-07,42
2012-07-08,40
2012-07-09,37
2012-07-10,35
2012-07-11,32
2012-07-12,30
2012-07-13,28
2012-07-14,26
2012-07-15,29
2012-07-16,32
2012-07-17,35
2012-07-18,38
2012-07-19,41
2012-07-20,44
2012-07-21,48
2012-07-22,47
2012-07-23,45
2012-07-24,44
2012-07-25,43
2012-07-26,42
2012-07-27,41
2012-07-28,40
2012-07-29,39
2012-07-30,38
2012-07-31,37
2012-08-01,36
2012-08-02,35
2012-08-03,34
2012-08-04,34
2012-08-05,36
2012-08-06,38
2012-08-07,40
2012-08-08,43
2012-08-09,45
2012-08-10,47
2012-08-11,50
2012-08-12,49
2012-08-13,49
2012-08-14,49
2012-08-15,49
2012-08-16,49
2012-08-17,48
2012-08-18,48
2012-08-19,47
2012-08-20,45
2012-08-21,43
2012-08-22,42
2012-08-23,40
2012-08-24,39
2012-08-25,38
2012-08-26,38
2012-09-02,39
2012-09-03,38
2012-09-04,37
2012-09-05,36
2012-09-06,35
2012-09-07,34
2012-09-08,33
2012-09-09,34
2012-09-10,35
2012-09-11,37
2012-09-12,38
2012-09-13,40
2012-09-14,41
2012-09-15,43
2012-09-16,44
2012-09-17,45
2012-09-18,46
2012-09-19,47
2012-09-20,48
2012-09-21,49
2012-09-22,50
2012-09-23,51
2012-09-24,52
2012-09-25,53
2012-09-26,54
2012-09-27,55
2012-09-28,57
2012-09-29,58
2012-09-30,56
2012-10-01,54
2012-10-02,52
2012-10-03,50
2012-10-04,48
2012-10-05,46
2012-10-06,44
2012-10-07,42
2012-10-08,39
2012-10-09,37
2012-10-10,35
2012-10-11,33
2012-10-12,31
2012-10-13,29
2012-10-14,32
2012-10-15,35
2012-10-16,38
2012-10-17,42
2012-10-18,45
2012-10-19,48
2012-10-20,51
2012-10-21,48
2012-10-22,44
2012-10-23,41
2012-10-24,38
2012-10-25,35
2012-10-26,32
2012-10-27,29
2012-10-28,30
2012-10-29,31
2012-10-30,32
2012-10-31,33
2012-11-01,34
2012-11-02,35
2012-11-03,37
2012-11-04,36
2012-11-05,36
2012-11-06,36
2012-11-07,35
2012-11-08,35
2012-11-09,34
2012-11-10,34
2012-11-11,33
2012-11-12,31
2012-11-13,30
2012-11-14,28
2012-11-15,27
2012-11-16,26
2012-11-17,25
2012-11-18,24
2012-11-19,24
2012-11-20,24
2012-11-21,24
2012-11-22,24
2012-11-23,24
2012-11-24,24
2012-11-25,28
2012-12-02,54
2012-12-03,55
2012-12-04,56
2012-12-05,57
2012-12-06,58
2012-12-07,59
2012-12-08,60
2012-12-09,60
2012-12-10,60
2012-12-11,60
2012-12-12,61
2012-12-13,61
2012-12-14,61
2012-12-15,62
2012-12-16,63
2012-12-17,65
2012-12-18,67
2012-12-19,68
2012-12-20,70
2012-12-21,71
2012-12-22,73
2012-12-23,67
2012-12-24,58
2012-12-25,52
2012-12-26,46
2012-12-27,40
2012-12-28,34
2012-12-29,28
2012-12-30,29
2012-12-31,31
2013-01-01,32
2013-01-02,34
2013-01-03,35
2013-01-04,37
2013-01-05,39
2013-01-06,41
2013-01-07,43
2013-01-08,45
2013-01-09,47
2013-01-10,49
2013-01-11,51
2013-01-12,54
2013-01-13,54
2013-01-14,54
2013-01-15,54
2013-01-16,55
2013-01-17,55
2013-01-18,55
2013-01-19,55
2013-01-20,52
2013-01-21,49
2013-01-22,46
2013-01-23,44
2013-01-24,41
2013-01-25,38
2013-01-26,36
2013-01-27,37
2013-01-28,39
2013-01-29,40
2013-01-30,42
2013-01-31,43
2013-02-01,44
2013-02-02,46
2013-02-03,47
2013-02-04,47
2013-02-05,48
2013-02-06,48
2013-02-07,49
2013-02-08,50
2013-02-09,51
2013-02-10,48
2013-02-11,46
2013-02-12,44
2013-02-13,42
2013-02-14,40
2013-02-15,38
2013-02-16,36
2013-02-17,37
2013-02-18,39
2013-02-19,41
2013-02-20,43
2013-02-21,45
2013-02-22,47
2013-02-23,49
2013-02-24,49
2013-03-03,47
2013-03-04,47
2013-03-05,47
2013-03-06,47
2013-03-07,47
2013-03-08,47
2013-03-09,47
2013-03-10,45
2013-03-11,42
2013-03-12,40
2013-03-13,38
2013-03-14,36
2013-03-15,34
2013-03-16,32
2013-03-17,33
2013-03-18,34
2013-03-19,35
2013-03-20,36
2013-03-21,37
2013-03-22,38
2013-03-23,40
2013-03-24,40
2013-03-25,41
2013-03-26,41
2013-03-27,41
2013-03-28,42
2013-03-29,42
2013-03-30,42
2013-03-31,41
2013-04-01,39
2013-04-02,37
2013-04-03,36
2013-04-04,34
2013-04-05,33
2013-04-06,32
2013-04-07,32
2013-04-08,33
2013-04-09,34
2013-04-10,34
2013-04-11,35
2013-04-12,36
2013-04-13,37
2013-04-14,36
2013-04-15,36
2013-04-16,36
2013-04-17,36
2013-04-18,36
2013-04-19,36
2013-04-20,36
2013-04-21,37
2013-04-22,38
2013-04-23,39
2013-04-24,41
2013-04-25,42
2013-04-26,43
2013-04-27,45
2013-04-28,45
2013-04-29,45
2013-04-30,45
2013-05-01,45
2013-05-02,46
2013-05-03,46
2013-05-04,46
2013-05-05,45
2013-05-06,44
2013-05-07,43
2013-05-08,42
2013-05-09,41
2013-05-10,40
2013-05-11,39
2013-05-12,39
2013-05-13,40
2013-05-14,41
2013-05-15,41
2013-05-16,42
2013-05-17,43
2013-05-18,44
2013-05-19,45
2013-05-20,46
2013-05-21,47
2013-05-22,48
2013-05-23,49
2013-05-24,50
2013-05-25,51
2013-05-26,48
