Date,Body Central
2010-01-01,43
2010-01-02,45
2010-01-03,45
2010-01-04,43
2010-01-05,43
2010-01-06,42
2010-01-07,43
2010-01-08,41
2010-01-09,42
2010-01-10,41
2010-01-11,41
2010-01-12,42
2010-01-13,42
2010-01-14,41
2010-01-15,42
2010-01-16,42
2010-01-17,41
2010-01-18,39
2010-01-19,39
2010-01-20,37
2010-01-21,36
2010-01-22,35
2010-01-23,35
2010-01-24,34
2010-01-25,35
2010-01-26,36
2010-01-27,36
2010-01-28,37
2010-01-29,39
2010-01-30,39
2010-01-31,38
2010-02-01,41
2010-02-02,38
2010-02-03,39
2010-02-04,37
2010-02-05,37
2010-02-06,37
2010-02-07,38
2010-02-08,41
2010-02-09,41
2010-02-10,42
2010-02-11,44
2010-02-12,49
2010-02-13,48
2010-02-14,46
2010-02-15,45
2010-02-16,47
2010-02-17,45
2010-02-18,44
2010-02-19,43
2010-02-20,43
2010-02-21,43
2010-02-22,43
2010-02-23,44
2010-02-24,43
2010-02-25,44
2010-02-26,43
2010-02-27,44
2010-02-28,45
2010-03-01,46
2010-03-02,47
2010-03-03,49
2010-03-04,49
2010-03-05,50
2010-03-06,52
2010-03-07,52
2010-03-08,54
2010-03-09,51
2010-03-10,51
2010-03-11,51
2010-03-12,51
2010-03-13,51
2010-03-14,50
2010-03-15,52
2010-03-16,49
2010-03-17,49
2010-03-18,48
2010-03-19,48
2010-03-20,48
2010-03-21,50
2010-03-22,50
2010-03-23,51
2010-03-24,52
2010-03-25,57
2010-03-26,54
2010-03-27,56
2010-03-28,55
2010-03-29,57
2010-03-30,55
2010-03-31,54
2010-04-01,53
2010-04-02,53
2010-04-03,53
2010-04-04,55
2010-04-05,50
2010-04-06,48
2010-04-07,49
2010-04-08,45
2010-04-09,44
2010-04-10,43
2010-04-11,44
2010-04-12,45
2010-04-13,46
2010-04-14,48
2010-04-15,48
2010-04-16,51
2010-04-17,51
2010-04-18,51
2010-04-19,53
2010-04-20,52
2010-04-21,51
2010-04-22,51
2010-04-23,51
2010-04-24,56
2010-04-25,51
2010-04-26,52
2010-04-27,51
2010-04-28,51
2010-04-29,51
2010-04-30,51
2010-05-01,51
2010-05-02,50
2010-05-03,52
2010-05-04,50
2010-05-05,48
2010-05-06,49
2010-05-07,47
2010-05-08,49
2010-05-09,47
2010-05-10,48
2010-05-11,48
2010-05-12,48
2010-05-13,49
2010-05-14,50
2010-05-15,50
2010-05-16,51
2010-05-17,54
2010-05-18,54
2010-05-19,56
2010-05-20,57
2010-05-21,61
2010-05-22,61
2010-05-23,60
2010-05-24,58
2010-05-25,59
2010-05-26,56
2010-05-27,55
2010-05-28,54
2010-05-29,56
2010-05-30,53
2010-05-31,52
2010-06-01,50
2010-06-02,50
2010-06-03,48
2010-06-04,48
2010-06-05,47
2010-06-06,49
2010-06-07,45
2010-06-08,45
2010-06-09,44
2010-06-10,43
2010-06-11,43
2010-06-12,42
2010-06-13,42
2010-06-14,42
2010-06-15,43
2010-06-16,42
2010-06-17,43
2010-06-18,43
2010-06-19,43
2010-06-20,45
2010-06-21,44
2010-06-22,44
2010-06-23,45
2010-06-24,45
2010-06-25,46
2010-06-26,48
2010-06-27,46
2010-06-28,49
2010-06-29,44
2010-06-30,43
2010-07-01,42
2010-07-02,43
2010-07-03,41
2010-07-04,40
2010-07-05,41
2010-07-06,38
2010-07-07,39
2010-07-08,38
2010-07-09,36
2010-07-10,36
2010-07-11,38
2010-07-12,41
2010-07-13,43
2010-07-14,48
2010-07-15,48
2010-07-16,51
2010-07-17,54
2010-07-18,56
2010-07-19,52
2010-07-20,49
2010-07-21,47
2010-07-22,47
2010-07-23,45
2010-07-24,43
2010-07-25,43
2010-07-26,43
2010-07-27,42
2010-07-28,42
2010-07-29,41
2010-07-30,41
2010-07-31,41
2010-08-01,41
2010-08-02,41
2010-08-03,42
2010-08-04,41
2010-08-05,41
2010-08-06,43
2010-08-07,44
2010-08-08,43
2010-08-09,44
2010-08-10,45
2010-08-11,46
2010-08-12,47
2010-08-13,49
2010-08-14,50
2010-08-15,49
2010-08-16,50
2010-08-17,48
2010-08-18,48
2010-08-19,48
2010-08-20,46
2010-08-21,47
2010-08-22,45
2010-08-23,45
2010-08-24,45
2010-08-25,43
2010-08-26,42
2010-08-27,42
2010-08-28,41
2010-08-29,40
2010-08-30,41
2010-08-31,41
2010-09-01,40
2010-09-02,42
2010-09-03,40
2010-09-04,40
