Date,Computer Solutions Inc
2009-07-11,0
2009-07-12,0
2009-07-13,0
2009-07-14,0
2009-07-15,0
2009-07-16,0
2009-07-17,0
2009-07-18,0
2009-07-19,0
2009-07-20,0
2009-07-21,0
2009-07-22,0
2009-07-23,0
2009-07-24,0
2009-07-25,0
2009-07-26,0
2009-07-27,0
2009-07-28,0
2009-07-29,0
2009-07-30,0
2009-07-31,0
2009-08-01,0
2009-08-02,8
2009-08-03,16
2009-08-04,24
2009-08-05,32
2009-08-06,40
2009-08-07,48
2009-08-08,57
2009-08-09,57
2009-08-10,57
2009-08-11,58
2009-08-12,58
2009-08-13,59
2009-08-14,59
2009-08-15,60
2009-08-16,58
2009-08-17,63
2009-08-18,54
2009-08-19,52
2009-08-20,50
2009-08-21,48
2009-08-22,46
2009-08-23,47
2009-08-24,49
2009-08-25,51
2009-08-26,53
2009-08-27,55
2009-08-28,56
2009-08-29,58
2009-08-30,59
2009-08-31,58
2009-09-01,59
2009-09-02,59
2009-09-03,60
2009-09-04,60
2009-09-05,61
2009-09-06,60
2009-09-07,60
2009-09-08,60
2009-09-09,60
2009-09-10,60
2009-09-11,60
2009-09-12,60
2009-09-13,58
2009-09-14,56
2009-09-15,54
2009-09-16,52
2009-09-17,50
2009-09-18,48
2009-09-19,46
2009-09-20,48
2009-09-21,51
2009-09-22,53
2009-09-23,55
2009-09-24,58
2009-09-25,61
2009-09-26,65
2009-09-27,60
2009-10-04,72
2009-10-05,74
2009-10-06,76
2009-10-07,78
2009-10-08,79
2009-10-09,81
2009-10-10,83
2009-10-11,81
2009-10-12,80
2009-10-13,79
2009-10-14,77
2009-10-15,76
2009-10-16,75
2009-10-17,74
2009-10-18,75
2009-10-19,76
2009-10-20,78
2009-10-21,79
2009-10-22,81
2009-10-23,82
2009-10-24,84
2009-10-25,80
2009-10-26,77
2009-10-27,73
2009-10-28,70
2009-10-29,66
2009-10-30,63
2009-10-31,60
2009-11-01,65
2009-11-02,71
2009-11-03,77
2009-11-04,83
2009-11-05,89
2009-11-06,95
2009-11-07,100
2009-11-08,97
2009-11-09,93
2009-11-10,90
2009-11-11,87
2009-11-12,84
2009-11-13,81
2009-11-14,78
2009-11-15,74
2009-11-16,71
2009-11-17,68
2009-11-18,64
2009-11-19,61
2009-11-20,58
2009-11-21,55
2009-11-22,58
2009-11-23,61
2009-11-24,64
2009-11-25,67
2009-11-26,70
2009-11-27,74
2009-11-28,77
2009-11-29,74
2009-11-30,71
2009-12-01,69
2009-12-02,66
2009-12-03,64
2009-12-04,61
2009-12-05,59
2009-12-06,59
2009-12-07,59
2009-12-08,59
2009-12-09,59
2009-12-10,59
2009-12-11,59
2009-12-12,59
2009-12-13,59
2009-12-14,59
2009-12-15,59
2009-12-16,59
2009-12-17,59
2009-12-18,60
2009-12-19,61
2009-12-20,56
2009-12-21,56
2009-12-22,56
2009-12-23,56
2009-12-24,56
2009-12-25,56
2009-12-26,56
2009-12-27,56
2010-01-03,56
2010-01-04,56
2010-01-05,56
2010-01-06,56
2010-01-07,56
2010-01-08,56
2010-01-09,56
2010-01-10,56
2010-01-11,56
2010-01-12,56
2010-01-13,56
2010-01-14,56
2010-01-15,56
2010-01-16,56
2010-01-17,54
2010-01-18,52
2010-01-19,50
2010-01-20,49
2010-01-21,47
2010-01-22,45
2010-01-23,44
2010-01-24,44
2010-01-25,45
2010-01-26,46
2010-01-27,47
2010-01-28,48
2010-01-29,49
2010-01-30,50
2010-01-31,50
2010-02-01,51
2010-02-02,51
2010-02-03,52
2010-02-04,53
2010-02-05,53
2010-02-06,54
2010-02-07,52
2010-02-08,50
2010-02-09,48
2010-02-10,46
2010-02-11,44
2010-02-12,42
2010-02-13,40
2010-02-14,42
2010-02-15,44
2010-02-16,46
2010-02-17,48
2010-02-18,50
2010-02-19,52
2010-02-20,54
2010-02-21,55
2010-02-22,58
2010-02-23,59
2010-02-24,61
2010-02-25,63
2010-02-26,65
2010-02-27,67
2010-02-28,67
2010-03-01,67
2010-03-02,67
2010-03-03,67
2010-03-04,67
2010-03-05,67
2010-03-06,67
2010-03-07,67
2010-03-08,67
2010-03-09,67
2010-03-10,67
2010-03-11,67
2010-03-12,67
2010-03-13,67
2010-03-14,63
2010-03-15,59
2010-03-16,55
2010-03-17,51
2010-03-18,47
2010-03-19,43
2010-03-20,39
2010-03-21,42
2010-03-22,45
2010-03-23,48
2010-03-24,51
2010-03-25,54
2010-03-26,57
2010-03-27,61
2010-03-28,62
2010-04-04,66
2010-04-05,77
2010-04-06,62
2010-04-07,60
2010-04-08,58
