Date,Avago
2008-02-09,51
2008-02-10,52
2008-02-11,53
2008-02-12,55
2008-02-13,57
2008-02-14,58
2008-02-15,65
2008-02-16,61
2008-02-17,62
2008-02-18,63
2008-02-19,68
2008-02-20,66
2008-02-21,73
2008-02-22,68
2008-02-23,70
2008-02-24,70
2008-02-25,70
2008-02-26,72
2008-02-27,71
2008-02-28,72
2008-02-29,77
2008-03-01,77
2008-03-02,71
2008-03-03,70
2008-03-04,70
2008-03-05,68
2008-03-06,67
2008-03-07,66
2008-03-08,72
2008-03-09,63
2008-03-10,62
2008-03-11,61
2008-03-12,60
2008-03-13,63
2008-03-14,58
2008-03-15,57
2008-03-16,57
2008-03-17,57
2008-03-18,57
2008-03-19,57
2008-03-20,59
2008-03-21,57
2008-03-22,57
2008-03-23,57
2008-03-24,58
2008-03-25,61
2008-03-26,61
2008-03-27,59
2008-03-28,62
2008-03-29,61
2008-03-30,61
2008-03-31,61
2008-04-01,67
2008-04-02,64
2008-04-03,63
2008-04-04,63
2008-04-05,64
2008-04-06,63
2008-04-07,62
2008-04-08,68
2008-04-09,61
2008-04-10,61
2008-04-11,63
2008-04-12,60
2008-04-13,59
2008-04-14,59
2008-04-15,59
2008-04-16,59
2008-04-17,66
2008-04-18,59
2008-04-19,59
2008-04-20,61
2008-04-21,63
2008-04-22,68
2008-04-23,67
2008-04-24,69
2008-04-25,71
2008-04-26,78
2008-04-27,71
2008-04-28,70
2008-04-29,68
2008-04-30,67
2008-05-01,65
2008-05-02,64
2008-05-03,64
2008-05-04,61
2008-05-05,60
2008-05-06,59
2008-05-07,57
2008-05-08,56
2008-05-09,55
2008-05-10,54
2008-05-11,55
2008-05-12,57
2008-05-13,64
2008-05-14,60
2008-05-15,65
2008-05-16,64
2008-05-17,68
2008-05-18,65
2008-05-19,64
2008-05-20,63
2008-05-21,70
2008-05-22,62
2008-05-23,64
2008-05-24,61
2008-05-25,62
2008-05-26,63
2008-05-27,65
2008-05-28,66
2008-05-29,68
2008-05-30,77
2008-05-31,71
2008-06-01,69
2008-06-02,67
2008-06-03,66
