Date,Gogo Inflight Internet
2011-06-01,97
2011-06-02,97
2011-06-03,97
2011-06-04,97
2011-06-05,97
2011-06-06,97
2011-06-07,97
2011-06-08,97
2011-06-09,97
2011-06-10,97
2011-06-11,98
2011-06-12,98
2011-06-13,98
2011-06-14,98
2011-06-15,98
2011-06-16,98
2011-06-17,98
2011-06-18,98
2011-06-19,98
2011-06-20,98
2011-06-21,99
2011-06-22,99
2011-06-23,99
2011-06-24,99
2011-06-25,99
2011-06-26,99
2011-06-27,99
2011-06-28,99
2011-06-29,99
2011-06-30,99
2011-07-01,100
2011-07-02,99
2011-07-03,98
2011-07-04,97
2011-07-05,96
2011-07-06,95
2011-07-07,94
2011-07-08,93
2011-07-09,92
2011-07-10,91
2011-07-11,90
2011-07-12,89
2011-07-13,88
2011-07-14,87
2011-07-15,86
2011-07-16,85
2011-07-17,84
2011-07-18,83
2011-07-19,82
2011-07-20,81
2011-07-21,80
2011-07-22,79
2011-07-23,78
2011-07-24,77
2011-07-25,76
2011-07-26,75
2011-07-27,74
2011-07-28,73
2011-07-29,72
2011-07-30,71
2011-07-31,70
2011-08-01,69
2011-08-02,68
2011-08-03,68
2011-08-04,68
2011-08-05,68
2011-08-06,68
2011-08-07,68
2011-08-08,67
2011-08-09,67
2011-08-10,67
2011-08-11,67
2011-08-12,67
2011-08-13,67
2011-08-14,66
2011-08-15,66
2011-08-16,66
2011-08-17,66
2011-08-18,66
2011-08-19,66
2011-08-20,65
2011-08-21,65
2011-08-22,65
2011-08-23,65
2011-08-24,65
2011-08-25,65
2011-08-26,64
2011-08-27,64
2011-08-28,64
2011-08-29,64
2011-08-30,64
2011-08-31,64
2011-09-01,64
2011-09-02,64
2011-09-03,64
2011-09-04,64
2011-09-05,65
2011-09-06,65
2011-09-07,65
2011-09-08,65
2011-09-09,66
2011-09-10,66
2011-09-11,66
2011-09-12,66
2011-09-13,67
2011-09-14,67
2011-09-15,67
2011-09-16,68
2011-09-17,68
2011-09-18,68
2011-09-19,68
2011-09-20,69
2011-09-21,69
2011-09-22,69
2011-09-23,69
2011-09-24,70
2011-09-25,70
2011-09-26,70
2011-09-27,70
2011-09-28,71
2011-09-29,71
2011-09-30,71
2011-10-01,72
2011-10-02,71
2011-10-03,71
2011-10-04,71
2011-10-05,71
2011-10-06,71
2011-10-07,71
2011-10-08,71
2011-10-09,70
2011-10-10,70
2011-10-11,70
2011-10-12,70
2011-10-13,70
2011-10-14,70
2011-10-15,70
2011-10-16,70
2011-10-17,69
2011-10-18,69
2011-10-19,69
2011-10-20,69
2011-10-21,69
2011-10-22,69
2011-10-23,69
2011-10-24,69
2011-10-25,68
2011-10-26,68
2011-10-27,68
2011-10-28,68
2011-10-29,68
2011-10-30,68
2011-10-31,68
2011-11-01,68
2011-11-02,68
2011-11-03,68
2011-11-04,68
2011-11-05,68
2011-11-06,69
2011-11-07,69
2011-11-08,69
2011-11-09,69
2011-11-10,70
2011-11-11,70
2011-11-12,70
2011-11-13,70
2011-11-14,71
2011-11-15,71
2011-11-16,71
2011-11-17,71
2011-11-18,71
2011-11-19,72
2011-11-20,72
2011-11-21,72
2011-11-22,72
2011-11-23,73
2011-11-24,73
2011-11-25,73
2011-11-26,73
2011-11-27,74
2011-11-28,74
2011-11-29,74
2011-11-30,74
2011-12-01,75
2011-12-02,74
2011-12-03,74
2011-12-04,74
2011-12-05,73
2011-12-06,73
2011-12-07,73
2011-12-08,72
2011-12-09,72
2011-12-10,72
2011-12-11,72
2011-12-12,71
2011-12-13,71
2011-12-14,71
2011-12-15,70
2011-12-16,70
2011-12-17,70
2011-12-18,70
2011-12-19,69
2011-12-20,69
2011-12-21,69
2011-12-22,68
2011-12-23,68
2011-12-24,68
2011-12-25,68
2011-12-26,67
2011-12-27,67
2011-12-28,67
2011-12-29,66
2011-12-30,66
2011-12-31,66
2012-01-01,66
2012-01-02,65
2012-01-03,65
2012-01-04,64
2012-01-05,64
2012-01-06,64
2012-01-07,63
2012-01-08,63
2012-01-09,62
2012-01-10,62
2012-01-11,62
2012-01-12,61
2012-01-13,61
2012-01-14,60
2012-01-15,60
2012-01-16,60
2012-01-17,59
2012-01-18,59
2012-01-19,59
2012-01-20,58
2012-01-21,58
2012-01-22,57
2012-01-23,57
2012-01-24,57
2012-01-25,56
2012-01-26,56
2012-01-27,55
2012-01-28,55
2012-01-29,55
2012-01-30,54
2012-01-31,54
2012-02-01,54
2012-02-02,54
2012-02-03,55
2012-02-04,55
2012-02-05,56
2012-02-06,56
2012-02-07,57
2012-02-08,57
2012-02-09,58
2012-02-10,58
2012-02-11,59
2012-02-12,59
2012-02-13,60
2012-02-14,60
2012-02-15,61
2012-02-16,61
2012-02-17,62
2012-02-18,62
2012-02-19,63
2012-02-20,63
2012-02-21,64
2012-02-22,64
2012-02-23,65
2012-02-24,65
2012-02-25,66
2012-02-26,66
2012-02-27,67
2012-02-28,67
2012-02-29,68
2012-03-01,69
2012-03-02,68
2012-03-03,68
2012-03-04,68
2012-03-05,68
2012-03-06,68
2012-03-07,67
2012-03-08,67
2012-03-09,67
2012-03-10,67
2012-03-11,67
2012-03-12,66
2012-03-13,66
2012-03-14,66
2012-03-15,66
2012-03-16,66
2012-03-17,65
2012-03-18,65
2012-03-19,65
2012-03-20,65
2012-03-21,65
2012-03-22,64
2012-03-23,64
2012-03-24,64
2012-03-25,64
2012-03-26,64
2012-03-27,63
2012-03-28,63
2012-03-29,63
2012-03-30,63
2012-03-31,63
2012-04-01,63
2012-04-02,62
2012-04-03,61
2012-04-04,61
2012-04-05,60
2012-04-06,59
2012-04-07,59
2012-04-08,58
2012-04-09,57
2012-04-10,57
2012-04-11,56
2012-04-12,55
2012-04-13,55
2012-04-14,54
2012-04-15,53
2012-04-16,53
2012-04-17,52
2012-04-18,51
2012-04-19,51
2012-04-20,50
2012-04-21,49
2012-04-22,49
2012-04-23,48
2012-04-24,47
2012-04-25,47
2012-04-26,46
2012-04-27,45
2012-04-28,45
2012-04-29,44
2012-04-30,43
2012-05-01,43
2012-05-02,44
2012-05-03,45
2012-05-04,46
2012-05-05,47
2012-05-06,48
2012-05-07,49
2012-05-08,50
2012-05-09,51
2012-05-10,52
2012-05-11,53
2012-05-12,54
2012-05-13,55
2012-05-14,56
2012-05-15,57
2012-05-16,58
2012-05-17,60
2012-05-18,61
2012-05-19,62
2012-05-20,63
2012-05-21,64
2012-05-22,65
2012-05-23,66
2012-05-24,67
2012-05-25,68
2012-05-26,69
2012-05-27,70
2012-05-28,71
2012-05-29,72
2012-05-30,73
2012-05-31,74
2012-06-01,76
2012-06-02,75
2012-06-03,74
2012-06-04,74
2012-06-05,73
2012-06-06,73
2012-06-07,72
2012-06-08,72
2012-06-09,71
2012-06-10,71
2012-06-11,70
2012-06-12,70
2012-06-13,69
2012-06-14,69
2012-06-15,68
2012-06-16,68
2012-06-17,67
2012-06-18,66
2012-06-19,66
2012-06-20,65
2012-06-21,65
2012-06-22,64
2012-06-23,64
2012-06-24,63
2012-06-25,63
2012-06-26,62
2012-06-27,62
2012-06-28,61
2012-06-29,61
2012-06-30,60
2012-07-01,60
2012-07-02,59
2012-07-03,58
2012-07-04,58
2012-07-05,57
2012-07-06,57
2012-07-07,56
2012-07-08,56
2012-07-09,55
2012-07-10,55
2012-07-11,54
2012-07-12,54
2012-07-13,53
2012-07-14,53
2012-07-15,52
2012-07-16,52
2012-07-17,51
2012-07-18,51
2012-07-19,50
2012-07-20,50
2012-07-21,49
2012-07-22,49
2012-07-23,48
2012-07-24,48
2012-07-25,47
2012-07-26,47
2012-07-27,46
2012-07-28,46
2012-07-29,45
2012-07-30,45
2012-07-31,44
2012-08-01,44
2012-08-02,44
2012-08-03,44
2012-08-04,44
2012-08-05,45
2012-08-06,45
2012-08-07,45
2012-08-08,46
2012-08-09,46
2012-08-10,46
2012-08-11,46
2012-08-12,47
2012-08-13,47
2012-08-14,47
2012-08-15,48
2012-08-16,48
2012-08-17,48
2012-08-18,48
2012-08-19,49
2012-08-20,49
2012-08-21,49
2012-08-22,50
2012-08-23,50
2012-08-24,50
2012-08-25,50
2012-08-26,51
2012-08-27,51
2012-08-28,51
2012-08-29,52
2012-08-30,52
2012-08-31,52
2012-09-01,53
2012-09-02,54
2012-09-03,55
2012-09-04,57
2012-09-05,58
2012-09-06,59
2012-09-07,61
2012-09-08,62
2012-09-09,63
2012-09-10,65
2012-09-11,66
2012-09-12,67
2012-09-13,69
2012-09-14,70
2012-09-15,71
2012-09-16,73
2012-09-17,74
2012-09-18,75
2012-09-19,77
2012-09-20,78
2012-09-21,79
2012-09-22,81
2012-09-23,82
2012-09-24,83
2012-09-25,85
2012-09-26,86
2012-09-27,87
2012-09-28,89
2012-09-29,90
2012-09-30,91
2012-10-01,93
2012-10-02,92
2012-10-03,91
2012-10-04,90
2012-10-05,89
2012-10-06,88
2012-10-07,87
2012-10-08,86
2012-10-09,85
2012-10-10,84
2012-10-11,83
2012-10-12,83
2012-10-13,82
2012-10-14,81
2012-10-15,80
2012-10-16,79
2012-10-17,78
2012-10-18,77
2012-10-19,76
2012-10-20,75
2012-10-21,74
2012-10-22,74
2012-10-23,73
2012-10-24,72
2012-10-25,71
2012-10-26,70
2012-10-27,69
2012-10-28,68
2012-10-29,67
2012-10-30,66
2012-10-31,65
2012-11-01,65
2012-11-02,65
2012-11-03,65
2012-11-04,65
2012-11-05,65
2012-11-06,65
2012-11-07,66
2012-11-08,66
2012-11-09,66
2012-11-10,66
2012-11-11,66
2012-11-12,66
2012-11-13,67
2012-11-14,67
2012-11-15,67
2012-11-16,67
2012-11-17,67
2012-11-18,67
2012-11-19,68
2012-11-20,68
2012-11-21,68
2012-11-22,68
2012-11-23,68
2012-11-24,68
2012-11-25,69
2012-11-26,69
2012-11-27,69
2012-11-28,69
2012-11-29,69
2012-11-30,69
2012-12-01,70
2012-12-02,68
2012-12-03,67
2012-12-04,66
2012-12-05,65
2012-12-06,64
2012-12-07,63
2012-12-08,62
2012-12-09,61
2012-12-10,60
2012-12-11,59
2012-12-12,57
2012-12-13,56
2012-12-14,55
2012-12-15,54
2012-12-16,53
2012-12-17,52
2012-12-18,51
2012-12-19,50
2012-12-20,49
2012-12-21,48
2012-12-22,46
2012-12-23,45
2012-12-24,44
2012-12-25,43
2012-12-26,42
2012-12-27,41
2012-12-28,40
2012-12-29,39
2012-12-30,38
2012-12-31,37
2013-01-01,36
2013-01-02,37
2013-01-03,38
2013-01-04,39
2013-01-05,40
2013-01-06,41
2013-01-07,42
2013-01-08,43
2013-01-09,44
2013-01-10,45
2013-01-11,46
2013-01-12,47
2013-01-13,48
2013-01-14,49
2013-01-15,50
2013-01-16,51
2013-01-17,53
2013-01-18,54
2013-01-19,55
2013-01-20,56
2013-01-21,57
2013-01-22,58
2013-01-23,59
2013-01-24,60
2013-01-25,61
2013-01-26,62
2013-01-27,63
2013-01-28,64
2013-01-29,65
2013-01-30,66
2013-01-31,67
2013-02-01,69
2013-02-02,69
2013-02-03,69
2013-02-04,69
2013-02-05,70
2013-02-06,70
2013-02-07,70
2013-02-08,70
2013-02-09,71
2013-02-10,71
2013-02-11,71
2013-02-12,71
2013-02-13,72
2013-02-14,72
2013-02-15,72
2013-02-16,72
2013-02-17,73
2013-02-18,73
2013-02-19,73
2013-02-20,73
2013-02-21,74
2013-02-22,74
2013-02-23,74
2013-02-24,74
2013-02-25,75
2013-02-26,75
2013-02-27,75
2013-02-28,75
2013-03-01,76
2013-03-02,75
2013-03-03,74
2013-03-04,74
2013-03-05,73
2013-03-06,73
2013-03-07,72
2013-03-08,71
2013-03-09,71
2013-03-10,70
2013-03-11,70
2013-03-12,69
2013-03-13,69
2013-03-14,68
2013-03-15,67
2013-03-16,67
2013-03-17,66
2013-03-18,66
2013-03-19,65
2013-03-20,64
2013-03-21,64
2013-03-22,63
2013-03-23,63
2013-03-24,62
2013-03-25,62
2013-03-26,61
2013-03-27,60
2013-03-28,60
2013-03-29,59
2013-03-30,59
2013-03-31,58
2013-04-01,58
2013-04-02,58
2013-04-03,58
2013-04-04,58
2013-04-05,59
2013-04-06,59
2013-04-07,59
2013-04-08,60
2013-04-09,60
2013-04-10,60
2013-04-11,61
2013-04-12,61
2013-04-13,61
2013-04-14,61
2013-04-15,62
2013-04-16,62
2013-04-17,62
2013-04-18,63
2013-04-19,63
2013-04-20,63
2013-04-21,64
2013-04-22,64
2013-04-23,64
2013-04-24,64
2013-04-25,65
2013-04-26,65
2013-04-27,65
2013-04-28,66
2013-04-29,66
2013-04-30,66
2013-05-01,67
2013-05-02,66
2013-05-03,66
2013-05-04,66
2013-05-05,66
2013-05-06,66
2013-05-07,65
2013-05-08,65
2013-05-09,65
2013-05-10,65
2013-05-11,65
2013-05-12,64
2013-05-13,64
2013-05-14,64
2013-05-15,64
2013-05-16,64
2013-05-17,63
2013-05-18,63
2013-05-19,63
2013-05-20,63
2013-05-21,63
2013-05-22,62
2013-05-23,62
2013-05-24,62
