Date,FBR Capital Markets
2006-10-01,0
2006-10-02,1
2006-10-03,2
2006-10-04,4
2006-10-05,5
2006-10-06,7
2006-10-07,8
2006-10-08,10
2006-10-09,11
2006-10-10,13
2006-10-11,14
2006-10-12,15
2006-10-13,17
2006-10-14,18
2006-10-15,20
2006-10-16,21
2006-10-17,23
2006-10-18,24
2006-10-19,26
2006-10-20,27
2006-10-21,29
2006-10-22,30
2006-10-23,31
2006-10-24,33
2006-10-25,34
2006-10-26,36
2006-10-27,37
2006-10-28,39
2006-10-29,40
2006-10-30,42
2006-10-31,43
2006-11-01,45
2006-11-02,45
2006-11-03,46
2006-11-04,46
2006-11-05,47
2006-11-06,47
2006-11-07,48
2006-11-08,48
2006-11-09,49
2006-11-10,49
2006-11-11,50
2006-11-12,50
2006-11-13,51
2006-11-14,51
2006-11-15,52
2006-11-16,52
2006-11-17,53
2006-11-18,53
2006-11-19,54
2006-11-20,54
2006-11-21,55
2006-11-22,55
2006-11-23,56
2006-11-24,56
2006-11-25,57
2006-11-26,57
2006-11-27,58
2006-11-28,58
2006-11-29,59
2006-11-30,59
2006-12-01,60
2006-12-02,60
2006-12-03,61
2006-12-04,61
2006-12-05,62
2006-12-06,62
2006-12-07,63
2006-12-08,63
2006-12-09,64
2006-12-10,64
2006-12-11,65
2006-12-12,65
2006-12-13,66
2006-12-14,66
2006-12-15,67
2006-12-16,67
2006-12-17,68
2006-12-18,68
2006-12-19,69
2006-12-20,69
2006-12-21,70
2006-12-22,70
2006-12-23,71
2006-12-24,71
2006-12-25,72
2006-12-26,72
2006-12-27,73
2006-12-28,73
2006-12-29,74
2006-12-30,74
2006-12-31,75
2007-01-01,76
2007-01-02,76
2007-01-03,76
2007-01-04,76
2007-01-05,76
2007-01-06,76
2007-01-07,76
2007-01-08,76
2007-01-09,76
2007-01-10,76
2007-01-11,76
2007-01-12,76
2007-01-13,76
2007-01-14,76
2007-01-15,76
2007-01-16,76
2007-01-17,76
2007-01-18,76
2007-01-19,76
2007-01-20,76
2007-01-21,76
2007-01-22,76
2007-01-23,76
2007-01-24,76
2007-01-25,76
2007-01-26,76
2007-01-27,76
