Date,Intelius
2010-04-01,81
2010-04-02,89
2010-04-03,83
2010-04-04,84
2010-04-05,82
2010-04-06,83
2010-04-07,82
2010-04-08,82
2010-04-09,82
2010-04-10,82
2010-04-11,88
2010-04-12,79
2010-04-13,81
2010-04-14,76
2010-04-15,80
2010-04-16,73
2010-04-17,72
2010-04-18,76
2010-04-19,72
2010-04-20,73
2010-04-21,73
2010-04-22,74
2010-04-23,78
2010-04-24,77
2010-04-25,76
2010-04-26,77
2010-04-27,79
2010-04-28,82
2010-04-29,82
2010-04-30,84
2010-05-01,85
2010-05-02,85
2010-05-03,84
2010-05-04,81
2010-05-05,79
2010-05-06,78
2010-05-07,77
2010-05-08,81
2010-05-09,76
2010-05-10,74
2010-05-11,73
2010-05-12,73
2010-05-13,72
2010-05-14,74
2010-05-15,71
2010-05-16,73
2010-05-17,75
2010-05-18,81
2010-05-19,80
2010-05-20,87
2010-05-21,84
2010-05-22,87
2010-05-23,85
2010-05-24,84
2010-05-25,83
2010-05-26,87
2010-05-27,80
2010-05-28,81
2010-05-29,78
2010-05-30,77
2010-05-31,81
2010-06-01,75
2010-06-02,74
2010-06-03,76
2010-06-04,75
2010-06-05,72
2010-06-06,75
2010-06-07,78
2010-06-08,78
2010-06-09,80
2010-06-10,82
2010-06-11,85
2010-06-12,88
2010-06-13,85
2010-06-14,89
2010-06-15,85
2010-06-16,85
2010-06-17,90
2010-06-18,85
2010-06-19,87
2010-06-20,85
2010-06-21,83
2010-06-22,83
2010-06-23,82
2010-06-24,82
2010-06-25,81
2010-06-26,80
2010-06-27,86
2010-06-28,80
2010-06-29,83
2010-06-30,81
2010-07-01,82
2010-07-02,82
2010-07-03,83
2010-07-04,91
2010-07-05,83
2010-07-06,83
2010-07-07,83
2010-07-08,84
2010-07-09,87
2010-07-10,85
2010-07-11,85
2010-07-12,86
2010-07-13,87
2010-07-14,88
2010-07-15,91
2010-07-16,90
2010-07-17,91
2010-07-18,100
2010-07-19,91
2010-07-20,94
2010-07-21,92
2010-07-22,91
2010-07-23,91
2010-07-24,94
2010-07-25,95
2010-07-26,89
2010-07-27,88
2010-07-28,88
2010-07-29,87
2010-07-30,86
2010-07-31,84
2010-08-01,86
2010-08-02,90
2010-08-03,90
2010-08-04,93
2010-08-05,97
2010-08-06,98
2010-08-07,100
2010-08-08,100
2010-08-09,98
2010-08-10,98
2010-08-11,97
2010-08-12,98
2010-08-13,96
2010-08-14,96
2010-08-15,95
2010-08-16,95
2010-08-17,95
2010-08-18,97
2010-08-19,97
2010-08-20,94
2010-08-21,94
2010-08-22,98
2010-08-23,90
2010-08-24,88
2010-08-25,93
2010-08-26,84
2010-08-27,83
2010-08-28,82
2010-08-29,81
2010-08-30,81
2010-08-31,80
2010-09-01,81
2010-09-02,81
2010-09-03,80
2010-09-04,85
2010-09-05,81
2010-09-06,83
2010-09-07,90
2010-09-08,86
2010-09-09,92
2010-09-10,90
2010-09-11,94
2010-09-12,91
2010-09-13,92
2010-09-14,93
2010-09-15,90
2010-09-16,90
2010-09-17,90
2010-09-18,92
2010-09-19,89
2010-09-20,89
2010-09-21,91
2010-09-22,88
2010-09-23,90
2010-09-24,93
2010-09-25,88
2010-09-26,87
2010-09-27,87
2010-09-28,87
2010-09-29,86
2010-09-30,85
2010-10-01,85
2010-10-02,85
2010-10-03,85
2010-10-04,85
2010-10-05,86
2010-10-06,87
2010-10-07,85
2010-10-08,86
2010-10-09,85
2010-10-10,90
2010-10-11,83
2010-10-12,83
2010-10-13,82
2010-10-14,84
2010-10-15,81
2010-10-16,86
2010-10-17,80
2010-10-18,79
2010-10-19,79
2010-10-20,78
2010-10-21,77
2010-10-22,80
2010-10-23,76
2010-10-24,76
2010-10-25,76
2010-10-26,77
2010-10-27,77
2010-10-28,86
2010-10-29,78
2010-10-30,79
2010-10-31,83
2010-11-01,79
