Date,Mead Johnson Nutrition Co
2008-06-07,32
2008-06-08,33
2008-06-09,34
2008-06-10,36
2008-06-11,36
2008-06-12,37
2008-06-13,38
2008-06-14,39
2008-06-15,38
2008-06-16,38
2008-06-17,38
2008-06-18,38
2008-06-19,38
2008-06-20,38
2008-06-21,38
2008-06-22,39
2008-06-23,40
2008-06-24,43
2008-06-25,42
2008-06-26,43
2008-06-27,44
2008-06-28,46
2008-06-29,44
2008-06-30,42
2008-07-01,41
2008-07-02,39
2008-07-03,38
2008-07-04,36
2008-07-05,35
2008-07-06,33
2008-07-07,32
2008-07-08,31
2008-07-09,30
2008-07-10,29
2008-07-11,28
2008-07-12,27
2008-07-13,29
2008-07-14,31
2008-07-15,33
2008-07-16,36
2008-07-17,38
2008-07-18,40
2008-07-19,43
2008-07-20,42
2008-07-21,43
2008-07-22,40
2008-07-23,39
2008-07-24,38
2008-07-25,37
2008-07-26,36
2008-07-27,36
2008-07-28,37
2008-07-29,38
2008-07-30,39
2008-07-31,39
2008-08-01,40
2008-08-02,41
2008-08-03,40
2008-08-04,40
2008-08-05,39
2008-08-06,39
2008-08-07,38
2008-08-08,38
2008-08-09,38
2008-08-10,37
2008-08-11,36
2008-08-12,35
2008-08-13,34
2008-08-14,33
2008-08-15,32
2008-08-16,31
2008-08-17,32
2008-08-18,34
2008-08-19,34
2008-08-20,36
2008-08-21,37
2008-08-22,38
2008-08-23,40
2008-08-24,39
2008-08-25,38
2008-08-26,37
2008-08-27,36
2008-08-28,35
2008-08-29,34
2008-08-30,34
2008-08-31,36
2008-09-01,38
2008-09-02,41
2008-09-03,42
2008-09-04,46
2008-09-05,46
2008-09-06,51
2008-09-07,48
2008-09-08,48
2008-09-09,49
2008-09-10,49
2008-09-11,50
2008-09-12,49
2008-09-13,50
2008-09-14,51
2008-09-15,53
2008-09-16,54
2008-09-17,56
2008-09-18,59
2008-09-19,60
2008-09-20,61
2008-09-21,61
2008-09-22,62
2008-09-23,63
2008-09-24,66
2008-09-25,64
2008-09-26,70
2008-09-27,66
2008-09-28,63
2008-09-29,60
2008-09-30,58
2008-10-01,55
2008-10-02,53
2008-10-03,51
2008-10-04,48
2008-10-05,47
2008-10-06,47
2008-10-07,46
2008-10-08,46
2008-10-09,45
2008-10-10,47
2008-10-11,45
2008-10-12,44
2008-10-13,44
2008-10-14,46
2008-10-15,44
2008-10-16,42
2008-10-17,44
