Date,Data Domain
2006-09-09,0
2006-09-10,0
2006-09-11,0
2006-09-12,0
2006-09-13,0
2006-09-14,0
2006-09-15,0
2006-09-16,0
2006-09-17,0
2006-09-18,0
2006-09-19,0
2006-09-20,0
2006-09-21,0
2006-09-22,0
2006-09-23,0
2006-09-24,6
2006-09-25,13
2006-09-26,20
2006-09-27,27
2006-09-28,34
2006-09-29,41
2006-09-30,48
2006-10-01,46
2006-10-02,42
2006-10-03,39
2006-10-04,36
2006-10-05,33
2006-10-06,30
2006-10-07,27
2006-10-08,27
2006-10-09,27
2006-10-10,27
2006-10-11,27
2006-10-12,27
2006-10-13,27
2006-10-14,27
2006-10-15,27
2006-10-16,27
2006-10-17,27
2006-10-18,27
2006-10-19,27
2006-10-20,27
2006-10-21,27
2006-10-22,27
2006-10-23,27
2006-10-24,27
2006-10-25,28
2006-10-26,28
2006-10-27,28
2006-10-28,29
2006-10-29,29
2006-10-30,29
2006-10-31,29
2006-11-01,29
2006-11-02,29
2006-11-03,29
2006-11-04,29
2006-11-05,30
2006-11-06,32
2006-11-07,33
2006-11-08,35
2006-11-09,37
2006-11-10,38
2006-11-11,40
2006-11-12,39
2006-11-13,38
2006-11-14,37
2006-11-15,36
2006-11-16,35
2006-11-17,34
2006-11-18,34
2006-11-19,34
2006-11-20,34
2006-11-21,34
2006-11-22,34
2006-11-23,34
2006-11-24,34
2006-11-25,35
2006-11-26,35
2006-12-03,36
2006-12-04,36
2006-12-05,36
2006-12-06,37
2006-12-07,37
2006-12-08,37
2006-12-09,38
2006-12-10,38
2006-12-11,38
2006-12-12,38
2006-12-13,39
2006-12-14,39
2006-12-15,39
2006-12-16,39
2006-12-17,37
2006-12-18,35
2006-12-19,33
2006-12-20,31
2006-12-21,29
2006-12-22,27
2006-12-23,25
2006-12-24,25
2006-12-25,25
2006-12-26,25
2006-12-27,25
2006-12-28,25
2006-12-29,25
2006-12-30,26
2006-12-31,26
2007-01-01,26
2007-01-02,26
2007-01-03,27
2007-01-04,27
2007-01-05,27
2007-01-06,28
2007-01-07,28
2007-01-08,28
2007-01-09,28
2007-01-10,29
2007-01-11,29
2007-01-12,29
2007-01-13,30
2007-01-14,31
2007-01-15,32
2007-01-16,34
2007-01-17,35
2007-01-18,37
2007-01-19,38
2007-01-20,40
2007-01-21,38
2007-01-22,36
2007-01-23,34
2007-01-24,32
2007-01-25,30
2007-01-26,28
2007-01-27,27
2007-01-28,29
2007-01-29,33
2007-01-30,35
2007-01-31,38
2007-02-01,41
2007-02-02,44
2007-02-03,47
2007-02-04,45
2007-02-05,43
2007-02-06,41
2007-02-07,39
2007-02-08,37
2007-02-09,35
2007-02-10,34
2007-02-11,34
2007-02-12,35
2007-02-13,36
2007-02-14,36
2007-02-15,37
2007-02-16,38
2007-02-17,39
2007-02-18,37
2007-02-19,35
2007-02-20,33
2007-02-21,31
2007-02-22,29
2007-02-23,27
2007-02-24,25
2007-02-25,25
2007-03-04,29
2007-03-05,29
2007-03-06,29
2007-03-07,29
2007-03-08,29
2007-03-09,29
2007-03-10,30
2007-03-11,31
2007-03-12,32
2007-03-13,33
2007-03-14,34
2007-03-15,35
2007-03-16,37
2007-03-17,38
2007-03-18,36
2007-03-19,34
2007-03-20,32
2007-03-21,30
2007-03-22,28
2007-03-23,27
2007-03-24,25
2007-03-25,25
2007-03-26,25
2007-03-27,25
2007-03-28,25
2007-03-29,25
2007-03-30,25
2007-03-31,26
2007-04-01,27
2007-04-02,28
2007-04-03,29
2007-04-04,30
2007-04-05,31
2007-04-06,32
2007-04-07,33
2007-04-08,34
2007-04-09,36
2007-04-10,38
2007-04-11,39
2007-04-12,41
2007-04-13,43
2007-04-14,44
2007-04-15,41
2007-04-16,38
2007-04-17,35
2007-04-18,33
2007-04-19,30
2007-04-20,27
2007-04-21,25
2007-04-22,25
2007-04-23,26
2007-04-24,26
2007-04-25,27
2007-04-26,28
2007-04-27,28
2007-04-28,29
2007-04-29,30
2007-04-30,30
2007-05-01,31
2007-05-02,32
2007-05-03,33
2007-05-04,34
2007-05-05,35
2007-05-06,36
2007-05-07,37
2007-05-08,38
2007-05-09,40
2007-05-10,41
2007-05-11,42
2007-05-12,44
2007-05-13,43
2007-05-14,42
2007-05-15,42
2007-05-16,41
2007-05-17,40
2007-05-18,40
2007-05-19,39
2007-05-20,38
2007-05-21,37
2007-05-22,36
2007-05-23,35
2007-05-24,34
2007-05-25,33
2007-05-26,32
2007-05-27,31
2007-06-03,32
2007-06-04,36
2007-06-05,40
2007-06-06,43
2007-06-07,47
2007-06-08,51
2007-06-09,55
2007-06-10,50
2007-06-11,45
2007-06-12,41
2007-06-13,36
2007-06-14,32
2007-06-15,27
2007-06-16,23
2007-06-17,29
2007-06-18,36
2007-06-19,43
2007-06-20,50
2007-06-21,57
2007-06-22,64
2007-06-23,71
2007-06-24,75
2007-06-25,80
2007-06-26,84
2007-06-27,89
2007-06-28,93
2007-06-29,97
2007-06-30,102
2007-07-01,96
2007-07-02,89
2007-07-03,83
2007-07-04,78
2007-07-05,72
2007-07-06,67
2007-07-07,62
2007-07-08,60
2007-07-09,59
2007-07-10,57
2007-07-11,56
2007-07-12,54
2007-07-13,53
2007-07-14,52
2007-07-15,50
2007-07-16,49
2007-07-17,48
2007-07-18,47
2007-07-19,46
2007-07-20,45
2007-07-21,44
2007-07-22,44
2007-07-23,45
2007-07-24,46
2007-07-25,47
2007-07-26,48
2007-07-27,49
2007-07-28,50
2007-07-29,47
2007-07-30,45
2007-07-31,43
2007-08-01,40
2007-08-02,38
2007-08-03,36
2007-08-04,34
2007-08-05,37
2007-08-06,41
2007-08-07,44
2007-08-08,48
2007-08-09,52
2007-08-10,55
2007-08-11,59
2007-08-12,58
2007-08-13,57
2007-08-14,56
2007-08-15,55
2007-08-16,54
2007-08-17,53
2007-08-18,53
2007-08-19,53
2007-08-20,53
2007-08-21,53
2007-08-22,53
2007-08-23,53
2007-08-24,53
2007-08-25,53
2007-08-26,53
2007-09-02,53
2007-09-03,50
2007-09-04,48
2007-09-05,45
2007-09-06,43
2007-09-07,40
2007-09-08,38
2007-09-09,39
2007-09-10,40
2007-09-11,41
2007-09-12,42
2007-09-13,43
2007-09-14,44
2007-09-15,45
2007-09-16,44
2007-09-17,43
2007-09-18,42
2007-09-19,41
2007-09-20,40
2007-09-21,39
2007-09-22,38
2007-09-23,37
2007-09-24,36
2007-09-25,36
2007-09-26,35
2007-09-27,35
2007-09-28,34
2007-09-29,34
2007-09-30,37
2007-10-01,41
2007-10-02,45
2007-10-03,49
2007-10-04,53
2007-10-05,56
2007-10-06,60
2007-10-07,57
2007-10-08,53
2007-10-09,50
2007-10-10,47
2007-10-11,44
2007-10-12,41
2007-10-13,38
2007-10-14,40
2007-10-15,42
2007-10-16,45
2007-10-17,47
2007-10-18,50
2007-10-19,52
2007-10-20,55
2007-10-21,54
2007-10-22,54
2007-10-23,53
2007-10-24,53
2007-10-25,52
2007-10-26,52
2007-10-27,52
2007-10-28,51
2007-10-29,52
2007-10-30,51
2007-10-31,51
2007-11-01,51
2007-11-02,51
2007-11-03,51
2007-11-04,50
2007-11-05,49
2007-11-06,48
2007-11-07,47
2007-11-08,46
2007-11-09,45
2007-11-10,44
2007-11-11,43
2007-11-12,43
2007-11-13,43
2007-11-14,43
2007-11-15,43
2007-11-16,43
2007-11-17,43
2007-11-18,42
2007-11-19,41
2007-11-20,40
2007-11-21,40
2007-11-22,39
2007-11-23,38
2007-11-24,38
2007-11-25,40
2007-12-02,52
2007-12-03,50
2007-12-04,48
2007-12-05,46
2007-12-06,44
2007-12-07,42
2007-12-08,40
2007-12-09,40
2007-12-10,41
2007-12-11,41
2007-12-12,42
2007-12-13,42
2007-12-14,43
2007-12-15,44
2007-12-16,43
2007-12-17,43
2007-12-18,43
2007-12-19,42
2007-12-20,42
2007-12-21,42
2007-12-22,41
2007-12-23,38
2007-12-24,35
2007-12-25,32
2007-12-26,29
2007-12-27,26
2007-12-28,23
2007-12-29,20
2007-12-30,22
2007-12-31,25
2008-01-01,27
2008-01-02,30
2008-01-03,32
2008-01-04,35
2008-01-05,38
2008-01-06,37
2008-01-07,37
2008-01-08,36
2008-01-09,36
2008-01-10,35
2008-01-11,35
2008-01-12,35
2008-01-13,36
2008-01-14,38
2008-01-15,39
2008-01-16,41
2008-01-17,42
