Date,Constant Contact
2007-01-01,28
2007-01-02,31
2007-01-03,31
2007-01-04,34
2007-01-05,35
2007-01-06,37
2007-01-07,36
2007-01-08,36
2007-01-09,36
2007-01-10,42
2007-01-11,37
2007-01-12,37
2007-01-13,43
2007-01-14,38
2007-01-15,39
2007-01-16,40
2007-01-17,40
2007-01-18,41
2007-01-19,42
2007-01-20,46
2007-01-21,44
2007-01-22,45
2007-01-23,46
2007-01-24,49
2007-01-25,48
2007-01-26,49
2007-01-27,53
2007-01-28,50
2007-01-29,50
2007-01-30,50
2007-01-31,51
2007-02-01,53
2007-02-02,51
2007-02-03,57
2007-02-04,51
2007-02-05,51
2007-02-06,53
2007-02-07,50
2007-02-08,53
2007-02-09,52
2007-02-10,49
2007-02-11,48
2007-02-12,47
2007-02-13,47
2007-02-14,46
2007-02-15,46
2007-02-16,48
2007-02-17,45
2007-02-18,45
2007-02-19,46
2007-02-20,47
2007-02-21,48
2007-02-22,48
2007-02-23,51
2007-02-24,52
2007-02-25,49
2007-02-26,49
2007-02-27,49
2007-02-28,48
2007-03-01,48
2007-03-02,53
2007-03-03,48
2007-03-04,48
2007-03-05,49
2007-03-06,50
2007-03-07,51
2007-03-08,52
2007-03-09,58
2007-03-10,54
2007-03-11,53
2007-03-12,52
2007-03-13,52
2007-03-14,55
2007-03-15,51
2007-03-16,50
2007-03-17,53
2007-03-18,49
2007-03-19,49
2007-03-20,49
2007-03-21,52
2007-03-22,48
2007-03-23,51
2007-03-24,48
2007-03-25,48
2007-03-26,49
2007-03-27,50
2007-03-28,53
2007-03-29,52
2007-03-30,55
2007-03-31,54
2007-04-01,54
2007-04-02,56
2007-04-03,54
2007-04-04,54
2007-04-05,54
2007-04-06,55
2007-04-07,56
2007-04-08,54
2007-04-09,54
2007-04-10,56
2007-04-11,53
2007-04-12,52
2007-04-13,53
2007-04-14,56
2007-04-15,53
2007-04-16,54
2007-04-17,55
2007-04-18,56
2007-04-19,57
2007-04-20,60
2007-04-21,59
2007-04-22,59
2007-04-23,59
2007-04-24,59
2007-04-25,59
2007-04-26,59
2007-04-27,63
2007-04-28,62
2007-04-29,59
2007-04-30,59
2007-05-01,59
2007-05-02,60
2007-05-03,62
2007-05-04,59
2007-05-05,59
2007-05-06,58
2007-05-07,58
2007-05-08,61
2007-05-09,58
2007-05-10,58
2007-05-11,63
2007-05-12,58
2007-05-13,57
2007-05-14,57
