Date,Montage
2013-02-09,94
2013-02-10,93
2013-02-11,97
2013-02-12,93
2013-02-13,93
2013-02-14,93
2013-02-15,92
2013-02-16,92
2013-02-17,92
2013-02-18,94
2013-02-19,92
2013-02-20,92
2013-02-21,93
2013-02-22,92
2013-02-23,92
2013-02-24,92
2013-02-25,94
2013-02-26,94
2013-02-27,93
2013-02-28,94
2013-03-01,94
2013-03-02,95
2013-03-03,95
2013-03-04,99
2013-03-05,95
2013-03-06,96
2013-03-07,96
2013-03-08,96
2013-03-09,97
2013-03-10,96
2013-03-11,99
2013-03-12,95
2013-03-13,96
2013-03-14,95
2013-03-15,94
2013-03-16,94
2013-03-17,94
2013-03-18,96
2013-03-19,95
2013-03-20,94
2013-03-21,94
2013-03-22,95
2013-03-23,94
2013-03-24,94
2013-03-25,96
2013-03-26,96
2013-03-27,95
2013-03-28,98
2013-03-29,96
2013-03-30,97
2013-03-31,98
2013-05-01,96
2013-05-02,97
2013-05-03,97
2013-05-04,98
2013-05-05,98
2013-05-06,98
2013-05-07,97
2013-05-08,97
2013-05-09,99
2013-05-10,97
2013-05-11,97
2013-05-12,97
2013-05-13,97
2013-05-14,98
2013-05-15,95
2013-05-16,98
2013-05-17,95
2013-05-18,95
2013-05-19,95
2013-05-20,98
2013-05-21,96
2013-05-22,97
2013-05-23,98
2013-05-24,98
2013-05-25,99
2013-05-26,98
2013-05-27,99
2013-05-28,98
2013-05-29,97
2013-05-30,96
2013-05-31,98
2013-06-01,96
2013-06-02,95
2013-06-03,97
2013-06-04,94
2013-06-05,95
2013-06-06,93
2013-06-07,94
2013-06-08,93
2013-06-09,93
2013-06-10,95
2013-06-11,95
2013-06-12,95
2013-06-13,96
2013-06-14,96
2013-06-15,97
2013-06-16,96
2013-06-17,98
2013-06-18,96
2013-06-19,95
2013-06-20,96
2013-06-21,94
2013-06-22,94
2013-06-23,94
2013-06-24,95
2013-06-25,95
2013-06-26,94
2013-06-27,96
2013-06-28,94
2013-06-29,95
2013-06-30,94
2013-07-01,96
2013-07-02,95
2013-07-03,94
2013-07-04,95
2013-07-05,94
2013-07-06,94
