Date,ServiceSource
2010-06-12,31
2010-06-13,31
2010-06-14,31
2010-06-15,32
2010-06-16,32
2010-06-17,33
2010-06-18,33
2010-06-19,34
2010-06-20,34
2010-06-21,35
2010-06-22,36
2010-06-23,36
2010-06-24,37
2010-06-25,37
2010-06-26,38
2010-06-27,37
2010-06-28,36
2010-06-29,35
2010-06-30,34
2010-07-01,33
2010-07-02,32
2010-07-03,31
2010-07-04,34
2010-07-05,37
2010-07-06,40
2010-07-07,43
2010-07-08,46
2010-07-09,50
2010-07-10,53
2010-07-11,50
2010-07-12,46
2010-07-13,43
2010-07-14,40
2010-07-15,37
2010-07-16,34
2010-07-17,32
2010-07-18,34
2010-07-19,37
2010-07-20,39
2010-07-21,42
2010-07-22,44
2010-07-23,46
2010-07-24,49
2010-07-25,45
2010-07-26,41
2010-07-27,38
2010-07-28,34
2010-07-29,31
2010-07-30,27
2010-07-31,24
2010-08-01,34
2010-08-02,46
2010-08-03,57
2010-08-04,68
2010-08-05,79
2010-08-06,90
2010-08-07,101
2010-08-08,94
2010-08-09,86
2010-08-10,79
2010-08-11,72
2010-08-12,66
2010-08-13,59
2010-08-14,53
2010-08-15,51
2010-08-16,50
2010-08-17,49
2010-08-18,48
2010-08-19,47
2010-08-20,46
2010-08-21,45
2010-08-22,45
2010-08-23,45
2010-08-24,45
2010-08-25,45
2010-08-26,46
2010-08-27,46
2010-08-28,46
2010-08-29,46
2010-09-05,44
2010-09-06,44
2010-09-07,43
2010-09-08,43
2010-09-09,42
2010-09-10,42
2010-09-11,42
2010-09-12,42
2010-09-13,43
2010-09-14,43
2010-09-15,44
2010-09-16,44
2010-09-17,45
2010-09-18,46
2010-09-19,46
2010-09-20,46
2010-09-21,46
2010-09-22,46
2010-09-23,46
2010-09-24,46
2010-09-25,46
2010-09-26,46
2010-09-27,47
2010-09-28,48
2010-09-29,49
2010-09-30,49
2010-10-01,50
2010-10-02,51
2010-10-03,49
2010-10-04,47
2010-10-05,45
2010-10-06,44
2010-10-07,42
2010-10-08,40
2010-10-09,39
2010-10-10,39
2010-10-11,39
2010-10-12,40
