Date,Verso Paper
2007-06-01,57
2007-06-02,56
2007-06-03,56
2007-06-04,56
2007-06-05,55
2007-06-06,55
2007-06-07,55
2007-06-08,55
2007-06-09,54
2007-06-10,54
2007-06-11,54
2007-06-12,54
2007-06-13,53
2007-06-14,53
2007-06-15,53
2007-06-16,53
2007-06-17,52
2007-06-18,52
2007-06-19,52
2007-06-20,51
2007-06-21,51
2007-06-22,51
2007-06-23,51
2007-06-24,50
2007-06-25,50
2007-06-26,50
2007-06-27,50
2007-06-28,49
2007-06-29,49
2007-06-30,49
2007-07-01,49
2007-07-02,49
2007-07-03,50
2007-07-04,51
2007-07-05,52
2007-07-06,53
2007-07-07,54
2007-07-08,55
2007-07-09,55
2007-07-10,56
2007-07-11,57
2007-07-12,58
2007-07-13,59
2007-07-14,60
2007-07-15,61
2007-07-16,62
2007-07-17,62
2007-07-18,63
2007-07-19,64
2007-07-20,65
2007-07-21,66
2007-07-22,67
2007-07-23,68
2007-07-24,69
2007-07-25,69
2007-07-26,70
2007-07-27,71
2007-07-28,72
2007-07-29,73
2007-07-30,74
2007-07-31,75
2007-08-01,76
2007-08-02,74
2007-08-03,73
2007-08-04,72
2007-08-05,71
2007-08-06,69
2007-08-07,68
2007-08-08,67
2007-08-09,66
2007-08-10,64
2007-08-11,63
2007-08-12,62
2007-08-13,61
2007-08-14,60
2007-08-15,58
2007-08-16,57
2007-08-17,56
2007-08-18,55
2007-08-19,53
2007-08-20,52
2007-08-21,51
2007-08-22,50
2007-08-23,49
2007-08-24,47
2007-08-25,46
2007-08-26,45
2007-08-27,44
2007-08-28,42
2007-08-29,41
2007-08-30,40
2007-08-31,39
2007-09-01,38
2007-09-02,39
2007-09-03,40
2007-09-04,41
2007-09-05,42
2007-09-06,43
2007-09-07,44
2007-09-08,45
2007-09-09,46
2007-09-10,47
2007-09-11,49
2007-09-12,50
2007-09-13,51
2007-09-14,52
2007-09-15,53
2007-09-16,54
2007-09-17,55
2007-09-18,56
2007-09-19,57
2007-09-20,58
2007-09-21,60
2007-09-22,61
2007-09-23,62
2007-09-24,63
2007-09-25,64
2007-09-26,65
2007-09-27,66
2007-09-28,67
2007-09-29,68
2007-09-30,69
2007-10-01,71
2007-10-02,70
2007-10-03,70
2007-10-04,70
2007-10-05,70
2007-10-06,69
2007-10-07,69
2007-10-08,69
2007-10-09,69
2007-10-10,68
2007-10-11,68
2007-10-12,68
2007-10-13,68
2007-10-14,68
2007-10-15,67
2007-10-16,67
2007-10-17,67
2007-10-18,67
2007-10-19,66
2007-10-20,66
2007-10-21,66
2007-10-22,66
2007-10-23,66
2007-10-24,65
2007-10-25,65
2007-10-26,65
2007-10-27,65
2007-10-28,64
2007-10-29,64
2007-10-30,64
2007-10-31,64
2007-11-01,64
2007-11-02,63
2007-11-03,62
2007-11-04,61
2007-11-05,60
2007-11-06,60
2007-11-07,59
2007-11-08,58
2007-11-09,57
2007-11-10,57
2007-11-11,56
2007-11-12,55
2007-11-13,54
2007-11-14,54
2007-11-15,53
2007-11-16,52
2007-11-17,51
2007-11-18,50
2007-11-19,50
2007-11-20,49
2007-11-21,48
2007-11-22,47
2007-11-23,47
2007-11-24,46
2007-11-25,45
2007-11-26,44
2007-11-27,44
2007-11-28,43
2007-11-29,42
2007-11-30,41
2007-12-01,41
2007-12-02,41
2007-12-03,42
2007-12-04,42
2007-12-05,43
2007-12-06,43
2007-12-07,44
2007-12-08,44
2007-12-09,45
2007-12-10,45
2007-12-11,46
2007-12-12,47
2007-12-13,47
2007-12-14,48
2007-12-15,48
2007-12-16,49
2007-12-17,49
2007-12-18,50
2007-12-19,50
2007-12-20,51
2007-12-21,51
2007-12-22,52
2007-12-23,53
2007-12-24,53
2007-12-25,54
2007-12-26,54
2007-12-27,55
2007-12-28,55
2007-12-29,56
2007-12-30,56
2007-12-31,57
2008-01-01,58
2008-01-02,57
2008-01-03,57
2008-01-04,57
2008-01-05,57
2008-01-06,56
2008-01-07,56
2008-01-08,56
2008-01-09,56
2008-01-10,55
2008-01-11,55
2008-01-12,55
2008-01-13,55
2008-01-14,55
2008-01-15,54
2008-01-16,54
2008-01-17,54
2008-01-18,54
2008-01-19,53
2008-01-20,53
2008-01-21,53
2008-01-22,53
2008-01-23,53
2008-01-24,52
2008-01-25,52
2008-01-26,52
2008-01-27,52
2008-01-28,51
2008-01-29,51
2008-01-30,51
2008-01-31,51
2008-02-01,51
2008-02-02,50
2008-02-03,49
2008-02-04,49
2008-02-05,48
2008-02-06,47
2008-02-07,47
2008-02-08,46
2008-02-09,45
2008-02-10,45
2008-02-11,44
2008-02-12,43
2008-02-13,43
2008-02-14,42
2008-02-15,41
2008-02-16,41
2008-02-17,40
2008-02-18,39
2008-02-19,39
2008-02-20,38
2008-02-21,37
2008-02-22,37
2008-02-23,36
2008-02-24,35
2008-02-25,35
2008-02-26,34
2008-02-27,33
2008-02-28,33
2008-02-29,32
2008-03-01,32
2008-03-02,32
2008-03-03,33
2008-03-04,34
2008-03-05,35
2008-03-06,36
2008-03-07,37
2008-03-08,38
2008-03-09,39
2008-03-10,40
2008-03-11,41
2008-03-12,41
2008-03-13,42
2008-03-14,43
2008-03-15,44
2008-03-16,45
2008-03-17,46
2008-03-18,47
2008-03-19,48
2008-03-20,49
2008-03-21,50
2008-03-22,50
2008-03-23,51
2008-03-24,52
2008-03-25,53
2008-03-26,54
2008-03-27,55
2008-03-28,56
2008-03-29,57
2008-03-30,58
2008-03-31,59
2008-04-01,60
2008-04-02,61
2008-04-03,62
2008-04-04,64
2008-04-05,65
2008-04-06,66
2008-04-07,68
2008-04-08,69
2008-04-09,70
2008-04-10,72
2008-04-11,73
2008-04-12,74
2008-04-13,76
2008-04-14,77
2008-04-15,78
2008-04-16,80
2008-04-17,81
2008-04-18,82
2008-04-19,84
2008-04-20,85
2008-04-21,86
2008-04-22,88
2008-04-23,89
2008-04-24,90
2008-04-25,92
2008-04-26,93
2008-04-27,94
2008-04-28,96
2008-04-29,97
2008-04-30,98
2008-05-01,100
2008-05-02,98
2008-05-03,96
2008-05-04,95
2008-05-05,93
2008-05-06,91
2008-05-07,90
2008-05-08,88
2008-05-09,86
