Date,HD Supply
2012-10-01,73
2012-10-02,72
2012-10-03,72
2012-10-04,74
2012-10-05,70
2012-10-06,78
2012-10-07,75
2012-10-08,69
2012-10-09,68
2012-10-10,69
2012-10-11,67
2012-10-12,69
2012-10-13,74
2012-10-14,70
2012-10-15,66
2012-10-16,67
2012-10-17,66
2012-10-18,64
2012-10-19,65
2012-10-20,70
2012-10-21,70
2012-10-22,64
2012-10-23,66
2012-10-24,65
2012-10-25,64
2012-10-26,69
2012-10-27,76
2012-10-28,64
2012-10-29,64
2012-10-30,64
2012-10-31,64
2012-11-01,64
2012-11-02,64
2012-11-03,77
2012-11-04,64
2012-11-05,64
2012-11-06,70
2012-11-07,65
2012-11-08,65
2012-11-09,65
2012-11-10,78
2012-11-11,65
2012-11-12,65
2012-11-13,65
2012-11-14,65
2012-11-15,66
2012-11-16,65
2012-11-17,76
2012-11-18,61
2012-11-19,58
2012-11-20,58
2012-11-21,53
2012-11-22,55
2012-11-23,46
2012-11-24,43
2012-11-25,45
2012-11-26,48
2012-11-27,50
2012-11-28,53
2012-11-29,55
2012-11-30,62
2012-12-01,66
2012-12-02,65
2012-12-03,62
2012-12-04,63
2012-12-05,66
2012-12-06,65
2012-12-07,66
2012-12-08,77
2012-12-09,68
2012-12-10,67
2012-12-11,68
2012-12-12,68
2012-12-13,71
2012-12-14,69
2012-12-15,77
2012-12-16,73
2012-12-17,66
2012-12-18,65
2012-12-19,66
2012-12-20,64
2012-12-21,62
2012-12-22,64
2012-12-23,64
2012-12-24,55
2012-12-25,55
2012-12-26,50
2012-12-27,48
2012-12-28,48
2012-12-29,48
2012-12-30,49
2012-12-31,47
2013-01-01,49
2013-01-02,50
2013-01-03,52
2013-01-04,54
2013-01-05,62
2013-01-06,64
2013-01-07,61
2013-01-08,64
2013-01-09,67
2013-01-10,73
2013-01-11,73
2013-01-12,84
2013-01-13,81
2013-01-14,74
2013-01-15,73
2013-01-16,73
2013-01-17,71
2013-01-18,74
2013-01-19,76
2013-01-20,76
2013-01-21,69
2013-01-22,69
2013-01-23,72
2013-01-24,69
2013-01-25,69
2013-01-26,80
2013-01-27,71
2013-01-28,72
2013-01-29,73
2013-01-30,74
2013-01-31,78
2013-02-01,76
2013-02-02,86
2013-02-03,77
2013-02-04,74
2013-02-05,73
2013-02-06,72
2013-02-07,72
2013-02-08,70
2013-02-09,81
2013-02-10,69
2013-02-11,69
2013-02-12,70
2013-02-13,71
2013-02-14,72
2013-02-15,74
2013-02-16,78
2013-02-17,74
2013-02-18,71
2013-02-19,71
2013-02-20,73
2013-02-21,70
2013-02-22,73
2013-02-23,77
2013-02-24,70
2013-02-25,68
2013-02-26,67
2013-02-27,66
2013-02-28,68
2013-03-01,64
2013-03-02,72
2013-03-03,66
2013-03-04,68
2013-03-05,70
2013-03-06,72
2013-03-07,80
2013-03-08,76
2013-03-09,90
2013-03-10,82
2013-03-11,78
2013-03-12,78
2013-03-13,81
2013-03-14,78
2013-03-15,80
2013-03-16,85
2013-03-17,85
2013-03-18,76
2013-03-19,76
2013-03-20,78
2013-03-21,75
2013-03-22,75
2013-03-23,81
2013-03-24,80
2013-03-25,72
2013-03-26,72
2013-03-27,72
2013-03-28,74
2013-03-29,70
2013-03-30,80
2013-03-31,70
2013-04-01,70
2013-04-02,71
2013-04-03,71
2013-04-04,71
2013-04-05,74
2013-04-06,82
2013-04-07,72
2013-04-08,72
2013-04-09,72
2013-04-10,72
2013-04-11,72
2013-04-12,72
2013-04-13,83
2013-04-14,72
2013-04-15,72
2013-04-16,72
2013-04-17,72
2013-04-18,75
2013-04-19,74
2013-04-20,83
2013-04-21,75
2013-04-22,74
2013-04-23,75
2013-04-24,75
2013-04-25,77
2013-04-26,78
2013-04-27,92
2013-04-28,78
2013-04-29,76
2013-04-30,76
2013-05-01,75
2013-05-02,78
2013-05-03,74
2013-05-04,83
2013-05-05,80
2013-05-06,74
2013-05-07,74
2013-05-08,75
2013-05-09,75
2013-05-10,79
2013-05-11,87
2013-05-12,78
2013-05-13,74
2013-05-14,73
2013-05-15,74
2013-05-16,71
2013-05-17,70
2013-05-18,79
2013-05-19,70
2013-05-20,68
2013-05-21,68
2013-05-22,68
2013-05-23,71
2013-05-24,70
2013-05-25,76
2013-05-26,70
2013-05-27,66
2013-05-28,65
2013-05-29,64
2013-05-30,63
2013-05-31,62
2013-06-01,69
2013-06-02,73
2013-06-03,67
2013-06-04,70
2013-06-05,75
2013-06-06,75
2013-06-07,80
2013-06-08,87
2013-06-09,90
2013-06-10,80
2013-06-11,80
2013-06-12,83
2013-06-13,79
2013-06-14,79
2013-06-15,90
2013-06-16,81
2013-06-17,78
2013-06-18,78
2013-06-19,81
2013-06-20,77
2013-06-21,77
2013-06-22,84
2013-06-23,86
2013-06-24,83
2013-06-25,86
2013-06-26,92
2013-06-27,93
2013-06-28,102
2013-06-29,112
2013-06-30,101
2013-07-01,90
2013-07-02,86
