Date,Norwegian Cruise Line Holdings
2011-01-08,100
2011-01-09,99
2011-01-10,98
2011-01-11,99
2011-01-12,96
2011-01-13,96
2011-01-14,94
2011-01-15,93
2011-01-16,93
2011-01-17,93
2011-01-18,94
2011-01-19,94
2011-01-20,97
2011-01-21,95
2011-01-22,96
2011-01-23,94
2011-01-24,96
2011-01-25,91
2011-01-26,90
2011-01-27,91
2011-01-28,87
2011-01-29,86
2011-01-30,84
2011-01-31,85
2011-02-01,82
2011-02-02,84
2011-02-03,81
2011-02-04,79
2011-02-05,78
2011-02-06,77
2011-02-07,78
2011-02-08,77
2011-02-09,79
2011-02-10,76
2011-02-11,78
2011-02-12,76
2011-02-13,76
2011-02-14,77
2011-02-15,76
2011-02-16,76
2011-02-17,76
2011-02-18,77
2011-02-19,76
2011-02-20,75
2011-02-21,75
2011-02-22,74
2011-02-23,73
2011-02-24,73
2011-02-25,72
2011-02-26,71
2011-02-27,71
2011-02-28,73
2011-03-01,72
2011-03-02,72
2011-03-03,75
2011-03-04,73
2011-03-05,74
2011-03-06,73
2011-03-07,72
2011-03-08,74
2011-03-09,71
2011-03-10,71
2011-03-11,70
2011-03-12,71
2011-03-13,69
2011-03-14,68
2011-03-15,67
2011-03-16,67
2011-03-17,66
2011-03-18,64
2011-03-19,64
2011-03-20,64
2011-03-21,64
2011-03-22,65
2011-03-23,64
2011-03-24,64
2011-03-25,65
2011-03-26,65
2011-03-27,64
2011-03-28,65
2011-03-29,64
2011-03-30,64
2011-03-31,64
2011-04-01,64
2011-04-02,65
2011-04-03,63
2011-04-04,64
2011-04-05,62
2011-04-06,62
2011-04-07,61
2011-04-08,62
2011-04-09,61
2011-04-10,60
2011-04-11,60
2011-04-12,60
2011-04-13,60
2011-04-14,60
2011-04-15,59
2011-04-16,59
2011-04-17,58
2011-04-18,58
2011-04-19,58
2011-04-20,59
2011-04-21,58
2011-04-22,58
2011-04-23,59
2011-04-24,57
2011-04-25,57
2011-04-26,58
2011-04-27,57
2011-04-28,58
2011-04-29,57
2011-04-30,57
2011-05-01,57
2011-05-02,57
2011-05-03,58
2011-05-04,58
2011-05-05,59
2011-05-06,59
2011-05-07,59
2011-05-08,59
2011-05-09,59
2011-05-10,60
2011-05-11,59
2011-05-12,60
2011-05-13,60
2011-05-14,60
2011-05-15,60
2011-05-16,60
2011-05-17,61
2011-05-18,60
2011-05-19,60
2011-05-20,62
2011-05-21,61
2011-05-22,61
2011-05-23,61
2011-05-24,62
2011-05-25,61
2011-05-26,61
2011-05-27,63
2011-05-28,62
2011-05-29,61
2011-05-30,61
2011-05-31,60
2011-06-01,60
2011-06-02,61
2011-06-03,60
2011-06-04,59
2011-06-05,59
2011-06-06,59
2011-06-07,59
2011-06-08,59
2011-06-09,61
2011-06-10,59
2011-06-11,60
2011-06-12,60
2011-06-13,62
2011-06-14,61
2011-06-15,61
2011-06-16,63
2011-06-17,62
2011-06-18,63
2011-06-19,63
2011-06-20,64
2011-06-21,64
2011-06-22,64
2011-06-23,65
2011-06-24,66
2011-06-25,66
2011-06-26,65
2011-06-27,65
2011-06-28,63
2011-06-29,63
2011-06-30,63
2011-07-01,61
2011-07-02,62
2011-07-03,61
2011-07-04,61
2011-07-05,61
2011-07-06,61
2011-07-07,61
2011-07-08,62
2011-07-09,61
2011-07-10,61
2011-07-11,62
2011-07-12,63
2011-07-13,64
2011-07-14,65
2011-07-15,65
2011-07-16,66
2011-07-17,67
2011-07-18,68
2011-07-19,72
2011-07-20,71
2011-07-21,72
2011-07-22,73
2011-07-23,75
2011-07-24,75
2011-07-25,75
2011-07-26,75
2011-07-27,77
2011-07-28,77
2011-07-29,75
2011-07-30,76
2011-07-31,75
2011-08-01,74
2011-08-02,74
2011-08-03,73
2011-08-04,71
2011-08-05,70
2011-08-06,70
2011-08-07,68
2011-08-08,67
2011-08-09,68
2011-08-10,65
2011-08-11,65
2011-08-12,63
2011-08-13,62
2011-08-14,62
2011-08-15,63
2011-08-16,64
2011-08-17,64
2011-08-18,67
2011-08-19,65
2011-08-20,66
2011-08-21,65
2011-08-22,65
2011-08-23,65
2011-08-24,63
2011-08-25,63
2011-08-26,61
2011-08-27,61
2011-08-28,60
2011-08-29,59
2011-08-30,60
2011-08-31,58
2011-09-01,58
2011-09-02,57
2011-09-03,57
2011-09-04,58
2011-09-05,56
2011-09-06,57
2011-09-07,57
2011-09-08,57
2011-09-09,56
2011-09-10,57
2011-09-11,56
2011-09-12,57
2011-09-13,58
2011-09-14,60
2011-09-15,59
2011-09-16,61
2011-09-17,62
2011-09-18,60
2011-09-19,60
2011-09-20,61
2011-09-21,59
2011-09-22,59
2011-09-23,59
2011-09-24,58
2011-09-25,57
2011-09-26,57
2011-09-27,58
2011-09-28,56
2011-09-29,56
2011-09-30,58
2011-10-01,56
2011-10-02,55
2011-10-03,55
2011-10-04,55
2011-10-05,55
2011-10-06,55
2011-10-07,54
2011-10-08,54
2011-10-09,54
2011-10-10,55
2011-10-11,54
2011-10-12,55
2011-10-13,55
2011-10-14,56
2011-10-15,56
2011-10-16,55
2011-10-17,54
2011-10-18,54
2011-10-19,53
2011-10-20,53
2011-10-21,54
2011-10-22,52
2011-10-23,51
2011-10-24,51
2011-10-25,51
2011-10-26,50
2011-10-27,50
2011-10-28,50
2011-10-29,51
2011-10-30,49
2011-10-31,49
2011-11-01,48
2011-11-02,48
2011-11-03,48
2011-11-04,47
2011-11-05,47
2011-11-06,47
2011-11-07,47
2011-11-08,49
2011-11-09,48
