Date,Vocera Communications
2011-02-06,43
2011-02-07,43
2011-02-08,42
2011-02-09,42
2011-02-10,41
2011-02-11,41
2011-02-12,41
2011-02-13,42
2011-02-14,44
2011-02-15,46
2011-02-16,48
2011-02-17,50
2011-02-18,52
2011-02-19,54
2011-02-20,52
2011-02-21,50
2011-02-22,49
2011-02-23,47
2011-02-24,45
2011-02-25,43
2011-02-26,42
2011-02-27,43
2011-02-28,43
2011-03-01,44
2011-03-02,45
2011-03-03,46
2011-03-04,47
2011-03-05,48
2011-03-06,48
2011-03-07,49
2011-03-08,49
2011-03-09,50
2011-03-10,50
2011-03-11,51
2011-03-12,51
2011-03-13,49
2011-03-14,46
2011-03-15,43
2011-03-16,41
2011-03-17,38
2011-03-18,36
2011-03-19,34
2011-03-20,34
2011-03-21,35
2011-03-22,35
2011-03-23,36
2011-03-24,37
2011-03-25,37
2011-03-26,38
2011-03-27,37
2011-05-01,49
2011-05-02,48
2011-05-03,46
2011-05-04,44
2011-05-05,43
2011-05-06,41
2011-05-07,40
2011-05-08,40
2011-05-09,40
2011-05-10,40
2011-05-11,40
2011-05-12,40
2011-05-13,40
2011-05-14,41
2011-05-15,44
2011-05-16,47
2011-05-17,50
2011-05-18,54
2011-05-19,57
2011-05-20,60
2011-05-21,64
2011-05-22,61
2011-05-23,59
2011-05-24,57
2011-05-25,55
2011-05-26,52
2011-05-27,50
2011-05-28,48
2011-05-29,47
2011-05-30,46
2011-05-31,46
2011-06-01,45
2011-06-02,45
2011-06-03,44
2011-06-04,44
2011-06-05,45
2011-06-06,46
2011-06-07,48
2011-06-08,49
2011-06-09,50
2011-06-10,52
2011-06-11,53
2011-06-12,52
2011-06-13,50
2011-06-14,49
2011-06-15,48
2011-06-16,47
2011-06-17,46
2011-06-18,45
2011-06-19,46
2011-06-20,48
2011-06-21,50
2011-06-22,51
2011-06-23,53
2011-06-24,54
2011-06-25,56
2011-06-26,53
2011-06-27,49
2011-06-28,46
2011-06-29,43
2011-06-30,39
2011-07-01,36
2011-07-02,33
2011-07-03,32
2011-07-04,31
2011-07-05,30
2011-07-06,30
2011-07-07,29
2011-07-08,28
2011-07-09,28
2011-07-10,29
2011-07-11,31
2011-07-12,32
2011-07-13,34
2011-07-14,35
2011-07-15,37
2011-07-16,39
2011-07-17,39
2011-07-18,38
2011-07-19,38
2011-07-20,38
2011-07-21,38
2011-07-22,38
2011-07-23,38
2011-07-24,39
2011-07-25,40
2011-07-26,41
2011-07-27,43
2011-07-28,44
2011-07-29,45
2011-07-30,47
2011-07-31,48
2011-08-07,57
2011-08-08,57
2011-08-09,55
2011-08-10,54
2011-08-11,53
2011-08-12,52
2011-08-13,51
2011-08-14,51
2011-08-15,50
2011-08-16,50
2011-08-17,49
2011-08-18,49
2011-08-19,49
2011-08-20,49
2011-08-21,48
2011-08-22,48
2011-08-23,47
2011-08-24,47
2011-08-25,46
2011-08-26,46
2011-08-27,45
2011-08-28,44
2011-08-29,43
2011-08-30,42
2011-08-31,41
2011-09-01,40
2011-09-02,39
2011-09-03,39
2011-09-04,37
2011-09-05,35
2011-09-06,34
2011-09-07,32
2011-09-08,31
2011-09-09,29
2011-09-10,28
2011-09-11,27
2011-09-12,27
2011-09-13,26
2011-09-14,26
2011-09-15,25
2011-09-16,25
2011-09-17,25
2011-09-18,26
2011-09-19,27
2011-09-20,28
2011-09-21,30
2011-09-22,31
2011-09-23,32
2011-09-24,34
2011-09-25,33
2011-09-26,33
2011-09-27,33
2011-09-28,32
2011-09-29,32
2011-09-30,32
2011-10-01,32
2011-10-02,34
2011-10-03,36
2011-10-04,38
2011-10-05,40
2011-10-06,42
2011-10-07,44
2011-10-08,46
2011-10-09,45
2011-10-10,43
2011-10-11,42
2011-10-12,41
2011-10-13,40
2011-10-14,39
2011-10-15,38
2011-10-16,38
2011-10-17,38
2011-10-18,39
2011-10-19,39
2011-10-20,39
2011-10-21,40
2011-10-22,40
2011-10-23,40
2011-10-24,41
2011-10-25,41
2011-10-26,42
2011-10-27,42
2011-10-28,43
2011-10-29,44
2011-10-30,44
2011-11-06,47
2011-11-07,50
2011-11-08,53
2011-11-09,56
2011-11-10,58
2011-11-11,61
2011-11-12,64
2011-11-13,62
2011-11-14,61
2011-11-15,59
2011-11-16,57
2011-11-17,56
2011-11-18,54
2011-11-19,52
2011-11-20,48
2011-11-21,43
2011-11-22,38
2011-11-23,34
2011-11-24,29
2011-11-25,25
2011-11-26,21
2011-11-27,25
2011-11-28,29
2011-11-29,33
2011-11-30,37
2011-12-01,41
2011-12-02,45
2011-12-03,49
2011-12-04,47
2011-12-05,44
2011-12-06,42
2011-12-07,39
2011-12-08,37
2011-12-09,35
2011-12-10,33
2011-12-11,33
2011-12-12,34
2011-12-13,35
2011-12-14,36
2011-12-15,36
2011-12-16,37
2011-12-17,38
2011-12-18,38
2011-12-19,38
2011-12-20,38
2011-12-21,38
2011-12-22,38
2011-12-23,38
2011-12-24,39
2011-12-25,36
2011-12-26,34
2011-12-27,32
2011-12-28,29
2011-12-29,27
2011-12-30,25
2011-12-31,23
2012-01-01,23
2012-01-02,23
2012-01-03,23
2012-01-04,24
2012-01-05,24
2012-01-06,24
2012-01-07,25
2012-01-08,26
2012-01-09,28
2012-01-10,30
2012-01-11,31
2012-01-12,33
2012-01-13,35
2012-01-14,37
2012-01-15,37
2012-01-16,38
2012-01-17,39
2012-01-18,39
2012-01-19,40
2012-01-20,41
2012-01-21,42
2012-01-22,42
2012-01-23,42
2012-01-24,43
2012-01-25,43
2012-01-26,44
2012-01-27,44
2012-01-28,45
2012-01-29,44
2012-02-05,40
2012-02-06,39
2012-02-07,39
2012-02-08,38
2012-02-09,38
2012-02-10,37
2012-02-11,37
2012-02-12,37
2012-02-13,37
2012-02-14,37
2012-02-15,37
2012-02-16,37
2012-02-17,37
2012-02-18,37
2012-02-19,36
2012-02-20,36
2012-02-21,36
2012-02-22,35
2012-02-23,35
2012-02-24,35
2012-02-25,35
2012-02-26,34
2012-02-27,34
2012-02-28,33
2012-02-29,33
2012-03-01,32
2012-03-02,32
2012-03-03,32
2012-03-04,32
2012-03-05,32
2012-03-06,32
2012-03-07,32
2012-03-08,32
2012-03-09,32
2012-03-10,33
2012-03-11,33
2012-03-12,33
2012-03-13,34
2012-03-14,34
2012-03-15,35
2012-03-16,35
2012-03-17,36
2012-03-18,36
2012-03-19,37
2012-03-20,38
2012-03-21,38
2012-03-22,39
2012-03-23,40
2012-03-24,41
2012-03-25,49
2012-03-26,58
2012-03-27,67
2012-03-28,76
2012-03-29,85
2012-03-30,94
2012-03-31,103
2012-04-01,95
2012-04-02,84
2012-04-03,76
2012-04-04,68
2012-04-05,60
2012-04-06,52
2012-04-07,44
2012-04-08,42
2012-04-09,40
2012-04-10,38
2012-04-11,37
2012-04-12,35
2012-04-13,33
2012-04-14,32
2012-04-15,33
2012-04-16,34
2012-04-17,36
2012-04-18,37
2012-04-19,39
2012-04-20,40
2012-04-21,42
2012-04-22,42
2012-04-23,42
2012-04-24,42
2012-04-25,43
2012-04-26,43
2012-04-27,43
2012-04-28,43
2012-04-29,41
2012-05-06,28
2012-05-07,28
2012-05-08,28
2012-05-09,29
2012-05-10,29
2012-05-11,29
2012-05-12,30
2012-05-13,30
2012-05-14,30
2012-05-15,30
2012-05-16,30
2012-05-17,30
2012-05-18,30
2012-05-19,31
2012-05-20,33
2012-05-21,35
2012-05-22,37
2012-05-23,39
2012-05-24,41
2012-05-25,44
2012-05-26,46
2012-05-27,44
2012-05-28,42
2012-05-29,40
2012-05-30,39
2012-05-31,37
2012-06-01,35
2012-06-02,34
2012-06-03,35
2012-06-04,37
2012-06-05,38
2012-06-06,40
2012-06-07,41
2012-06-08,43
2012-06-09,45
2012-06-10,45
2012-06-11,45
2012-06-12,46
2012-06-13,46
2012-06-14,46
2012-06-15,46
2012-06-16,47
2012-06-17,46
2012-06-18,45
2012-06-19,44
2012-06-20,43
2012-06-21,42
2012-06-22,41
2012-06-23,40
2012-06-24,40
2012-06-25,40
2012-06-26,40
2012-06-27,41
2012-06-28,41
2012-06-29,41
2012-06-30,42
2012-07-01,41
2012-07-02,40
2012-07-03,40
2012-07-04,39
2012-07-05,39
2012-07-06,38
2012-07-07,38
2012-07-08,39
2012-07-09,40
2012-07-10,42
2012-07-11,43
2012-07-12,44
2012-07-13,46
2012-07-14,47
2012-07-15,45
2012-07-16,42
2012-07-17,40
2012-07-18,38
2012-07-19,36
2012-07-20,34
2012-07-21,32
2012-07-22,32
2012-07-23,32
2012-07-24,32
2012-07-25,33
2012-07-26,33
2012-07-27,33
2012-07-28,34
2012-07-29,34
2012-08-05,38
2012-08-06,38
2012-08-07,37
2012-08-08,37
2012-08-09,36
2012-08-10,36
2012-08-11,36
2012-08-12,37
2012-08-13,38
2012-08-14,39
2012-08-15,40
2012-08-16,41
2012-08-17,42
2012-08-18,44
2012-08-19,44
2012-08-20,44
2012-08-21,45
2012-08-22,45
2012-08-23,46
2012-08-24,46
2012-08-25,47
2012-08-26,46
2012-08-27,46
2012-08-28,45
2012-08-29,45
2012-08-30,44
2012-08-31,44
2012-09-01,44
2012-09-02,43
2012-09-03,43
2012-09-04,43
2012-09-05,42
2012-09-06,42
2012-09-07,42
2012-09-08,42
2012-09-09,41
2012-09-10,40
2012-09-11,40
2012-09-12,39
2012-09-13,39
2012-09-14,38
2012-09-15,38
2012-09-16,38
2012-09-17,39
2012-09-18,40
2012-09-19,40
2012-09-20,41
2012-09-21,42
2012-09-22,42
2012-09-23,40
2012-09-24,36
2012-09-25,34
2012-09-26,31
2012-09-27,29
2012-09-28,26
2012-09-29,24
2012-09-30,26
2012-10-01,28
2012-10-02,31
2012-10-03,33
2012-10-04,35
2012-10-05,38
2012-10-06,40
2012-10-07,39
2012-10-08,38
2012-10-09,37
2012-10-10,37
2012-10-11,36
2012-10-12,35
2012-10-13,35
2012-10-14,37
2012-10-15,39
2012-10-16,41
2012-10-17,43
2012-10-18,46
2012-10-19,48
2012-10-20,50
2012-10-21,48
2012-10-22,46
2012-10-23,44
2012-10-24,42
2012-10-25,40
2012-10-26,38
2012-10-27,36
2012-10-28,35
2012-11-04,32
2012-11-05,34
2012-11-06,36
2012-11-07,39
2012-11-08,41
2012-11-09,43
2012-11-10,45
2012-11-11,44
2012-11-12,43
2012-11-13,42
2012-11-14,41
2012-11-15,40
2012-11-16,39
2012-11-17,38
2012-11-18,37
2012-11-19,37
2012-11-20,37
2012-11-21,37
2012-11-22,37
2012-11-23,37
2012-11-24,37
2012-11-25,37
2012-11-26,38
2012-11-27,38
2012-11-28,38
2012-11-29,39
2012-11-30,39
2012-12-01,40
2012-12-02,40
2012-12-03,40
2012-12-04,40
2012-12-05,40
2012-12-06,40
2012-12-07,40
2012-12-08,40
2012-12-09,41
2012-12-10,42
2012-12-11,44
2012-12-12,45
2012-12-13,46
2012-12-14,47
2012-12-15,49
2012-12-16,48
2012-12-17,47
2012-12-18,46
2012-12-19,44
2012-12-20,43
2012-12-21,42
2012-12-22,41
2012-12-23,38
2012-12-24,35
2012-12-25,32
2012-12-26,29
2012-12-27,26
2012-12-28,23
2012-12-29,21
2012-12-30,22
2012-12-31,23
2013-01-01,25
2013-01-02,26
2013-01-03,28
2013-01-04,29
2013-01-05,31
2013-01-06,31
2013-01-07,32
2013-01-08,33
2013-01-09,33
2013-01-10,34
2013-01-11,35
2013-01-12,36
2013-01-13,36
2013-01-14,37
2013-01-15,38
2013-01-16,38
2013-01-17,39
2013-01-18,40
2013-01-19,41
2013-01-20,43
2013-01-21,45
2013-01-22,47
2013-01-23,49
2013-01-24,51
2013-01-25,53
2013-01-26,55
2013-01-27,52
