Date,Enphase Energy
2010-12-11,39
2010-12-12,41
2010-12-13,44
2010-12-14,47
2010-12-15,50
2010-12-16,53
2010-12-17,56
2010-12-18,59
2010-12-19,57
2010-12-20,55
2010-12-21,53
2010-12-22,52
2010-12-23,50
2010-12-24,48
2010-12-25,47
2010-12-26,47
2010-12-27,57
2010-12-28,47
2010-12-29,47
2010-12-30,47
2010-12-31,47
2011-01-01,47
2011-01-02,47
2011-01-03,47
2011-01-04,47
2011-01-05,47
2011-01-06,47
2011-01-07,47
2011-01-08,47
2011-01-09,46
2011-01-10,46
2011-01-11,46
2011-01-12,45
2011-01-13,45
2011-01-14,45
2011-01-15,45
2011-01-16,44
2011-01-17,43
2011-01-18,42
2011-01-19,41
2011-01-20,40
2011-01-21,39
2011-01-22,39
2011-01-23,39
2011-01-24,39
2011-01-25,39
2011-01-26,39
2011-01-27,39
2011-01-28,39
2011-01-29,39
2011-01-30,39
2011-01-31,39
2011-02-01,39
2011-02-02,39
2011-02-03,39
2011-02-04,39
2011-02-05,39
2011-02-06,39
2011-02-07,39
2011-02-08,39
2011-02-09,39
2011-02-10,39
2011-02-11,39
2011-02-12,39
2011-02-13,39
2011-02-14,39
2011-02-15,39
2011-02-16,39
2011-02-17,39
2011-02-18,39
2011-02-19,39
2011-02-20,40
2011-02-21,41
2011-02-22,42
2011-02-23,43
2011-02-24,44
2011-02-25,45
2011-02-26,47
2011-02-27,47
2011-03-06,53
2011-03-07,54
2011-03-08,54
2011-03-09,55
2011-03-10,56
2011-03-11,56
2011-03-12,57
2011-03-13,56
2011-03-14,55
2011-03-15,55
2011-03-16,54
2011-03-17,54
2011-03-18,53
2011-03-19,53
2011-03-20,53
2011-03-21,53
2011-03-22,53
2011-03-23,53
2011-03-24,53
2011-03-25,53
2011-03-26,53
2011-03-27,54
2011-03-28,55
2011-03-29,56
2011-03-30,57
2011-03-31,58
2011-04-01,59
2011-04-02,61
2011-04-03,60
2011-04-04,60
2011-04-05,59
2011-04-06,59
2011-04-07,58
2011-04-08,58
2011-04-09,58
2011-04-10,59
2011-04-11,60
2011-04-12,61
2011-04-13,62
2011-04-14,63
2011-04-15,65
2011-04-16,66
2011-04-17,63
2011-04-18,59
2011-04-19,56
2011-04-20,54
2011-04-21,51
2011-04-22,48
2011-04-23,46
2011-04-24,47
