Date,Insight Management
2009-07-05,63
2009-07-06,63
2009-07-07,63
2009-07-08,63
2009-07-09,63
2009-07-10,63
2009-07-11,64
2009-07-12,65
2009-07-13,66
2009-07-14,67
2009-07-15,68
2009-07-16,69
2009-07-17,70
2009-07-18,71
2009-07-19,73
2009-07-20,76
2009-07-21,79
2009-07-22,81
2009-07-23,84
2009-07-24,86
2009-07-25,89
2009-07-26,85
2009-07-27,81
2009-07-28,78
2009-07-29,74
2009-07-30,71
2009-07-31,67
2009-08-01,64
2009-08-02,64
2009-08-03,65
2009-08-04,66
2009-08-05,66
2009-08-06,67
2009-08-07,68
2009-08-08,69
2009-08-09,73
2009-08-10,77
2009-08-11,82
2009-08-12,86
2009-08-13,90
2009-08-14,94
2009-08-15,98
2009-08-16,95
2009-08-17,91
2009-08-18,88
2009-08-19,84
2009-08-20,81
2009-08-21,78
2009-08-22,75
2009-08-23,77
2009-08-24,81
2009-08-25,84
2009-08-26,87
2009-08-27,90
2009-08-28,92
2009-08-29,95
2009-08-30,91
2009-08-31,85
2009-09-01,80
2009-09-02,75
2009-09-03,70
2009-09-04,65
2009-09-05,61
2009-09-06,66
2009-09-07,72
2009-09-08,77
2009-09-09,83
2009-09-10,88
2009-09-11,93
2009-09-12,99
2009-09-13,95
2009-09-14,91
2009-09-15,87
2009-09-16,83
2009-09-17,79
2009-09-18,75
2009-09-19,71
2009-09-20,69
2009-09-21,68
2009-09-22,67
2009-09-23,65
2009-09-24,64
2009-09-25,62
2009-09-26,61
2009-09-27,60
2009-10-04,54
2009-10-05,57
2009-10-06,60
2009-10-07,63
2009-10-08,66
2009-10-09,69
2009-10-10,72
2009-10-11,72
2009-10-12,74
2009-10-13,75
2009-10-14,76
2009-10-15,76
2009-10-16,77
2009-10-17,78
2009-10-18,76
2009-10-19,74
2009-10-20,72
2009-10-21,70
2009-10-22,68
2009-10-23,66
2009-10-24,65
2009-10-25,63
2009-10-26,62
2009-10-27,61
2009-10-28,60
2009-10-29,59
2009-10-30,58
2009-10-31,57
2009-11-01,60
2009-11-02,64
2009-11-03,68
2009-11-04,72
2009-11-05,76
2009-11-06,80
2009-11-07,84
2009-11-08,82
2009-11-09,80
2009-11-10,78
2009-11-11,76
2009-11-12,74
2009-11-13,72
2009-11-14,70
2009-11-15,70
2009-11-16,71
2009-11-17,72
2009-11-18,72
2009-11-19,73
2009-11-20,74
2009-11-21,74
2009-11-22,71
2009-11-23,68
2009-11-24,65
2009-11-25,62
2009-11-26,59
2009-11-27,56
2009-11-28,53
2009-11-29,55
2009-11-30,57
2009-12-01,59
2009-12-02,61
2009-12-03,63
2009-12-04,65
2009-12-05,67
2009-12-06,66
2009-12-07,66
2009-12-08,65
2009-12-09,65
2009-12-10,65
2009-12-11,64
2009-12-12,64
2009-12-13,63
2009-12-14,63
2009-12-15,62
2009-12-16,62
2009-12-17,61
2009-12-18,61
2009-12-19,60
2009-12-20,58
2009-12-21,56
2009-12-22,54
2009-12-23,52
2009-12-24,50
2009-12-25,49
2009-12-26,48
2009-12-27,43
2010-01-03,44
2010-01-04,48
2010-01-05,52
2010-01-06,55
2010-01-07,59
2010-01-08,63
2010-01-09,67
2010-01-10,67
2010-01-11,67
2010-01-12,67
2010-01-13,67
2010-01-14,68
2010-01-15,68
2010-01-16,68
2010-01-17,66
2010-01-18,64
2010-01-19,62
2010-01-20,61
2010-01-21,59
2010-01-22,57
2010-01-23,56
2010-01-24,55
2010-01-25,55
2010-01-26,55
2010-01-27,55
2010-01-28,55
2010-01-29,55
2010-01-30,55
2010-01-31,58
2010-02-01,61
2010-02-02,64
2010-02-03,67
2010-02-04,70
2010-02-05,73
2010-02-06,76
2010-02-07,74
2010-02-08,73
2010-02-09,72
2010-02-10,70
2010-02-11,69
2010-02-12,68
2010-02-13,67
2010-02-14,65
2010-02-15,63
2010-02-16,61
2010-02-17,59
2010-02-18,57
2010-02-19,55
2010-02-20,53
2010-02-21,54
2010-02-22,56
2010-02-23,58
2010-02-24,60
2010-02-25,61
2010-02-26,63
2010-02-27,65
2010-02-28,63
2010-03-01,61
2010-03-02,59
2010-03-03,57
2010-03-04,55
2010-03-05,53
2010-03-06,51
2010-03-07,52
2010-03-08,54
2010-03-09,55
2010-03-10,57
2010-03-11,58
2010-03-12,60
2010-03-13,62
2010-03-14,61
2010-03-15,60
2010-03-16,59
2010-03-17,58
2010-03-18,57
2010-03-19,56
2010-03-20,56
2010-03-21,57
2010-03-22,60
2010-03-23,62
2010-03-24,64
2010-03-25,65
2010-03-26,67
2010-03-27,69
2010-03-28,68
2010-04-04,58
2010-04-05,55
2010-04-06,53
2010-04-07,50
2010-04-08,48
2010-04-09,45
2010-04-10,43
2010-04-11,44
2010-04-12,45
2010-04-13,46
2010-04-14,47
2010-04-15,48
2010-04-16,49
2010-04-17,51
2010-04-18,54
2010-04-19,57
2010-04-20,60
2010-04-21,64
2010-04-22,67
2010-04-23,70
2010-04-24,73
2010-04-25,73
2010-04-26,71
2010-04-27,70
2010-04-28,69
2010-04-29,68
2010-04-30,67
2010-05-01,67
2010-05-02,69
2010-05-03,72
2010-05-04,75
2010-05-05,77
2010-05-06,80
2010-05-07,82
2010-05-08,85
2010-05-09,79
2010-05-10,73
2010-05-11,67
2010-05-12,61
2010-05-13,56
2010-05-14,50
2010-05-15,44
2010-05-16,44
2010-05-17,44
2010-05-18,44
2010-05-19,44
2010-05-20,44
2010-05-21,44
2010-05-22,44
2010-05-23,45
2010-05-24,47
2010-05-25,49
2010-05-26,51
2010-05-27,52
2010-05-28,54
2010-05-29,56
2010-05-30,57
2010-05-31,58
2010-06-01,59
2010-06-02,60
2010-06-03,61
2010-06-04,62
2010-06-05,63
2010-06-06,63
2010-06-07,64
2010-06-08,64
2010-06-09,65
2010-06-10,66
2010-06-11,66
2010-06-12,67
2010-06-13,65
2010-06-14,63
2010-06-15,61
2010-06-16,59
2010-06-17,57
2010-06-18,55
2010-06-19,54
2010-06-20,55
2010-06-21,56
2010-06-22,58
2010-06-23,59
2010-06-24,61
2010-06-25,62
2010-06-26,64
2010-06-27,61
2010-07-04,50
2010-07-05,52
2010-07-06,53
2010-07-07,55
2010-07-08,56
2010-07-09,58
2010-07-10,60
2010-07-11,61
2010-07-12,63
2010-07-13,64
2010-07-14,66
2010-07-15,67
2010-07-16,69
2010-07-17,71
2010-07-18,73
2010-07-19,76
2010-07-20,78
2010-07-21,81
2010-07-22,83
2010-07-23,85
2010-07-24,88
2010-07-25,82
2010-07-26,74
2010-07-27,68
2010-07-28,62
2010-07-29,56
2010-07-30,50
2010-07-31,44
2010-08-01,46
2010-08-02,48
2010-08-03,51
2010-08-04,53
2010-08-05,55
2010-08-06,58
2010-08-07,60
2010-08-08,57
2010-08-09,54
2010-08-10,52
2010-08-11,49
2010-08-12,47
2010-08-13,44
2010-08-14,42
2010-08-15,44
2010-08-16,47
2010-08-17,50
2010-08-18,53
2010-08-19,56
2010-08-20,59
2010-08-21,62
2010-08-22,63
2010-08-23,65
2010-08-24,67
2010-08-25,69
2010-08-26,71
2010-08-27,72
2010-08-28,74
2010-08-29,69
2010-08-30,64
2010-08-31,60
2010-09-01,55
2010-09-02,51
2010-09-03,46
2010-09-04,42
2010-09-05,43
2010-09-06,45
2010-09-07,47
2010-09-08,49
2010-09-09,51
2010-09-10,53
2010-09-11,55
2010-09-12,55
2010-09-13,55
2010-09-14,56
2010-09-15,56
2010-09-16,57
2010-09-17,57
2010-09-18,58
2010-09-19,56
2010-09-20,55
2010-09-21,54
2010-09-22,53
2010-09-23,51
2010-09-24,50
2010-09-25,49
2010-09-26,49
2010-10-03,52
2010-10-04,54
2010-10-05,57
2010-10-06,59
2010-10-07,61
2010-10-08,63
2010-10-09,65
2010-10-10,63
2010-10-11,59
2010-10-12,57
2010-10-13,54
2010-10-14,52
2010-10-15,49
2010-10-16,47
2010-10-17,48
2010-10-18,49
2010-10-19,50
2010-10-20,51
2010-10-21,52
2010-10-22,53
2010-10-23,55
2010-10-24,55
2010-10-25,56
2010-10-26,56
2010-10-27,57
2010-10-28,58
2010-10-29,58
2010-10-30,59
2010-10-31,60
2010-11-01,62
2010-11-02,64
2010-11-03,65
2010-11-04,67
2010-11-05,69
2010-11-06,70
2010-11-07,67
2010-11-08,63
2010-11-09,60
2010-11-10,57
2010-11-11,54
2010-11-12,51
2010-11-13,48
2010-11-14,49
2010-11-15,50
2010-11-16,52
2010-11-17,53
2010-11-18,54
2010-11-19,55
2010-11-20,57
2010-11-21,57
2010-11-22,58
2010-11-23,59
2010-11-24,59
2010-11-25,60
2010-11-26,61
2010-11-27,62
2010-11-28,61
2010-11-29,60
2010-11-30,59
2010-12-01,58
2010-12-02,57
2010-12-03,56
2010-12-04,56
2010-12-05,56
2010-12-06,56
2010-12-07,56
2010-12-08,56
2010-12-09,56
2010-12-10,56
2010-12-11,56
2010-12-12,56
2010-12-13,55
2010-12-14,55
2010-12-15,55
2010-12-16,55
2010-12-17,55
2010-12-18,55
2010-12-19,56
2010-12-20,58
2010-12-21,59
2010-12-22,60
2010-12-23,62
2010-12-24,63
2010-12-25,64
2010-12-26,60
2011-01-02,35
2011-01-03,38
2011-01-04,40
2011-01-05,43
2011-01-06,45
2011-01-07,48
2011-01-08,51
2011-01-09,51
2011-01-10,52
2011-01-11,53
2011-01-12,54
2011-01-13,55
2011-01-14,56
2011-01-15,57
2011-01-16,57
2011-01-17,57
2011-01-18,57
2011-01-19,57
2011-01-20,57
2011-01-21,57
2011-01-22,58
2011-01-23,58
2011-01-24,58
2011-01-25,59
2011-01-26,59
2011-01-27,60
2011-01-28,60
2011-01-29,61
2011-01-30,59
2011-01-31,58
2011-02-01,57
2011-02-02,55
2011-02-03,54
2011-02-04,53
2011-02-05,52
2011-02-06,51
2011-02-07,50
2011-02-08,49
2011-02-09,48
2011-02-10,47
2011-02-11,46
2011-02-12,46
2011-02-13,48
2011-02-14,51
2011-02-15,54
2011-02-16,57
2011-02-17,59
2011-02-18,62
2011-02-19,65
2011-02-20,64
2011-02-21,63
2011-02-22,62
2011-02-23,62
2011-02-24,61
2011-02-25,60
2011-02-26,60
2011-02-27,58
2011-02-28,58
2011-03-01,57
2011-03-02,56
2011-03-03,54
2011-03-04,53
2011-03-05,52
2011-03-06,51
2011-03-07,49
2011-03-08,47
2011-03-09,46
2011-03-10,44
2011-03-11,43
2011-03-12,42
2011-03-13,43
2011-03-14,44
2011-03-15,45
2011-03-16,47
2011-03-17,48
2011-03-18,49
2011-03-19,51
2011-03-20,55
2011-03-21,61
2011-03-22,66
2011-03-23,71
2011-03-24,75
2011-03-25,80
2011-03-26,85
2011-03-27,81
2011-04-03,55
2011-04-04,55
2011-04-05,56
2011-04-06,56
2011-04-07,56
2011-04-08,57
2011-04-09,57
2011-04-10,56
2011-04-11,54
2011-04-12,53
2011-04-13,51
2011-04-14,50
2011-04-15,49
2011-04-16,48
2011-04-17,49
2011-04-18,50
2011-04-19,51
2011-04-20,52
2011-04-21,53
2011-04-22,54
2011-04-23,56
2011-04-24,54
2011-04-25,52
2011-04-26,51
2011-04-27,49
2011-04-28,48
2011-04-29,46
2011-04-30,45
2011-05-01,45
2011-05-02,46
2011-05-03,47
2011-05-04,47
2011-05-05,48
2011-05-06,49
2011-05-07,50
2011-05-08,49
2011-05-09,49
2011-05-10,48
2011-05-11,48
2011-05-12,47
2011-05-13,47
2011-05-14,47
2011-05-15,49
2011-05-16,52
2011-05-17,55
2011-05-18,58
2011-05-19,61
2011-05-20,63
2011-05-21,66
2011-05-22,64
2011-05-23,61
2011-05-24,59
2011-05-25,56
2011-05-26,54
2011-05-27,52
2011-05-28,50
2011-05-29,50
2011-05-30,50
2011-05-31,51
2011-06-01,51
2011-06-02,52
2011-06-03,52
2011-06-04,53
2011-06-05,53
2011-06-06,53
2011-06-07,54
2011-06-08,54
2011-06-09,54
2011-06-10,54
2011-06-11,55
2011-06-12,53
2011-06-13,52
2011-06-14,51
2011-06-15,50
2011-06-16,48
2011-06-17,47
2011-06-18,46
2011-06-19,45
2011-06-20,43
2011-06-21,42
2011-06-22,41
2011-06-23,40
2011-06-24,39
2011-06-25,38
2011-06-26,40
