Date,Capital Bank Financial
2011-12-01,62
2011-12-02,62
2011-12-03,62
2011-12-04,62
2011-12-05,63
2011-12-06,63
2011-12-07,63
2011-12-08,64
2011-12-09,64
2011-12-10,64
2011-12-11,64
2011-12-12,65
2011-12-13,65
2011-12-14,65
2011-12-15,66
2011-12-16,66
2011-12-17,66
2011-12-18,66
2011-12-19,67
2011-12-20,67
2011-12-21,67
2011-12-22,68
2011-12-23,68
2011-12-24,68
2011-12-25,68
2011-12-26,69
2011-12-27,69
2011-12-28,69
2011-12-29,70
2011-12-30,70
2011-12-31,70
2012-01-01,71
2012-01-02,70
2012-01-03,70
2012-01-04,70
2012-01-05,69
2012-01-06,69
2012-01-07,69
2012-01-08,69
2012-01-09,68
2012-01-10,68
2012-01-11,68
2012-01-12,68
2012-01-13,67
2012-01-14,67
2012-01-15,67
2012-01-16,67
2012-01-17,66
2012-01-18,66
2012-01-19,66
2012-01-20,66
2012-01-21,65
2012-01-22,65
2012-01-23,65
2012-01-24,65
2012-01-25,64
2012-01-26,64
2012-01-27,64
2012-01-28,64
2012-01-29,63
2012-01-30,63
2012-01-31,63
2012-02-01,63
2012-02-02,63
2012-02-03,64
2012-02-04,65
2012-02-05,66
2012-02-06,66
2012-02-07,67
2012-02-08,68
2012-02-09,69
2012-02-10,69
2012-02-11,70
2012-02-12,71
2012-02-13,72
2012-02-14,72
2012-02-15,73
2012-02-16,74
2012-02-17,75
2012-02-18,75
2012-02-19,76
2012-02-20,77
2012-02-21,78
2012-02-22,78
2012-02-23,79
2012-02-24,80
2012-02-25,81
2012-02-26,81
2012-02-27,82
2012-02-28,83
2012-02-29,84
2012-03-01,85
2012-03-02,83
2012-03-03,82
2012-03-04,81
2012-03-05,80
2012-03-06,79
2012-03-07,78
2012-03-08,77
2012-03-09,76
2012-03-10,75
2012-03-11,74
2012-03-12,73
2012-03-13,72
2012-03-14,71
2012-03-15,70
2012-03-16,69
2012-03-17,68
2012-03-18,67
2012-03-19,66
2012-03-20,65
2012-03-21,64
2012-03-22,63
2012-03-23,62
2012-03-24,61
2012-03-25,60
2012-03-26,59
2012-03-27,58
2012-03-28,57
2012-03-29,56
2012-03-30,55
2012-03-31,54
2012-04-01,53
2012-04-02,53
2012-04-03,54
2012-04-04,55
2012-04-05,56
2012-04-06,57
2012-04-07,58
2012-04-08,59
2012-04-09,59
2012-04-10,60
2012-04-11,61
2012-04-12,62
2012-04-13,63
2012-04-14,64
2012-04-15,65
2012-04-16,66
2012-04-17,66
2012-04-18,67
2012-04-19,68
2012-04-20,69
2012-04-21,70
2012-04-22,71
2012-04-23,72
2012-04-24,72
2012-04-25,73
2012-04-26,74
2012-04-27,75
2012-04-28,76
2012-04-29,77
2012-04-30,78
2012-05-01,79
2012-05-02,79
2012-05-03,80
2012-05-04,81
2012-05-05,81
2012-05-06,82
2012-05-07,83
2012-05-08,83
2012-05-09,84
2012-05-10,85
2012-05-11,85
2012-05-12,86
2012-05-13,87
2012-05-14,87
2012-05-15,88
2012-05-16,89
2012-05-17,89
2012-05-18,90
2012-05-19,91
2012-05-20,91
2012-05-21,92
2012-05-22,93
2012-05-23,93
2012-05-24,94
2012-05-25,95
2012-05-26,95
2012-05-27,96
2012-05-28,97
2012-05-29,97
2012-05-30,98
2012-05-31,99
2012-06-03,97
2012-06-04,96
2012-06-05,95
2012-06-06,94
2012-06-07,93
2012-06-08,92
2012-06-09,91
2012-06-10,90
2012-06-11,90
2012-06-12,89
2012-06-13,88
2012-06-14,87
2012-06-15,86
2012-06-16,85
2012-06-17,84
2012-06-18,81
2012-06-19,80
2012-06-20,79
2012-06-21,78
2012-06-22,77
2012-06-23,76
2012-06-24,75
2012-06-25,74
2012-06-26,73
2012-06-27,72
2012-06-28,71
2012-06-29,70
2012-06-30,69
2012-07-01,68
2012-07-02,67
2012-07-03,66
2012-07-04,66
2012-07-05,65
2012-07-06,65
2012-07-07,64
2012-07-08,63
2012-07-09,63
2012-07-10,62
2012-07-11,62
2012-07-12,61
2012-07-13,61
2012-07-14,60
2012-07-15,59
2012-07-16,59
2012-07-17,58
2012-07-18,58
2012-07-19,57
2012-07-20,56
2012-07-21,56
2012-07-22,55
2012-07-23,55
2012-07-24,54
2012-07-25,54
2012-07-26,53
2012-07-27,53
2012-07-28,52
2012-07-29,51
2012-07-30,51
2012-07-31,50
2012-08-01,50
2012-08-02,50
2012-08-03,50
2012-08-04,51
2012-08-05,51
2012-08-06,51
2012-08-07,52
2012-08-08,52
2012-08-09,53
2012-08-10,53
2012-08-11,53
2012-08-12,54
2012-08-13,54
2012-08-14,55
2012-08-15,55
2012-08-16,55
2012-08-17,56
2012-08-18,56
2012-08-19,56
2012-08-20,57
2012-08-21,57
2012-08-22,58
2012-08-23,58
2012-08-24,58
2012-08-25,59
2012-08-26,59
2012-09-01,62
2012-09-02,62
2012-09-03,63
2012-09-04,63
2012-09-05,64
2012-09-06,65
2012-09-07,65
2012-09-08,66
2012-09-09,67
2012-09-10,67
2012-09-11,68
2012-09-12,68
2012-09-13,69
2012-09-14,70
2012-09-15,70
2012-09-16,71
2012-09-17,72
2012-09-18,72
2012-09-19,73
2012-09-20,74
2012-09-21,74
2012-09-22,75
2012-09-23,75
2012-09-24,76
2012-09-25,77
2012-09-26,77
2012-09-27,78
2012-09-28,79
2012-09-29,79
2012-09-30,80
2012-10-01,81
2012-10-02,79
2012-10-03,77
2012-10-04,75
2012-10-05,73
2012-10-06,71
2012-10-07,70
2012-10-08,68
2012-10-09,66
2012-10-10,64
2012-10-11,62
2012-10-12,61
2012-10-13,59
2012-10-14,57
2012-10-15,55
2012-10-16,53
2012-10-17,52
2012-10-18,50
2012-10-19,48
2012-10-20,46
2012-10-21,44
2012-10-22,43
