Date,XOOM Corporation
2012-07-01,74
2012-07-02,74
2012-07-03,74
2012-07-04,76
2012-07-05,74
2012-07-06,74
2012-07-07,75
2012-07-08,80
2012-07-09,73
2012-07-10,72
2012-07-11,72
2012-07-12,72
2012-07-13,69
2012-07-14,70
2012-07-15,70
2012-07-16,71
2012-07-17,73
2012-07-18,73
2012-07-19,74
2012-07-20,75
2012-07-21,76
2012-07-22,78
2012-07-23,75
2012-07-24,75
2012-07-25,74
2012-07-26,75
2012-07-27,73
2012-07-28,73
2012-07-29,75
2012-07-30,74
2012-07-31,75
2012-08-01,77
2012-08-02,76
2012-08-03,77
2012-08-04,78
2012-08-05,80
2012-08-06,74
2012-08-07,73
2012-08-08,72
2012-08-09,69
2012-08-10,68
2012-08-11,66
2012-08-12,66
2012-08-13,67
2012-08-14,66
2012-08-15,66
2012-08-16,67
2012-08-17,66
2012-08-18,67
2012-08-19,70
2012-08-20,66
2012-08-21,65
2012-08-22,65
2012-08-23,64
2012-08-24,65
2012-08-25,64
2012-08-26,64
2012-08-27,63
2012-08-28,63
2012-08-29,63
2012-08-30,62
2012-08-31,62
2012-09-01,63
2012-09-02,63
2012-09-03,62
2012-09-04,62
2012-09-05,63
2012-09-06,62
2012-09-07,62
2012-09-08,64
2012-09-09,63
2012-09-10,61
2012-09-11,61
2012-09-12,61
2012-09-13,60
2012-09-14,59
2012-09-15,60
2012-09-16,59
2012-09-17,59
2012-09-18,60
2012-09-19,61
2012-09-20,62
2012-09-21,61
2012-09-22,63
2012-09-23,63
2012-09-24,62
2012-09-25,62
2012-09-26,64
2012-09-27,63
2012-09-28,63
2012-09-29,64
2012-09-30,66
2012-10-01,64
2012-10-02,65
2012-10-03,66
2012-10-04,66
2012-10-05,66
2012-10-06,69
2012-10-07,70
2012-10-08,64
2012-10-09,63
2012-10-10,62
2012-10-11,61
2012-10-12,60
2012-10-13,59
2012-10-14,61
2012-10-15,61
2012-10-16,62
2012-10-17,63
2012-10-18,64
2012-10-19,65
2012-10-20,66
2012-10-21,69
2012-10-22,64
2012-10-23,63
2012-10-24,65
2012-10-25,61
2012-10-26,61
2012-10-27,61
2012-10-28,60
2012-10-29,60
2012-10-30,61
2012-10-31,61
2012-11-01,61
2012-11-02,61
2012-11-03,62
2012-11-04,65
2012-11-05,62
2012-11-06,62
2012-11-07,62
2012-11-08,64
2012-11-09,62
2012-11-10,62
2012-11-11,62
2012-11-12,62
2012-11-13,62
2012-11-14,62
2012-11-15,62
2012-11-16,62
2012-11-17,64
2012-11-18,64
2012-11-19,60
2012-11-20,59
2012-11-21,58
2012-11-22,59
2012-11-23,56
2012-11-24,55
2012-11-25,57
2012-11-26,56
2012-11-27,57
2012-11-28,58
2012-11-29,60
2012-11-30,60
2012-12-01,63
2012-12-02,63
2012-12-03,61
2012-12-04,62
2012-12-05,63
2012-12-06,63
2012-12-07,63
2012-12-08,64
2012-12-09,66
2012-12-10,62
2012-12-11,61
2012-12-12,60
2012-12-13,59
2012-12-14,58
2012-12-15,57
2012-12-16,60
2012-12-17,60
2012-12-18,61
2012-12-19,63
2012-12-20,64
2012-12-21,66
2012-12-22,68
2012-12-23,69
2012-12-24,67
2012-12-25,72
2012-12-26,66
2012-12-27,67
2012-12-28,66
2012-12-29,66
2012-12-30,65
2012-12-31,64
2013-01-01,63
2013-01-02,62
2013-01-03,61
2013-01-04,61
2013-01-05,60
2013-01-06,61
2013-01-07,58
2013-01-08,57
2013-01-09,57
2013-01-10,55
2013-01-11,54
2013-01-12,55
2013-01-13,54
2013-01-14,53
2013-01-15,53
2013-01-16,55
2013-01-17,53
2013-01-18,53
2013-01-19,53
2013-01-20,55
2013-01-21,53
2013-01-22,54
2013-01-23,54
2013-01-24,54
2013-01-25,54
2013-01-26,55
2013-01-27,56
2013-01-28,55
2013-01-29,57
2013-01-30,55
2013-01-31,55
2013-02-01,55
2013-02-02,55
2013-02-03,58
2013-02-04,55
2013-02-05,55
2013-02-06,57
2013-02-07,56
2013-02-08,56
2013-02-09,57
2013-02-10,59
2013-02-11,59
2013-02-12,61
2013-02-13,61
2013-02-14,65
2013-02-15,63
2013-02-16,67
2013-02-17,69
2013-02-18,63
2013-02-19,63
2013-02-20,62
2013-02-21,61
2013-02-22,60
2013-02-23,61
2013-02-24,63
2013-02-25,60
2013-02-26,60
2013-02-27,61
2013-02-28,61
2013-03-01,61
2013-03-02,64
2013-03-03,65
2013-03-04,64
2013-03-05,65
2013-03-06,67
2013-03-07,68
2013-03-08,68
2013-03-09,70
2013-03-10,70
2013-03-11,66
2013-03-12,66
2013-03-13,63
2013-03-14,61
2013-03-15,60
2013-03-16,60
2013-03-17,60
2013-03-18,58
2013-03-19,58
2013-03-20,58
2013-03-21,57
2013-03-22,57
2013-03-23,58
2013-03-24,58
