Date,CommScope Holding
2013-02-01,74
2013-02-02,74
2013-02-03,75
2013-02-04,76
2013-02-05,77
2013-02-06,78
2013-02-07,80
2013-02-08,83
2013-02-09,86
2013-02-10,80
2013-02-11,78
2013-02-12,77
2013-02-13,78
2013-02-14,74
2013-02-15,72
2013-02-16,71
2013-02-17,73
2013-02-18,76
2013-02-19,79
2013-02-20,81
2013-02-21,86
2013-02-22,87
2013-02-23,96
2013-02-24,87
2013-02-25,85
2013-02-26,83
2013-02-27,81
2013-02-28,82
2013-03-01,77
2013-03-02,80
2013-03-03,72
2013-03-04,70
2013-03-05,68
2013-03-06,71
2013-03-07,64
2013-03-08,67
2013-03-09,60
2013-03-10,63
2013-03-11,66
2013-03-12,75
2013-03-13,73
2013-03-14,76
2013-03-15,85
2013-03-16,83
2013-03-17,81
2013-03-18,80
2013-03-19,79
2013-03-20,77
2013-03-21,79
2013-03-22,79
2013-03-23,74
2013-03-24,72
2013-03-25,70
2013-03-26,68
2013-03-27,68
2013-03-28,67
2013-03-29,62
2013-03-30,60
2013-03-31,61
2013-05-01,76
2013-05-02,76
2013-05-03,76
2013-05-04,76
2013-05-05,76
2013-05-06,77
2013-05-07,78
2013-05-08,80
2013-05-09,79
2013-05-10,86
2013-05-11,81
2013-05-12,80
2013-05-13,80
2013-05-14,79
2013-05-15,80
2013-05-16,78
2013-05-17,82
2013-05-18,78
2013-05-19,78
2013-05-20,78
2013-05-21,78
2013-05-22,79
2013-05-23,82
2013-05-24,89
2013-05-25,80
2013-05-26,78
2013-05-27,77
2013-05-28,76
2013-05-29,74
2013-05-30,78
2013-05-31,72
2013-06-01,71
2013-06-02,72
2013-06-03,73
2013-06-04,77
2013-06-05,75
2013-06-06,76
2013-06-07,82
2013-06-08,79
2013-06-09,79
2013-06-10,80
2013-06-11,80
2013-06-12,81
2013-06-13,84
2013-06-14,84
2013-06-15,85
2013-06-16,82
2013-06-17,81
2013-06-18,81
2013-06-19,80
2013-06-20,82
2013-06-21,83
2013-06-22,79
2013-06-23,78
2013-06-24,78
2013-06-25,78
2013-06-26,77
2013-06-27,83
2013-06-28,77
2013-06-29,77
2013-06-30,78
2013-07-01,79
2013-07-02,81
2013-07-03,85
2013-07-04,90
2013-07-05,83
2013-07-06,87
2013-07-07,85
2013-07-08,84
2013-07-09,83
2013-07-10,87
2013-07-11,84
2013-07-12,82
2013-07-13,84
2013-07-14,81
2013-07-15,81
2013-07-16,87
2013-07-17,80
2013-07-18,80
2013-07-19,83
2013-07-20,85
2013-07-21,80
2013-07-22,80
2013-07-23,81
2013-07-24,81
2013-07-25,82
2013-07-26,90
2013-07-27,83
2013-07-28,81
2013-07-29,80
2013-07-30,80
2013-07-31,77
2013-08-01,75
2013-08-02,74
2013-08-03,75
2013-08-04,74
2013-08-05,75
2013-08-06,76
2013-08-07,77
2013-08-08,85
2013-08-09,79
2013-08-10,86
2013-08-11,78
2013-08-12,76
2013-08-13,74
2013-08-14,73
2013-08-15,76
2013-08-16,70
2013-08-17,68
2013-08-18,70
2013-08-19,73
2013-08-20,78
2013-08-21,79
2013-08-22,85
2013-08-23,88
2013-08-24,88
2013-08-25,87
2013-08-26,86
2013-08-27,86
2013-08-28,93
2013-08-29,85
2013-08-30,91
2013-08-31,87
2013-09-01,81
2013-09-02,79
2013-09-03,77
2013-09-04,75
2013-09-05,73
2013-09-06,71
2013-09-07,69
2013-09-08,70
2013-09-09,71
2013-09-10,72
2013-09-11,77
2013-09-12,78
2013-09-13,77
2013-09-14,78
2013-09-15,78
2013-09-16,78
2013-09-17,79
2013-09-18,82
2013-09-19,86
2013-09-20,80
2013-09-21,85
2013-09-22,81
2013-09-23,81
2013-09-24,85
2013-09-25,82
2013-09-26,85
2013-09-27,87
2013-09-28,90
2013-09-29,84
2013-09-30,84
2013-10-01,85
2013-10-02,86
2013-10-03,88
2013-10-04,88
2013-10-05,102
2013-10-06,87
2013-10-07,86
2013-10-08,85
2013-10-09,90
2013-10-10,83
2013-10-11,88
2013-10-12,81
2013-10-13,81
2013-10-14,81
2013-10-15,81
2013-10-16,82
2013-10-17,86
2013-10-18,81
2013-10-19,87
2013-10-20,83
2013-10-21,85
2013-10-22,87
2013-10-23,89
2013-10-24,91
2013-10-25,93
2013-10-26,110
2013-10-27,93
2013-10-28,91
2013-10-29,102
2013-10-30,88
2013-10-31,89
2013-11-01,84
2013-11-02,83
2013-11-03,82
2013-11-04,81
2013-11-05,80
2013-11-06,80
2013-11-07,79
2013-11-08,78
2013-11-09,83
2013-11-10,78
2013-11-11,78
2013-11-12,81
2013-11-13,79
2013-11-14,80
2013-11-15,81
2013-11-16,81
2013-11-17,81
2013-11-18,81
2013-11-19,81
2013-11-20,86
2013-11-21,81
2013-11-22,87
2013-11-23,90
2013-11-24,79
2013-11-25,76
2013-11-26,73
2013-11-27,73
2013-11-28,76
2013-11-29,64
2013-11-30,62
2013-12-01,62
2013-12-02,62
2013-12-03,62
2013-12-04,63
2013-12-05,62
2013-12-06,68
2013-12-07,65
2013-12-08,62
2013-12-09,63
2013-12-10,64
2013-12-11,65
2013-12-12,66
2013-12-13,66
2013-12-14,67
2013-12-15,68
2013-12-16,69
2013-12-17,71
2013-12-18,72
2013-12-19,74
2013-12-20,78
2013-12-21,79
2013-12-22,70
2013-12-23,65
2013-12-24,59
2013-12-25,57
2013-12-26,48
2013-12-27,45
2013-12-28,38
2013-12-29,38
2013-12-30,38
2013-12-31,39
2014-01-01,39
2014-01-02,39
2014-01-03,39
2014-01-04,40
2014-01-05,44
2014-01-06,49
2014-01-07,54
2014-01-08,58
2014-01-09,68
2014-01-10,68
2014-01-11,74
2014-01-12,73
2014-01-13,73
2014-01-14,73
2014-01-15,76
2014-01-16,73
2014-01-17,73
2014-01-18,83
2014-01-19,74
2014-01-20,75
2014-01-21,76
2014-01-22,83
2014-01-23,78
2014-01-24,82
2014-01-25,81
2014-01-26,81
2014-01-27,82
2014-01-28,83
2014-01-29,85
2014-01-30,84
2014-01-31,94
2014-02-01,86
2014-02-02,86
2014-02-03,86
2014-02-04,90
2014-02-05,86
2014-02-06,87
2014-02-07,94
2014-02-08,87
2014-02-09,85
2014-02-10,84
2014-02-11,82
2014-02-12,81
2014-02-13,83
2014-02-14,80
2014-02-15,79
2014-02-16,78
2014-02-17,79
2014-02-18,80
2014-02-19,83
2014-02-20,83
2014-02-21,84
2014-02-22,86
2014-02-23,88
2014-02-24,90
2014-02-25,93
2014-02-26,94
2014-02-27,100
2014-02-28,98
