Date,K12 Inc
2007-01-13,89
2007-01-14,90
2007-01-15,87
2007-01-16,86
2007-01-17,85
2007-01-18,84
2007-01-19,84
2007-01-20,87
2007-01-21,83
2007-01-22,84
2007-01-23,84
2007-01-24,85
2007-01-25,88
2007-01-26,86
2007-01-27,87
2007-01-28,86
2007-01-29,85
2007-01-30,86
2007-01-31,84
2007-02-01,83
2007-02-02,85
2007-02-03,83
2007-02-04,82
2007-02-05,81
2007-02-06,81
2007-02-07,81
2007-02-08,81
2007-02-09,81
2007-02-10,80
2007-02-11,80
2007-02-12,80
2007-02-13,80
2007-02-14,81
2007-02-15,83
2007-02-16,80
2007-02-17,83
2007-02-18,84
2007-02-19,82
2007-02-20,83
2007-02-21,83
2007-02-22,87
2007-02-23,85
2007-02-24,86
2007-02-25,88
2007-02-26,83
2007-02-27,82
2007-02-28,84
2007-03-01,80
2007-03-02,81
2007-03-03,78
2007-03-04,79
2007-03-05,78
2007-03-06,79
2007-03-07,82
2007-03-08,80
2007-03-09,80
2007-03-10,81
2007-03-11,81
2007-03-12,79
2007-03-13,79
2007-03-14,77
2007-03-15,76
2007-03-16,75
2007-03-17,76
2007-03-18,74
2007-03-19,75
2007-03-20,78
2007-03-21,77
2007-03-22,78
2007-03-23,79
2007-03-24,83
2007-03-25,80
2007-03-26,80
2007-03-27,81
2007-03-28,81
2007-03-29,80
2007-03-30,82
2007-03-31,83
2007-04-01,81
2007-04-02,81
2007-04-03,81
2007-04-04,84
2007-04-05,82
2007-04-06,82
2007-04-07,88
2007-04-08,83
2007-04-09,83
2007-04-10,84
2007-04-11,86
2007-04-12,86
2007-04-13,84
2007-04-14,87
2007-04-15,84
2007-04-16,83
2007-04-17,82
2007-04-18,84
2007-04-19,80
2007-04-20,81
2007-04-21,81
2007-04-22,80
2007-04-23,81
2007-04-24,84
2007-04-25,83
2007-04-26,87
2007-04-27,85
2007-04-28,88
2007-04-29,86
2007-04-30,86
2007-05-01,87
2007-05-02,90
2007-05-03,87
2007-05-04,87
2007-05-05,92
2007-05-06,88
2007-05-07,87
2007-05-08,89
2007-05-09,87
2007-05-10,88
2007-05-11,88
2007-05-12,87
2007-05-13,88
2007-05-14,87
2007-05-15,87
2007-05-16,87
2007-05-17,90
2007-05-18,87
2007-05-19,88
2007-05-20,87
2007-05-21,87
2007-05-22,87
2007-05-23,87
2007-05-24,87
2007-05-25,89
2007-05-26,89
2007-05-27,87
2007-05-28,90
2007-05-29,89
2007-05-30,89
2007-05-31,92
2007-06-01,92
2007-06-02,92
2007-06-03,92
2007-06-04,93
2007-06-05,93
2007-06-06,94
2007-06-07,95
2007-06-08,96
2007-06-09,100
2007-06-10,95
2007-06-11,97
2007-06-12,93
2007-06-13,95
2007-06-14,93
2007-06-15,93
2007-06-16,91
2007-06-17,90
2007-06-18,89
2007-06-19,88
2007-06-20,90
2007-06-21,87
2007-06-22,85
2007-06-23,87
2007-06-24,84
2007-06-25,84
2007-06-26,85
2007-06-27,86
2007-06-28,88
2007-06-29,85
2007-06-30,88
2007-07-01,85
2007-07-02,84
2007-07-03,83
2007-07-04,86
2007-07-05,81
2007-07-06,80
2007-07-07,83
2007-07-08,81
2007-07-09,83
2007-07-10,85
2007-07-11,87
2007-07-12,90
2007-07-13,92
2007-07-14,96
2007-07-15,93
2007-07-16,91
2007-07-17,90
2007-07-18,92
2007-07-19,88
2007-07-20,88
2007-07-21,86
2007-07-22,86
2007-07-23,85
2007-07-24,87
2007-07-25,84
2007-07-26,86
2007-07-27,85
2007-07-28,84
2007-07-29,84
2007-07-30,84
2007-07-31,88
2007-08-01,85
2007-08-02,87
2007-08-03,89
2007-08-04,87
2007-08-05,87
2007-08-06,87
2007-08-07,88
2007-08-08,87
2007-08-09,89
2007-08-10,87
2007-08-11,92
2007-08-12,88
2007-08-13,89
2007-08-14,90
2007-08-15,90
2007-08-16,92
2007-08-17,93
2007-08-18,92
2007-08-19,92
2007-08-20,90
2007-08-21,92
2007-08-22,90
2007-08-23,88
2007-08-24,88
2007-08-25,90
2007-08-26,87
