Date,Metropark usa
2007-12-01,62
2007-12-02,61
2007-12-03,61
2007-12-04,61
2007-12-05,61
2007-12-06,61
2007-12-07,61
2007-12-08,61
2007-12-09,61
2007-12-10,61
2007-12-11,61
2007-12-12,60
2007-12-13,60
2007-12-14,60
2007-12-15,60
2007-12-16,60
2007-12-17,60
2007-12-18,60
2007-12-19,60
2007-12-20,60
2007-12-21,60
2007-12-22,59
2007-12-23,59
2007-12-24,59
2007-12-25,59
2007-12-26,59
2007-12-27,59
2007-12-28,59
2007-12-29,59
2007-12-30,59
2007-12-31,59
2008-01-01,59
2008-01-02,58
2008-01-03,58
2008-01-04,58
2008-01-05,58
2008-01-06,58
2008-01-07,58
2008-01-08,58
2008-01-09,58
2008-01-10,58
2008-01-11,58
2008-01-12,58
2008-01-13,58
2008-01-14,58
2008-01-15,58
2008-01-16,58
2008-01-17,57
2008-01-18,57
2008-01-19,57
2008-01-20,57
2008-01-21,57
2008-01-22,57
2008-01-23,57
2008-01-24,57
2008-01-25,57
2008-01-26,57
2008-01-27,57
2008-01-28,57
2008-01-29,57
2008-01-30,57
2008-01-31,57
2008-02-01,57
2008-02-02,57
2008-02-03,57
2008-02-04,57
2008-02-05,57
2008-02-06,57
2008-02-07,57
2008-02-08,57
2008-02-09,57
2008-02-10,57
2008-02-11,57
2008-02-12,57
2008-02-13,57
2008-02-14,57
2008-02-15,57
2008-02-16,57
2008-02-17,57
2008-02-18,57
2008-02-19,57
2008-02-20,57
2008-02-21,57
2008-02-22,57
2008-02-23,57
2008-02-24,57
2008-02-25,57
2008-02-26,57
2008-02-27,57
2008-02-28,57
2008-02-29,57
2008-03-01,57
2008-03-02,57
2008-03-03,57
2008-03-04,57
2008-03-05,57
2008-03-06,57
2008-03-07,57
2008-03-08,57
2008-03-09,57
2008-03-10,57
2008-03-11,57
2008-03-12,57
2008-03-13,57
2008-03-14,57
2008-03-15,57
2008-03-16,57
2008-03-17,57
2008-03-18,57
2008-03-19,57
2008-03-20,57
2008-03-21,57
2008-03-22,57
2008-03-23,57
2008-03-24,57
2008-03-25,57
2008-03-26,57
2008-03-27,57
2008-03-28,57
2008-03-29,57
2008-03-30,57
2008-03-31,57
2008-04-01,57
2008-04-02,56
2008-04-03,56
2008-04-04,56
2008-04-05,56
2008-04-06,56
2008-04-07,56
2008-04-08,56
2008-04-09,56
2008-04-10,56
2008-04-11,56
2008-04-12,56
2008-04-13,56
2008-04-14,56
2008-04-15,56
2008-04-16,56
2008-04-17,56
2008-04-18,56
