Date,ARYx Therapeutics
2007-02-01,70
2007-02-02,69
2007-02-03,68
2007-02-04,67
2007-02-05,67
2007-02-06,66
2007-02-07,65
2007-02-08,65
2007-02-09,64
2007-02-10,63
2007-02-11,62
2007-02-12,62
2007-02-13,61
2007-02-14,60
2007-02-15,60
2007-02-16,59
2007-02-17,58
2007-02-18,57
2007-02-19,57
2007-02-20,56
2007-02-21,55
2007-02-22,55
2007-02-23,54
2007-02-24,53
2007-02-25,52
2007-02-26,52
2007-02-27,51
2007-02-28,50
2007-03-01,50
2007-03-02,50
2007-03-03,50
2007-03-04,50
2007-03-05,50
2007-03-06,50
2007-03-07,50
2007-03-08,50
2007-03-09,50
2007-03-10,50
2007-03-11,50
2007-03-12,50
2007-03-13,50
2007-03-14,50
2007-03-15,50
2007-03-16,50
2007-03-17,50
2007-03-18,50
2007-03-19,50
2007-03-20,50
2007-03-21,50
2007-03-22,50
2007-03-23,50
2007-03-24,50
2007-03-25,50
2007-03-26,50
2007-03-27,50
2007-03-28,50
2007-03-29,50
2007-03-30,50
2007-03-31,50
2007-04-01,50
2007-04-02,50
2007-04-03,50
2007-04-04,50
2007-04-05,50
2007-04-06,50
2007-04-07,50
2007-04-08,50
2007-04-09,50
2007-04-10,50
2007-04-11,50
2007-04-12,50
2007-04-13,50
2007-04-14,50
2007-04-15,50
2007-04-16,50
2007-04-17,50
2007-04-18,50
2007-04-19,50
2007-04-20,50
2007-04-21,50
2007-04-22,50
2007-04-23,50
2007-04-24,50
2007-04-25,50
2007-04-26,50
2007-04-27,50
2007-04-28,50
2007-04-29,50
2007-04-30,50
2007-05-01,50
2007-05-02,50
2007-05-03,50
2007-05-04,50
2007-05-05,50
2007-05-06,50
2007-05-07,50
2007-05-08,50
2007-05-09,50
2007-05-10,50
2007-05-11,50
2007-05-12,50
2007-05-13,50
2007-05-14,50
2007-05-15,50
2007-05-16,50
2007-05-17,50
2007-05-18,50
2007-05-19,50
2007-05-20,50
2007-05-21,50
2007-05-22,50
2007-05-23,50
2007-05-24,50
2007-05-25,50
2007-05-26,50
2007-05-27,50
2007-05-28,50
2007-05-29,50
2007-05-30,50
2007-05-31,50
2007-06-01,50
2007-06-02,50
2007-06-03,50
2007-06-04,50
2007-06-05,50
2007-06-06,50
2007-06-07,50
2007-06-08,50
2007-06-09,50
2007-06-10,50
2007-06-11,50
2007-06-12,50
2007-06-13,50
2007-06-14,50
2007-06-15,50
2007-06-16,50
2007-06-17,50
2007-06-18,50
2007-06-19,50
2007-06-20,50
2007-06-21,50
2007-06-22,50
2007-06-23,50
2007-06-24,50
2007-06-25,50
2007-06-26,50
2007-06-27,50
2007-06-28,50
2007-06-29,50
2007-06-30,50
2007-07-01,50
2007-07-02,50
2007-07-03,51
2007-07-04,52
2007-07-05,53
2007-07-06,54
2007-07-07,55
2007-07-08,56
2007-07-09,57
2007-07-10,58
2007-07-11,59
2007-07-12,59
2007-07-13,60
2007-07-14,61
2007-07-15,62
2007-07-16,63
2007-07-17,64
2007-07-18,65
2007-07-19,66
2007-07-20,67
2007-07-21,68
2007-07-22,68
2007-07-23,69
2007-07-24,70
2007-07-25,71
2007-07-26,72
2007-07-27,73
2007-07-28,74
2007-07-29,75
2007-07-30,76
2007-07-31,77
2007-08-01,78
2007-08-02,77
2007-08-03,76
2007-08-04,75
2007-08-05,75
2007-08-06,74
2007-08-07,73
2007-08-08,73
2007-08-09,72
2007-08-10,71
2007-08-11,71
2007-08-12,70
2007-08-13,69
2007-08-14,69
2007-08-15,68
2007-08-16,67
2007-08-17,67
2007-08-18,66
2007-08-19,65
2007-08-20,65
2007-08-21,64
2007-08-22,63
2007-08-23,63
2007-08-24,62
2007-08-25,61
2007-08-26,61
2007-08-27,60
2007-08-28,59
2007-08-29,59
2007-08-30,58
2007-08-31,57
2007-09-01,57
2007-09-02,57
2007-09-03,58
2007-09-04,59
2007-09-05,59
2007-09-06,60
2007-09-07,61
2007-09-08,61
2007-09-09,62
2007-09-10,63
2007-09-11,64
2007-09-12,64
2007-09-13,65
2007-09-14,66
2007-09-15,66
2007-09-16,67
2007-09-17,68
2007-09-18,68
