Date,Intercept Pharmaceuticals
2012-03-01,0
2012-03-02,0
2012-03-03,0
2012-03-04,0
2012-03-05,0
2012-03-06,0
2012-03-07,0
2012-03-08,0
2012-03-09,0
2012-03-10,0
2012-03-11,0
2012-03-12,0
2012-03-13,0
2012-03-14,0
2012-03-15,0
2012-03-16,0
2012-03-17,0
2012-03-18,0
2012-03-19,0
2012-03-20,0
2012-03-21,0
2012-03-22,0
2012-03-23,0
2012-03-24,0
2012-03-25,0
2012-03-26,0
2012-03-27,0
2012-03-28,0
2012-03-29,0
2012-03-30,0
2012-03-31,0
2012-04-01,0
2012-04-02,0
2012-04-03,0
2012-04-04,0
2012-04-05,0
2012-04-06,0
2012-04-07,0
2012-04-08,0
2012-04-09,0
2012-04-10,0
2012-04-11,1
2012-04-12,1
2012-04-13,1
2012-04-14,1
2012-04-15,1
2012-04-16,1
2012-04-17,1
2012-04-18,1
2012-04-19,1
2012-04-20,1
2012-04-21,2
2012-04-22,2
2012-04-23,2
2012-04-24,2
2012-04-25,2
2012-04-26,2
2012-04-27,2
2012-04-28,2
2012-04-29,2
2012-04-30,2
2012-05-01,3
2012-05-02,3
2012-05-03,3
2012-05-04,3
2012-05-05,3
2012-05-06,3
2012-05-07,3
2012-05-08,3
2012-05-09,3
2012-05-10,3
2012-05-11,3
2012-05-12,3
2012-05-13,3
2012-05-14,3
2012-05-15,3
2012-05-16,3
2012-05-17,3
2012-05-18,3
2012-05-19,3
2012-05-20,3
2012-05-21,3
2012-05-22,3
2012-05-23,3
2012-05-24,3
2012-05-25,3
2012-05-26,3
2012-05-27,3
2012-05-28,3
2012-05-29,3
2012-05-30,3
2012-05-31,3
2012-06-01,3
2012-06-02,3
2012-06-03,3
2012-06-04,3
2012-06-05,3
2012-06-06,3
2012-06-07,3
2012-06-08,3
2012-06-09,3
2012-06-10,3
2012-06-11,3
2012-06-12,3
2012-06-13,3
2012-06-14,3
2012-06-15,3
2012-06-16,3
2012-06-17,3
2012-06-18,3
2012-06-19,3
2012-06-20,3
2012-06-21,3
2012-06-22,3
2012-06-23,3
2012-06-24,3
2012-06-25,3
2012-06-26,3
2012-06-27,3
2012-06-28,3
2012-06-29,3
2012-06-30,3
2012-07-01,3
2012-07-02,3
2012-07-03,3
2012-07-04,3
2012-07-05,3
2012-07-06,3
2012-07-07,3
2012-07-08,3
2012-07-09,3
2012-07-10,3
2012-07-11,3
2012-07-12,3
2012-07-13,3
2012-07-14,3
2012-07-15,3
2012-07-16,3
2012-07-17,3
2012-07-18,3
2012-07-19,3
2012-07-20,3
2012-07-21,3
2012-07-22,3
2012-07-23,3
2012-07-24,3
2012-07-25,3
2012-07-26,3
2012-07-27,3
2012-07-28,3
2012-07-29,3
2012-07-30,3
2012-07-31,3
2012-08-01,3
2012-08-02,3
2012-08-03,3
2012-08-04,3
2012-08-05,3
2012-08-06,3
2012-08-07,3
2012-08-08,3
2012-08-09,3
2012-08-10,3
2012-08-11,3
2012-08-12,4
2012-08-13,4
2012-08-14,4
2012-08-15,4
2012-08-16,4
2012-08-17,4
2012-08-18,4
2012-08-19,4
2012-08-20,4
2012-08-21,4
2012-08-22,5
2012-08-23,5
2012-08-24,5
2012-08-25,5
2012-08-26,5
2012-08-27,5
2012-08-28,5
2012-08-29,5
2012-08-30,5
2012-08-31,5
2012-09-01,6
2012-09-02,6
2012-09-03,6
2012-09-04,6
2012-09-05,6
2012-09-06,6
2012-09-07,7
2012-09-08,7
2012-09-09,7
2012-09-10,7
2012-09-11,7
2012-09-12,7
2012-09-13,8
2012-09-14,8
2012-09-15,8
2012-09-16,8
2012-09-17,8
2012-09-18,8
2012-09-19,9
2012-09-20,9
2012-09-21,9
2012-09-22,9
2012-09-23,9
2012-09-24,9
2012-09-25,10
2012-09-26,10
2012-09-27,10
2012-09-28,10
2012-09-29,10
2012-09-30,10
2012-10-01,11
2012-10-02,10
2012-10-03,10
2012-10-04,10
2012-10-05,10
2012-10-06,9
2012-10-07,9
2012-10-08,9
2012-10-09,9
2012-10-10,8
2012-10-11,8
2012-10-12,8
2012-10-13,8
2012-10-14,8
2012-10-15,7
2012-10-16,7
2012-10-17,7
2012-10-18,7
2012-10-19,6
2012-10-20,6
2012-10-21,6
2012-10-22,6
2012-10-23,6
2012-10-24,5
2012-10-25,5
2012-10-26,5
2012-10-27,5
2012-10-28,4
2012-10-29,4
2012-10-30,4
2012-10-31,4
2012-11-01,4
2012-11-02,4
2012-11-03,4
2012-11-04,4
2012-11-05,4
2012-11-06,4
2012-11-07,4
2012-11-08,4
2012-11-09,4
2012-11-10,4
2012-11-11,4
2012-11-12,4
2012-11-13,4
2012-11-14,4
2012-11-15,4
2012-11-16,4
2012-11-17,4
2012-11-18,4
2012-11-19,4
2012-11-20,4
2012-11-21,4
2012-11-22,4
