Date,Newport Entertainment
2005-09-01,0
2005-09-02,3
2005-09-03,6
2005-09-04,9
2005-09-05,12
2005-09-06,15
2005-09-07,18
2005-09-08,21
2005-09-09,24
2005-09-10,27
2005-09-11,30
2005-09-12,33
2005-09-13,36
2005-09-14,39
2005-09-15,42
2005-09-16,46
2005-09-17,49
2005-09-18,52
2005-09-19,55
2005-09-20,58
2005-09-21,61
2005-09-22,64
2005-09-23,67
2005-09-24,70
2005-09-25,73
2005-09-26,76
2005-09-27,79
2005-09-28,82
2005-09-29,85
2005-09-30,88
2005-10-01,92
2005-10-02,91
2005-10-03,91
2005-10-04,90
2005-10-05,90
2005-10-06,90
2005-10-07,89
2005-10-08,89
2005-10-09,88
2005-10-10,88
2005-10-11,88
2005-10-12,87
2005-10-13,87
2005-10-14,86
2005-10-15,86
2005-10-16,86
2005-10-17,85
2005-10-18,85
2005-10-19,85
2005-10-20,84
2005-10-21,84
2005-10-22,83
2005-10-23,83
2005-10-24,83
2005-10-25,82
2005-10-26,82
2005-10-27,81
2005-10-28,81
2005-10-29,81
2005-10-30,80
2005-10-31,80
2005-11-01,80
2005-11-02,80
2005-11-03,80
2005-11-04,80
2005-11-05,80
2005-11-06,80
2005-11-07,80
2005-11-08,80
2005-11-09,80
2005-11-10,80
2005-11-11,80
2005-11-12,80
2005-11-13,80
2005-11-14,80
2005-11-15,80
2005-11-16,80
2005-11-17,80
2005-11-18,80
2005-11-19,80
2005-11-20,80
2005-11-21,80
2005-11-22,80
2005-11-23,80
2005-11-24,80
2005-11-25,80
2005-11-26,80
2005-11-27,80
2005-11-28,80
2005-11-29,80
2005-11-30,80
2005-12-01,80
2005-12-02,80
2005-12-03,80
2005-12-04,80
2005-12-05,80
2005-12-06,80
2005-12-07,80
2005-12-08,80
2005-12-09,80
2005-12-10,80
2005-12-11,80
2005-12-12,80
2005-12-13,80
2005-12-14,80
2005-12-15,80
2005-12-16,80
2005-12-17,80
2005-12-18,80
2005-12-19,80
2005-12-20,80
2005-12-21,80
2005-12-22,80
2005-12-23,80
2005-12-24,80
2005-12-25,80
2005-12-26,80
2005-12-27,80
2005-12-28,80
2005-12-29,80
2005-12-30,80
2005-12-31,80
2006-01-01,80
2006-01-02,80
2006-01-03,81
2006-01-04,81
2006-01-05,82
2006-01-06,83
2006-01-07,83
2006-01-08,84
2006-01-09,85
2006-01-10,85
2006-01-11,86
2006-01-12,87
2006-01-13,87
2006-01-14,88
2006-01-15,89
2006-01-16,89
2006-01-17,90
2006-01-18,90
2006-01-19,91
2006-01-20,92
2006-01-21,92
2006-01-22,93
2006-01-23,94
2006-01-24,94
2006-01-25,95
2006-01-26,96
2006-01-27,96
2006-01-28,97
2006-01-29,98
2006-01-30,98
2006-01-31,99
2006-02-01,100
2006-02-02,98
2006-02-03,97
2006-02-04,96
2006-02-05,95
2006-02-06,93
2006-02-07,92
2006-02-08,91
2006-02-09,90
2006-02-10,88
2006-02-11,87
2006-02-12,86
2006-02-13,85
2006-02-14,83
2006-02-15,82
2006-02-16,81
2006-02-17,80
2006-02-18,78
2006-02-19,77
2006-02-20,76
2006-02-21,75
2006-02-22,73
2006-02-23,72
2006-02-24,71
2006-02-25,70
2006-02-26,68
2006-02-27,67
2006-02-28,66
2006-03-01,65
2006-03-02,65
2006-03-03,65
2006-03-04,65
2006-03-05,65
2006-03-06,65
2006-03-07,65
2006-03-08,65
2006-03-09,65
2006-03-10,65
2006-03-11,65
2006-03-12,65
2006-03-13,65
2006-03-14,65
2006-03-15,65
2006-03-16,65
2006-03-17,65
2006-03-18,65
2006-03-19,65
2006-03-20,65
2006-03-21,65
2006-03-22,65
2006-03-23,65
2006-03-24,65
2006-03-25,65
2006-03-26,65
2006-03-27,65
2006-03-28,65
2006-03-29,65
2006-03-30,65
2006-03-31,65
2006-04-01,65
2006-04-02,65
2006-04-03,65
2006-04-04,65
2006-04-05,65
2006-04-06,65
2006-04-07,65
2006-04-08,65
2006-04-09,65
2006-04-10,65
2006-04-11,65
2006-04-12,65
2006-04-13,65
2006-04-14,65
2006-04-15,65
2006-04-16,65
2006-04-17,65
2006-04-18,65
2006-04-19,65
2006-04-20,65
2006-04-21,65
2006-04-22,65
2006-04-23,65
2006-04-24,65
2006-04-25,65
2006-04-26,65
2006-04-27,65
2006-04-28,65
2006-04-29,65
2006-04-30,65
2006-05-01,65
2006-05-02,64
2006-05-03,64
2006-05-04,63
2006-05-05,63
2006-05-06,62
2006-05-07,62
2006-05-08,62
2006-05-09,61
2006-05-10,61
2006-05-11,60
2006-05-12,60
2006-05-13,59
2006-05-14,59
2006-05-15,59
