Date,ArcSight
2007-03-04,48
2007-03-05,49
2007-03-06,50
2007-03-07,51
2007-03-08,52
2007-03-09,53
2007-03-10,54
2007-03-11,52
2007-03-12,51
2007-03-13,50
2007-03-14,49
2007-03-15,47
2007-03-16,46
2007-03-17,45
2007-03-18,44
2007-03-19,42
2007-03-20,41
2007-03-21,40
2007-03-22,39
2007-03-23,38
2007-03-24,37
2007-03-25,37
2007-03-26,38
2007-03-27,38
2007-03-28,38
2007-03-29,39
2007-03-30,39
2007-03-31,40
2007-04-01,40
2007-04-02,39
2007-04-03,39
2007-04-04,39
2007-04-05,39
2007-04-06,39
2007-04-07,39
2007-04-08,39
2007-04-09,40
2007-04-10,41
2007-04-11,42
2007-04-12,43
2007-04-13,44
2007-04-14,45
2007-04-15,46
2007-04-16,47
2007-04-17,49
2007-04-18,50
2007-04-19,52
2007-04-20,53
2007-04-21,55
2007-04-22,55
2007-04-23,56
2007-04-24,57
2007-04-25,58
2007-04-26,58
2007-04-27,59
2007-04-28,60
2007-04-29,55
2007-04-30,49
2007-05-01,44
2007-05-02,40
2007-05-03,35
2007-05-04,30
2007-05-05,26
2007-05-06,29
2007-05-07,32
2007-05-08,35
2007-05-09,38
2007-05-10,41
2007-05-11,44
2007-05-12,47
2007-05-13,47
2007-05-14,47
2007-05-15,47
2007-05-16,47
2007-05-17,47
2007-05-18,48
2007-05-19,48
2007-05-20,48
2007-05-21,49
2007-05-22,49
2007-05-23,50
2007-05-24,50
2007-05-25,51
2007-05-26,52
2007-05-27,51
2007-06-03,49
2007-06-04,48
2007-06-05,48
2007-06-06,47
2007-06-07,47
2007-06-08,46
2007-06-09,46
2007-06-10,43
2007-06-11,41
2007-06-12,39
2007-06-13,37
2007-06-14,35
2007-06-15,33
2007-06-16,31
2007-06-17,32
2007-06-18,33
2007-06-19,35
2007-06-20,36
2007-06-21,38
2007-06-22,39
2007-06-23,41
2007-06-24,42
2007-06-25,43
2007-06-26,45
2007-06-27,46
2007-06-28,47
2007-06-29,49
2007-06-30,50
2007-07-01,50
2007-07-02,50
2007-07-03,50
2007-07-04,50
2007-07-05,50
2007-07-06,50
2007-07-07,51
2007-07-08,50
2007-07-09,50
2007-07-10,50
2007-07-11,49
2007-07-12,49
2007-07-13,48
2007-07-14,48
2007-07-15,48
2007-07-16,48
2007-07-17,48
2007-07-18,48
2007-07-19,48
2007-07-20,48
2007-07-21,49
2007-07-22,49
2007-07-23,51
2007-07-24,51
2007-07-25,52
2007-07-26,53
2007-07-27,54
2007-07-28,55
2007-07-29,54
2007-07-30,53
2007-07-31,52
2007-08-01,52
2007-08-02,51
2007-08-03,50
2007-08-04,50
2007-08-05,50
2007-08-06,50
2007-08-07,50
2007-08-08,50
2007-08-09,50
2007-08-10,50
2007-08-11,50
2007-08-12,48
2007-08-13,46
2007-08-14,44
2007-08-15,42
2007-08-16,40
2007-08-17,38
2007-08-18,36
2007-08-19,39
2007-08-20,43
2007-08-21,46
2007-08-22,50
2007-08-23,54
2007-08-24,57
2007-08-25,61
2007-08-26,56
2007-09-02,30
2007-09-03,33
2007-09-04,36
2007-09-05,39
2007-09-06,42
2007-09-07,45
2007-09-08,49
2007-09-09,50
2007-09-10,52
2007-09-11,53
2007-09-12,55
2007-09-13,56
2007-09-14,58
2007-09-15,59
2007-09-16,58
2007-09-17,56
2007-09-18,54
2007-09-19,53
2007-09-20,51
2007-09-21,50
2007-09-22,49
2007-09-23,48
2007-09-24,48
2007-09-25,48
2007-09-26,48
2007-09-27,48
2007-09-28,48
2007-09-29,48
2007-09-30,47
2007-10-01,46
2007-10-02,46
2007-10-03,45
2007-10-04,45
2007-10-05,44
2007-10-06,44
2007-10-07,44
2007-10-08,44
2007-10-09,45
2007-10-10,45
2007-10-11,45
2007-10-12,46
2007-10-13,46
2007-10-14,47
2007-10-15,47
2007-10-16,48
2007-10-17,48
2007-10-18,49
2007-10-19,50
2007-10-20,51
2007-10-21,50
2007-10-22,49
2007-10-23,48
2007-10-24,47
2007-10-25,46
2007-10-26,45
2007-10-27,44
2007-10-28,44
2007-10-29,45
2007-10-30,46
2007-10-31,47
2007-11-01,47
2007-11-02,48
2007-11-03,49
2007-11-04,48
2007-11-05,46
2007-11-06,45
2007-11-07,44
2007-11-08,43
2007-11-09,42
2007-11-10,41
2007-11-11,43
2007-11-12,46
2007-11-13,49
2007-11-14,51
2007-11-15,54
2007-11-16,56
2007-11-17,59
2007-11-18,54
2007-11-19,49
2007-11-20,45
2007-11-21,40
2007-11-22,36
2007-11-23,31
2007-11-24,27
2007-11-25,31
2007-12-02,55
2007-12-03,54
2007-12-04,52
2007-12-05,50
2007-12-06,48
2007-12-07,45
2007-12-08,43
2007-12-09,41
2007-12-10,37
