Date,Booz Allen & Hamilton
2009-12-01,76
2009-12-02,76
2009-12-03,77
2009-12-04,77
2009-12-05,78
2009-12-06,78
2009-12-07,79
2009-12-08,79
2009-12-09,80
2009-12-10,80
2009-12-11,81
2009-12-12,81
2009-12-13,82
2009-12-14,82
2009-12-15,83
2009-12-16,83
2009-12-17,84
2009-12-18,84
2009-12-19,85
2009-12-20,85
2009-12-21,86
2009-12-22,86
2009-12-23,87
2009-12-24,87
2009-12-25,88
2009-12-26,88
2009-12-27,89
2009-12-28,89
2009-12-29,90
2009-12-30,90
2009-12-31,91
2010-01-01,92
2010-01-02,92
2010-01-03,92
2010-01-04,92
2010-01-05,92
2010-01-06,92
2010-01-07,92
2010-01-08,93
2010-01-09,93
2010-01-10,93
2010-01-11,93
2010-01-12,93
2010-01-13,93
2010-01-14,94
2010-01-15,94
2010-01-16,94
2010-01-17,94
2010-01-18,94
2010-01-19,94
2010-01-20,95
2010-01-21,95
2010-01-22,95
2010-01-23,95
2010-01-24,95
2010-01-25,95
2010-01-26,96
2010-01-27,96
2010-01-28,96
2010-01-29,96
2010-01-30,96
2010-01-31,96
2010-02-01,97
2010-02-02,97
2010-02-03,97
2010-02-04,97
2010-02-05,97
2010-02-06,97
2010-02-07,97
2010-02-08,97
2010-02-09,97
2010-02-10,97
2010-02-11,98
2010-02-12,98
2010-02-13,98
2010-02-14,98
2010-02-15,98
2010-02-16,98
2010-02-17,98
2010-02-18,98
2010-02-19,98
2010-02-20,99
2010-02-21,99
2010-02-22,99
2010-02-23,99
2010-02-24,99
2010-02-25,99
2010-02-26,99
2010-02-27,99
2010-02-28,99
2010-03-01,100
2010-03-02,99
2010-03-03,98
2010-03-04,98
2010-03-05,97
2010-03-06,97
2010-03-07,96
2010-03-08,96
2010-03-09,95
2010-03-10,95
2010-03-11,94
2010-03-12,94
2010-03-13,93
2010-03-14,93
2010-03-15,92
2010-03-16,92
2010-03-17,91
2010-03-18,91
2010-03-19,90
2010-03-20,90
2010-03-21,89
2010-03-22,89
2010-03-23,88
2010-03-24,88
2010-03-25,87
2010-03-26,87
2010-03-27,86
2010-03-28,86
2010-03-29,85
2010-03-30,85
2010-03-31,84
2010-04-01,84
2010-04-02,83
2010-04-03,83
2010-04-04,82
2010-04-05,82
2010-04-06,81
2010-04-07,81
2010-04-08,80
2010-04-09,80
2010-04-10,80
2010-04-11,79
2010-04-12,79
2010-04-13,78
2010-04-14,78
2010-04-15,77
2010-04-16,77
2010-04-17,77
2010-04-18,76
2010-04-19,76
2010-04-20,75
2010-04-21,75
2010-04-22,74
2010-04-23,74
2010-04-24,74
2010-04-25,73
2010-04-26,73
2010-04-27,72
2010-04-28,72
2010-04-29,71
2010-04-30,71
2010-05-01,71
2010-05-02,70
2010-05-03,70
2010-05-04,70
2010-05-05,69
2010-05-06,69
2010-05-07,69
2010-05-08,68
2010-05-09,68
2010-05-10,68
2010-05-11,67
2010-05-12,67
2010-05-13,67
2010-05-14,66
2010-05-15,66
2010-05-16,66
2010-05-17,65
2010-05-18,65
2010-05-19,65
2010-05-20,64
2010-05-21,64
2010-05-22,64
2010-05-23,63
2010-05-24,63
2010-05-25,63
2010-05-26,62
2010-05-27,62
2010-05-28,62
2010-05-29,61
2010-05-30,61
2010-05-31,61
2010-06-01,61
2010-06-02,60
2010-06-03,59
2010-06-04,59
2010-06-05,58
2010-06-06,58
2010-06-07,57
2010-06-08,57
2010-06-09,56
2010-06-10,56
2010-06-11,55
2010-06-12,55
2010-06-13,54
2010-06-14,54
2010-06-15,53
2010-06-16,53
2010-06-17,52
2010-06-18,51
2010-06-19,51
2010-06-20,50
2010-06-21,50
2010-06-22,49
2010-06-23,49
2010-06-24,48
2010-06-25,48
2010-06-26,47
2010-06-27,47
2010-06-28,46
2010-06-29,46
2010-06-30,45
2010-07-01,45
2010-07-02,46
2010-07-03,47
2010-07-04,49
2010-07-05,50
2010-07-06,51
2010-07-07,53
2010-07-08,54
2010-07-09,55
2010-07-10,57
2010-07-11,58
2010-07-12,59
2010-07-13,61
2010-07-14,62
2010-07-15,63
2010-07-16,65
2010-07-17,66
2010-07-18,68
2010-07-19,69
2010-07-20,70
2010-07-21,72
2010-07-22,73
2010-07-23,74
2010-07-24,76
2010-07-25,77
2010-07-26,78
2010-07-27,80
2010-07-28,81
2010-07-29,82
2010-07-30,84
2010-07-31,85
2010-08-01,87
2010-08-02,86
2010-08-03,86
2010-08-04,86
2010-08-05,86
2010-08-06,85
2010-08-07,85
2010-08-08,85
2010-08-09,85
2010-08-10,84
2010-08-11,84
2010-08-12,84
2010-08-13,84
2010-08-14,84
2010-08-15,83
2010-08-16,83
2010-08-17,83
2010-08-18,83
2010-08-19,82
2010-08-20,82
2010-08-21,82
2010-08-22,82
2010-08-23,82
2010-08-24,81
2010-08-25,81
2010-08-26,81
2010-08-27,81
2010-08-28,80
2010-08-29,80
2010-08-30,80
2010-08-31,80
2010-09-01,80
2010-09-02,79
2010-09-03,79
2010-09-04,78
2010-09-05,78
2010-09-06,78
2010-09-07,77
2010-09-08,77
2010-09-09,76
2010-09-10,76
2010-09-11,76
2010-09-12,75
2010-09-13,75
2010-09-14,74
2010-09-15,74
2010-09-16,74
2010-09-17,73
2010-09-18,73
2010-09-19,72
2010-09-20,72
2010-09-21,72
2010-09-22,71
2010-09-23,71
2010-09-24,70
2010-09-25,70
2010-09-26,70
2010-09-27,69
2010-09-28,69
2010-09-29,68
2010-09-30,68
2010-10-01,68
2010-10-02,67
2010-10-03,66
2010-10-04,66
2010-10-05,65
2010-10-06,64
2010-10-07,64
2010-10-08,63
2010-10-09,63
2010-10-10,62
2010-10-11,61
2010-10-12,61
2010-10-13,60
2010-10-14,60
2010-10-15,59
2010-10-16,58
2010-10-17,58
2010-10-18,57
2010-10-19,56
2010-10-20,56
2010-10-21,55
2010-10-22,55
2010-10-23,54
2010-10-24,53
2010-10-25,53
2010-10-26,52
2010-10-27,52
2010-10-28,51
2010-10-29,50
2010-10-30,50
2010-10-31,49
2010-11-01,49
2010-11-02,48
2010-11-03,47
2010-11-04,46
2010-11-05,46
2010-11-06,45
2010-11-07,44
2010-11-08,44
2010-11-09,43
2010-11-10,42
2010-11-11,42
2010-11-12,41
2010-11-13,40
2010-11-14,39
2010-11-15,39
2010-11-16,38
2010-11-17,37
2010-11-18,37
2010-11-19,36
2010-11-20,35
2010-11-21,35
2010-11-22,34
2010-11-23,33
2010-11-24,32
2010-11-25,32
2010-11-26,31
2010-11-27,30
2010-11-28,30
2010-11-29,29
2010-11-30,28
2010-12-01,28
2010-12-02,29
2010-12-03,30
2010-12-04,32
2010-12-05,33
2010-12-06,34
2010-12-07,36
2010-12-08,37
2010-12-09,38
2010-12-10,40
2010-12-11,41
2010-12-12,42
2010-12-13,44
2010-12-14,45
2010-12-15,46
2010-12-16,48
2010-12-17,49
2010-12-18,51
2010-12-19,52
2010-12-20,53
2010-12-21,55
2010-12-22,56
2010-12-23,57
2010-12-24,59
2010-12-25,60
2010-12-26,61
2010-12-27,63
2010-12-28,64
2010-12-29,65
2010-12-30,67
2010-12-31,68
2011-01-01,70
2011-01-02,69
2011-01-03,68
2011-01-04,67
2011-01-05,66
2011-01-06,65
2011-01-07,64
2011-01-08,63
2011-01-09,63
2011-01-10,62
2011-01-11,61
2011-01-12,60
2011-01-13,59
2011-01-14,58
2011-01-15,57
2011-01-16,56
2011-01-17,56
2011-01-18,55
2011-01-19,54
2011-01-20,53
2011-01-21,52
2011-01-22,51
2011-01-23,50
2011-01-24,49
2011-01-25,49
2011-01-26,48
2011-01-27,47
2011-01-28,46
2011-01-29,45
2011-01-30,44
2011-01-31,43
2011-02-01,43
