Date,OneBeacon Insurance
2006-02-01,81
2006-02-02,81
2006-02-03,81
2006-02-04,81
2006-02-05,81
2006-02-06,81
2006-02-07,81
2006-02-08,81
2006-02-09,81
2006-02-10,81
2006-02-11,81
2006-02-12,81
2006-02-13,81
2006-02-14,81
2006-02-15,81
2006-02-16,81
2006-02-17,81
2006-02-18,81
2006-02-19,81
2006-02-20,81
2006-02-21,81
2006-02-22,81
2006-02-23,81
2006-02-24,81
2006-02-25,81
2006-02-26,81
2006-02-27,81
2006-02-28,81
2006-03-01,82
2006-03-02,81
2006-03-03,81
2006-03-04,80
2006-03-05,80
2006-03-06,79
2006-03-07,79
2006-03-08,78
2006-03-09,78
2006-03-10,77
2006-03-11,77
2006-03-12,77
2006-03-13,76
2006-03-14,76
2006-03-15,75
2006-03-16,75
2006-03-17,74
2006-03-18,74
2006-03-19,73
2006-03-20,73
2006-03-21,72
2006-03-22,72
2006-03-23,72
2006-03-24,71
2006-03-25,71
2006-03-26,70
2006-03-27,70
2006-03-28,69
2006-03-29,69
2006-03-30,68
2006-03-31,68
2006-04-01,68
2006-04-02,68
2006-04-03,68
2006-04-04,68
2006-04-05,68
2006-04-06,68
2006-04-07,68
2006-04-08,68
2006-04-09,68
2006-04-10,68
2006-04-11,68
2006-04-12,68
2006-04-13,68
2006-04-14,68
2006-04-15,68
2006-04-16,68
2006-04-17,68
2006-04-18,68
2006-04-19,68
2006-04-20,68
2006-04-21,68
2006-04-22,68
2006-04-23,68
2006-04-24,68
2006-04-25,68
2006-04-26,68
2006-04-27,68
2006-04-28,68
2006-04-29,68
2006-04-30,68
2006-05-01,69
2006-05-02,68
2006-05-03,68
2006-05-04,68
2006-05-05,68
2006-05-06,68
2006-05-07,68
2006-05-08,68
2006-05-09,67
2006-05-10,67
2006-05-11,67
2006-05-12,67
2006-05-13,67
2006-05-14,67
2006-05-15,67
2006-05-16,67
2006-05-17,66
2006-05-18,66
2006-05-19,66
2006-05-20,66
2006-05-21,66
2006-05-22,66
2006-05-23,66
2006-05-24,66
2006-05-25,65
2006-05-26,65
2006-05-27,65
2006-05-28,65
2006-05-29,65
2006-05-30,65
2006-05-31,65
2006-06-01,65
2006-06-02,65
2006-06-03,65
2006-06-04,65
2006-06-05,65
2006-06-06,65
2006-06-07,65
2006-06-08,65
2006-06-09,65
2006-06-10,65
2006-06-11,65
2006-06-12,65
2006-06-13,65
2006-06-14,65
2006-06-15,65
2006-06-16,65
2006-06-17,65
2006-06-18,65
2006-06-19,65
2006-06-20,65
2006-06-21,65
2006-06-22,65
2006-06-23,65
2006-06-24,65
2006-06-25,65
2006-06-26,65
2006-06-27,65
2006-06-28,65
2006-06-29,65
2006-06-30,65
2006-07-01,65
2006-07-02,65
2006-07-03,65
2006-07-04,66
2006-07-05,66
2006-07-06,67
