Date,Imperial Holdings
2010-02-01,43
2010-02-02,42
2010-02-03,42
2010-02-04,41
2010-02-05,41
2010-02-06,41
2010-02-07,40
2010-02-08,40
2010-02-09,40
2010-02-10,39
2010-02-11,39
2010-02-12,39
2010-02-13,38
2010-02-14,38
2010-02-15,38
2010-02-16,37
2010-02-17,37
2010-02-18,36
2010-02-19,36
2010-02-20,36
2010-02-21,35
2010-02-22,35
2010-02-23,35
2010-02-24,34
2010-02-25,34
2010-02-26,34
2010-02-27,33
2010-02-28,33
2010-03-01,33
2010-03-02,32
2010-03-03,32
2010-03-04,32
2010-03-05,32
2010-03-06,32
2010-03-07,32
2010-03-08,32
2010-03-09,31
2010-03-10,31
2010-03-11,31
2010-03-12,31
2010-03-13,31
2010-03-14,31
2010-03-15,31
2010-03-16,31
2010-03-17,30
2010-03-18,30
2010-03-19,30
2010-03-20,30
2010-03-21,30
2010-03-22,30
2010-03-23,30
2010-03-24,30
2010-03-25,29
2010-03-26,29
2010-03-27,29
2010-03-28,29
2010-03-29,29
2010-03-30,29
2010-03-31,29
2010-04-01,29
2010-04-02,29
2010-04-03,29
2010-04-04,29
2010-04-05,29
2010-04-06,29
2010-04-07,29
2010-04-08,29
2010-04-09,29
2010-04-10,29
2010-04-11,29
2010-04-12,29
2010-04-13,29
2010-04-14,29
2010-04-15,29
2010-04-16,30
2010-04-17,30
2010-04-18,30
2010-04-19,30
2010-04-20,30
2010-04-21,30
2010-04-22,30
2010-04-23,30
2010-04-24,30
2010-04-25,30
2010-04-26,30
2010-04-27,30
2010-04-28,30
2010-04-29,30
2010-04-30,30
2010-05-01,31
2010-05-02,30
2010-05-03,30
2010-05-04,30
2010-05-05,30
2010-05-06,30
2010-05-07,30
2010-05-08,30
2010-05-09,30
2010-05-10,30
2010-05-11,30
2010-05-12,29
2010-05-13,29
2010-05-14,29
2010-05-15,29
2010-05-16,29
2010-05-17,29
2010-05-18,29
2010-05-19,29
2010-05-20,29
2010-05-21,29
2010-05-22,28
2010-05-23,28
2010-05-24,28
2010-05-25,28
2010-05-26,28
2010-05-27,28
2010-05-28,28
2010-05-29,28
2010-05-30,28
2010-05-31,28
2010-06-01,28
2010-06-02,28
2010-06-03,28
2010-06-04,28
2010-06-05,28
2010-06-06,28
2010-06-07,28
2010-06-08,28
2010-06-09,29
2010-06-10,29
2010-06-11,29
2010-06-12,29
2010-06-13,29
2010-06-14,29
2010-06-15,29
2010-06-16,30
2010-06-17,30
2010-06-18,30
2010-06-19,30
2010-06-20,30
2010-06-21,30
2010-06-22,30
2010-06-23,30
2010-06-24,31
2010-06-25,31
2010-06-26,31
2010-06-27,31
2010-06-28,31
2010-06-29,31
2010-06-30,31
2010-07-01,32
2010-07-02,31
2010-07-03,31
2010-07-04,31
2010-07-05,30
2010-07-06,30
2010-07-07,30
2010-07-08,30
2010-07-09,29
2010-07-10,29
2010-07-11,29
2010-07-12,29
2010-07-13,28
2010-07-14,28
2010-07-15,28
2010-07-16,28
2010-07-17,27
2010-07-18,27
2010-07-19,27
2010-07-20,27
2010-07-21,26
2010-07-22,26
2010-07-23,26
2010-07-24,26
2010-07-25,25
2010-07-26,25
2010-07-27,25
2010-07-28,25
2010-07-29,24
2010-07-30,24
2010-07-31,24
2010-08-01,24
2010-08-02,24
2010-08-03,24
2010-08-04,24
2010-08-05,24
2010-08-06,24
2010-08-07,24
2010-08-08,24
2010-08-09,25
2010-08-10,25
2010-08-11,25
2010-08-12,25
2010-08-13,25
2010-08-14,25
2010-08-15,25
2010-08-16,25
2010-08-17,26
2010-08-18,26
2010-08-19,26
2010-08-20,26
2010-08-21,26
2010-08-22,26
2010-08-23,26
2010-08-24,26
2010-08-25,27
2010-08-26,27
2010-08-27,27
2010-08-28,27
2010-08-29,27
2010-08-30,27
2010-08-31,27
2010-09-01,28
2010-09-02,27
2010-09-03,27
2010-09-04,27
2010-09-05,27
2010-09-06,27
2010-09-07,27
2010-09-08,27
2010-09-09,27
2010-09-10,27
2010-09-11,27
2010-09-12,27
2010-09-13,27
2010-09-14,27
2010-09-15,27
2010-09-16,27
2010-09-17,26
2010-09-18,26
2010-09-19,26
2010-09-20,26
2010-09-21,26
2010-09-22,26
2010-09-23,26
2010-09-24,26
2010-09-25,26
2010-09-26,26
2010-09-27,26
2010-09-28,26
2010-09-29,26
2010-09-30,26
2010-10-01,26
2010-10-02,25
2010-10-03,25
2010-10-04,25
2010-10-05,25
2010-10-06,24
2010-10-07,24
2010-10-08,24
2010-10-09,24
2010-10-10,23
2010-10-11,23
2010-10-12,23
2010-10-13,23
2010-10-14,23
2010-10-15,22
2010-10-16,22
2010-10-17,22
2010-10-18,22
2010-10-19,21
2010-10-20,21
2010-10-21,21
2010-10-22,21
2010-10-23,21
2010-10-24,20
2010-10-25,20
2010-10-26,20
2010-10-27,20
2010-10-28,19
2010-10-29,19
2010-10-30,19
2010-10-31,19
2010-11-01,19
2010-11-02,19
2010-11-03,19
2010-11-04,19
2010-11-05,19
2010-11-06,19
2010-11-07,19
2010-11-08,19
2010-11-09,19
2010-11-10,19
2010-11-11,20
2010-11-12,20
2010-11-13,20
2010-11-14,20
2010-11-15,20
2010-11-16,20
2010-11-17,20
2010-11-18,20
2010-11-19,20
2010-11-20,20
2010-11-21,21
2010-11-22,21
2010-11-23,21
2010-11-24,21
2010-11-25,21
2010-11-26,21
2010-11-27,21
2010-11-28,21
2010-11-29,21
2010-11-30,21
2010-12-01,22
2010-12-02,22
2010-12-03,22
2010-12-04,23
2010-12-05,23
2010-12-06,24
2010-12-07,24
2010-12-08,25
2010-12-09,25
2010-12-10,26
2010-12-11,26
2010-12-12,26
2010-12-13,27
2010-12-14,27
2010-12-15,28
2010-12-16,28
2010-12-17,29
2010-12-18,29
2010-12-19,30
2010-12-20,30
2010-12-21,31
2010-12-22,31
2010-12-23,31
2010-12-24,32
2010-12-25,32
2010-12-26,33
2010-12-27,33
2010-12-28,34
2010-12-29,34
2010-12-30,35
2010-12-31,35
2011-01-01,36
2011-01-02,36
2011-01-03,36
2011-01-04,37
2011-01-05,37
2011-01-06,37
2011-01-07,38
2011-01-08,38
2011-01-09,38
2011-01-10,39
2011-01-11,39
2011-01-12,39
2011-01-13,40
2011-01-14,40
2011-01-15,40
2011-01-16,41
2011-01-17,41
2011-01-18,42
2011-01-19,42
2011-01-20,42
2011-01-21,43
2011-01-22,43
2011-01-23,43
2011-01-24,44
2011-01-25,44
2011-01-26,44
2011-01-27,45
2011-01-28,45
2011-01-29,45
2011-01-30,46
2011-01-31,46
2011-02-01,47
2011-02-02,46
2011-02-03,45
2011-02-04,44
2011-02-05,43
2011-02-06,43
2011-02-07,42
2011-02-08,41
2011-02-09,40
2011-02-10,39
2011-02-11,39
2011-02-12,38
2011-02-13,37
2011-02-14,36
2011-02-15,36
2011-02-16,35
2011-02-17,34
2011-02-18,33
2011-02-19,32
2011-02-20,32
2011-02-21,31
2011-02-22,30
2011-02-23,29
2011-02-24,28
2011-02-25,28
